trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
47,6440166411548435861,True,0.0011600842400932,11.566566566566566,0.2125,445.55497690278133,10.19997910581682,7.413951261354152,11.558455845584556,0.4166666666666667,445.87400739461145,7,0.8571428571428571,
48,3998700223022895943,True,0.0010359725714204,12.827827827827829,0.2125,452.82372690278135,9.914102109080003,6.398565595347569,12.85918591859186,0.2648809523809524,452.8536248612065,3,0.6666666666666666,
49,14535092767141793046,True,0.0013757513551241,13.528528528528527,0.2125,451.96122690278133,11.665369430247576,9.47823455856814,13.515851585158517,0.2142857142857142,452.11434000747846,6,0.8333333333333334,
50,2857866630145188130,True,0.0010495638353703,12.28128128128128,0.2125,455.4424769027813,10.660729336289746,9.675017674462646,14.918791879187918,0.4166666666666667,447.6944986203641,7,0.8571428571428571,
51,6626744193994990214,True,0.0007783163175539,13.444444444444445,0.0625,456.89872690278133,8.288481194200626,6.184879792223022,11.62006200620062,0.2648809523809524,454.47748617385656,7,0.8571428571428571,
52,12282761389533731557,True,0.0010733984249725,14.775775775775776,0.2125,448.3799769027813,8.238574357603177,6.4585413703721315,12.562356235623565,0.3660714285714285,448.6272854315436,8,0.625,
53,15771636255349277588,True,0.0009992475080829,14.425425425425423,0.2625,443.64247690278137,8.816390487691129,7.475633900707614,9.44984498449845,0.2142857142857142,443.7308679145016,10,1.0,
54,15937575736191148391,True,0.0009863070577243,9.744744744744745,0.1625,450.72997690278135,8.001373979220526,8.758589849855817,11.99109910991099,0.4166666666666667,444.0770461550643,7,0.7142857142857143,
55,10325427062918895968,True,0.000948190982673,14.117117117117116,0.1125,450.91747690278135,9.334454766304749,8.802236957268384,11.942094209420942,0.3154761904761904,451.1225494831803,5,1.0,
56,6385026544703117126,True,0.0012653126397325,11.86086086086086,0.2125,444.82372690278135,10.123408062668837,6.823503423787658,11.904290429042904,0.2142857142857142,444.7107874922635,7,0.7142857142857143,
