trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
17741,6,-0.6547714438476037,-24.71051777321761,37.73915005824371,48,0.3682285272560611,14.712134406358256,39.953814865972184,48,0.44283260450678386,12.704833783423101,28.689924034779317,48,16518,1223,False,46,31,34,34
17792,6,0.6962932748347271,29.511197535561756,42.38328675882524,49,-1.9027681024407415,-68.99486592582241,36.26025990099397,49,-0.5814196268185389,-14.789502195454729,25.43688157962809,49,16518,1274,False,22,79,60,60
17842,6,0.3838764870868784,15.61197871971544,40.6692757824007,49,-0.4157114749457655,-12.052615588477417,28.992742117714755,49,-0.22017604220826234,-4.451347596565055,20.217220511006232,49,16518,1324,False,28,57,50,50
17980,6,-1.6013134618565832,-39.33400972863362,24.563591492592128,27,0.921356354069763,21.30769349379708,23.126441142645778,27,0.4847699687941887,7.064789054181369,14.573487445507906,27,16518,1462,False,72,17,30,30
18030,6,1.1432287596148647,33.639281239957,29.42480317875272,48,-0.6081149015180412,-20.042655591632492,32.95866544562529,48,0.4600740520609371,10.70781690396019,23.27411610368744,48,16518,1512,False,14,63,31,31
18081,6,-0.29294398098628344,-8.824136246677995,30.122265072553816,48,-1.7047536128403034,-41.59907098647214,24.40180837462113,48,-1.849219291792743,-34.67939324120965,18.75353204194046,48,16518,1563,False,37,76,78,78
18132,6,0.9846748471471664,29.550330923819086,30.010242476928617,49,-0.31496855740130747,-8.088129846284037,25.679165923787103,49,-0.6740068771577844,-12.093321610123782,17.942430589313922,49,16518,1614,False,16,54,62,62
18208,6,0.08501755174603119,2.896729258134748,34.07213214970018,48,1.5107728769356457,57.99048744427793,38.38464955890795,48,1.7564737206493426,47.5760974612446,27.08614248077473,48,16518,1690,False,31,6,7,7
18258,6,-0.7763587491375444,-20.53250557627203,26.447187719699887,49,-0.1377639110238503,-5.020597642110544,36.4434894799216,49,0.3982178696151008,10.22304268970941,25.671983780111468,49,16518,1740,False,52,47,38,38
18308,6,-0.3150618768695962,-11.631528226416771,36.91823441790468,49,-0.4245940149894218,-15.478761197092966,36.45543896203671,49,-1.4417522188025758,-36.41281210617267,25.255943171993003,49,16518,1790,False,38,58,74,74
