selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,provenance,target_id,quarter,light_curve_cache_hit,n_grid_observations,n_usable_observations,longest_segment_length,longest_segment_days,median_cadence_days,gap_fraction,robust_flux_scatter_ppm,background_tau_acf_e_days,background_tau_acf_half_days,background_tau_acf_zero_days,background_tau_integrated_positive_acf_days,background_acf_lag_1,background_acf_6h,background_acf_1d,background_acf_2d,background_acf_5d,acf_max_lag_days,preprocessing_n_row_absent,preprocessing_n_unusable_observed,rolling_background_window_cadences,rolling_background_scatter_ppm,rolling_short_residual_scatter_ppm,rolling_background_to_short_scatter_ratio,status,error
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10288718,5,False,4634.0,4486.0,146.0,2.9629766700600157,0.02043432035134174,0.03193785066896848,664.0704350643286,0.02043432035134174,0.02043432035134174,0.02043432035134174,0.02043432035134174,-0.11946198739701108,0.0032998298622146775,0.09178431752269171,0.08587805902962564,,2.9425421305932105,96.0,52.0,49.0,117.8257771661498,669.9980152299104,0.1758598898620883,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10293753,5,False,4634.0,4486.0,146.0,2.9629763982302393,0.02043431848869659,0.03193785066896848,149.2752845780621,0.02043431848869659,0.02043431848869659,0.04086863697739318,0.025429707885922692,0.12223038903864943,0.17229536570986317,0.022812905007793184,-0.04732697407302152,,2.942541862372309,96.0,52.0,49.0,28.706785495822327,124.98083833437484,0.22968949383280612,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10296255,5,False,4634.0,4486.0,146.0,2.9629760766620166,0.020434316305909306,0.03193785066896848,663.4289761529034,0.020434316305909306,0.020434316305909306,0.5517265402595513,0.1466922297355349,0.21264867202398682,0.1319785633938091,0.025526901034564124,-0.050797538752817055,,2.94254154805094,96.0,52.0,49.0,340.5748343620561,441.8359347669877,0.770817417876312,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10337035,5,False,4634.0,4486.0,146.0,2.9629763216435094,0.020434317731996998,0.03193785066896848,558.3883749516251,0.020434317731996998,0.020434317731996998,0.306514765979955,0.08398484479760839,0.16163163679741094,0.018369836245583453,0.016267393018543748,-0.032693196523447994,,2.9425417534075677,96.0,52.0,49.0,178.84296750655366,388.5714259033206,0.4602576401257335,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10355989,5,False,4634.0,4486.0,146.0,2.9629761783508,0.020434316946193576,0.03193785066896848,425.3622228324323,0.0817372677847743,0.06130295083858073,0.36781770503148437,0.22275011999024966,0.8144530762046991,0.09667703493669495,-0.02645115346516418,-0.059192484814143236,,2.942541640251875,96.0,52.0,49.0,124.3477225670825,377.9152066969989,0.3290360386762123,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10358044,5,False,4634.0,4486.0,146.0,2.962975801252469,0.020434314355952665,0.03193785066896848,493.79609035854,0.020434314355952665,0.020434314355952665,0.020434314355952665,0.020434314355952665,-0.03288394382299028,0.0694991336097456,0.07463953424136692,0.009616531427400895,,2.942541267257184,96.0,52.0,49.0,56.448027761339254,460.1921324831015,0.12266187050342947,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10397887,5,False,4634.0,4486.0,146.0,2.96297554118064,0.020434312289580703,0.03193785066896848,356.67704254278016,0.020434312289580703,0.020434312289580703,0.28608037205412984,0.07883381663697187,0.08096061215940503,0.10953554788944178,-0.03127738189476641,-0.01434237596568514,,2.942540969699621,96.0,52.0,49.0,30.152532031780986,200.81586333124,0.1501501501504652,success,
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10411370,5,,,,,,,,,,,,,,,,,,,,,,,,,failed,"RuntimeError: No Kepler light curve found for target='KIC 10411370', quarter=5, author='Kepler', cadence='long'."
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10513339,5,,,,,,,,,,,,,,,,,,,,,,,,,failed,"RuntimeError: No Kepler light curve found for target='KIC 10513339', quarter=5, author='Kepler', cadence='long'."
catalog_clean_background,uncharacterized,False,False,False,False,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3,10537223,5,,,,,,,,,,,,,,,,,,,,,,,,,failed,"RuntimeError: No Kepler light curve found for target='KIC 10537223', quarter=5, author='Kepler', cadence='long'."
