target_id,quarter,selection_group,sample_stratum,koi_flag,tce_flag,confirmed_planet_flag,eb_flag,catalog_clean,provenance
10513339,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10537223,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10551301,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10597684,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10668734,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10677499,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10718455,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10783986,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10803244,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10817031,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10917608,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10989905,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
10989954,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11026153,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11042669,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11245408,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11296306,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11302899,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11349070,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11391629,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11414923,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11450313,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11495006,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11513268,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11521527,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11570427,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11623232,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11666946,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11707841,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11722655,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11753291,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11755277,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
11810346,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12062045,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12106444,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12201846,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12205769,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12256723,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12305751,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12356979,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12645856,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
12645975,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
1431344,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
1431791,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
1721911,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2305497,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2309943,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2571934,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2578061,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2579916,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2715763,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2834231,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
2996004,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3115178,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3230022,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3330180,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3443835,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3459960,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3657874,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3832957,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3860732,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3940608,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
3941697,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4066212,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4177987,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4179590,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4375186,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4450333,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4456589,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4471641,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4544745,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4738590,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4818593,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4832478,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4840401,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4920012,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4935292,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
4940715,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5007812,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5018078,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5089194,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5105798,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5112268,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5171052,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5180796,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5199906,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5268387,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5285553,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5301216,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5309120,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5394284,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
5474520,5,catalog_clean_background,uncharacterized,False,False,False,False,True,NASA Exoplanet Archive DR25 stellar/KOI/TCE + Kepler confirmed names + MAST Kepler EB Revision 3
