injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,injected_epoch_days,observable_transit_count,in_transit_observation_count,raw_bls_recovered_period_days,raw_bls_recovered_score,raw_bls_period_matched,raw_bls_passes_fap_1_percent,raw_bls_recovered,existing_tcf_recovered_period_days,existing_tcf_recovered_score,existing_tcf_period_matched,existing_tcf_passes_fap_1_percent,existing_tcf_recovered,existing_tcf_exact_period_present_top10,existing_tcf_exact_period_rank_top10,kalman_depth_retention_fraction,kalman_snr_retention_fraction,kalman_bls_recovered_period_days,kalman_bls_recovered_power,kalman_bls_recovered,kalman_tcf_recovered_period_days,kalman_tcf_recovered_score,kalman_tcf_recovered,gp_depth_retention_fraction,gp_snr_retention_fraction,gp_length_scale_days,gp_bls_recovered_period_days,gp_bls_recovered_power,gp_bls_recovered,gp_tcf_recovered_period_days,gp_tcf_recovered_score,gp_tcf_recovered,gp_tcf_exact_period_rank_top10,existing_bls_tcf_union,existing_without_gp_union,raw_bls_union_gp_tcf,existing_bls_tcf_union_gp_tcf,existing_bls_tcf_kalman_tcf_union_gp_tcf,all_six_union,gp_tcf_only_vs_raw_bls,raw_bls_only_vs_gp_tcf,gp_tcf_unique_vs_existing_without_gp,gp_bls_unique_vs_existing_without_gp
2.0,4.0,0.0005,0.45,444.4112269027813,47,377,3.998998998998999,162.78687846905626,True,True,True,4.000500050005,45.633888072363526,True,True,True,True,2,0.0632952747413714,0.1175864850180617,1.0,0.0017378708495558,True,4.000500050005,46.24660693257592,True,1.0043140101064008,1.8627650701744003,1.7790675901279431,3.998998998998999,0.0060922017772382,True,1.9996999699969995,34.086910880339985,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,4.0,0.0005,0.75,445.01122690278135,47,374,3.998998998998999,174.63988319184145,True,True,True,1.9996999699969995,65.1306881848277,True,True,True,True,1,0.0573438906554316,0.1056168563638201,1.0,0.0018600869240946,True,1.9996999699969995,65.99456488986128,True,0.850183809785808,1.2968252913617242,1.0,1.0,0.0063955552059976,True,1.9982998299829984,28.207156225746655,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,4.0,0.001,0.15,443.81122690278136,48,373,3.998998998998999,329.6770312478135,True,True,True,1.9996999699969995,131.70447411428069,True,True,True,True,1,0.0242490372831968,0.0429091922097026,1.0,0.0031418484973669,True,1.9996999699969995,131.46303980518618,True,0.796066078882738,0.6516801919235504,1.0,1.0,0.0121680545824535,True,1.0,32.638135552731,True,2.0,True,True,True,True,True,True,False,False,False,False
2.0,4.0,0.001,0.45,444.4112269027813,47,377,3.998998998998999,326.80362510327376,True,True,True,4.000500050005,92.9872681988217,True,True,True,True,4,0.0248751261963575,0.0445214341934687,1.0,0.0030740118597604,True,4.000500050005,93.26475677505076,True,0.8082898936788822,0.6838244708192709,1.0,1.0,0.0120799237933317,True,1.0,32.469792289053096,True,2.0,True,True,True,True,True,True,False,False,False,False
2.0,4.0,0.001,0.75,445.01122690278135,47,374,3.998998998998999,340.221023837124,True,True,True,1.9996999699969995,129.4416831902355,True,True,True,True,1,0.0266055424011638,0.047124010203106,1.0,0.0032175258581406,True,1.9996999699969995,129.1639357716927,True,0.8030284330969434,0.6757567980376089,1.0,1.0,0.0125611377903341,True,1.0,33.27939040285166,True,2.0,True,True,True,True,True,True,False,False,False,False
2.0,8.0,0.0002,0.15,443.81122690278136,48,740,1.994994994994995,102.90873210563257,True,True,True,2.512151215121512,17.83829639916278,False,True,False,True,2,0.0748791527846694,0.1430824344722208,2.5135135135135136,0.0009868051641623,False,1.9996999699969995,18.81458063196466,True,0.9471205195798528,1.8315386004789376,2.097919795530979,1.994994994994995,0.0038435950730609,True,1.996899689968997,12.708329884743648,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0002,0.45,444.4112269027813,48,743,1.994994994994995,104.64023960905142,True,True,True,2.512151215121512,18.169332748332216,False,True,False,True,2,0.0775025832244274,0.1464493993345111,3.998998998998999,0.0009710835608215,True,2.512151215121512,18.173428194781863,False,0.8278361389736699,1.547844476841226,1.0,1.994994994994995,0.0030739719887579,True,1.9996999699969995,12.056674904311892,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0002,0.75,445.01122690278135,47,747,1.994994994994995,109.61363879506654,True,True,True,2.512151215121512,18.50501792634944,False,True,False,True,2,0.0854819970849488,0.1620761872380016,2.5135135135135136,0.0009636493486736,False,1.9996999699969995,19.01750123034096,True,0.9944286319960364,1.9091020938127323,2.1282316390394223,1.994994994994995,0.0041311809364807,True,2.0039003900390036,14.162584197692013,False,1.0,True,True,True,True,True,True,False,True,False,False
2.0,8.0,0.0005,0.15,443.81122690278136,48,740,1.994994994994995,257.7790385418519,True,True,True,1.9996999699969995,39.027420437018016,True,True,True,True,1,0.0292210981304515,0.0535555280379074,1.0,0.0018065162406241,True,1.9996999699969995,40.07156760346647,True,0.9820843925563224,1.7884752534910602,2.143783114865713,1.994994994994995,0.0096368157197654,True,1.9996999699969995,27.364159864188434,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,8.0,0.0005,0.45,444.4112269027813,48,743,1.994994994994995,261.0210271625819,True,True,True,1.9996999699969995,35.39005468830274,True,True,True,True,1,0.0318477197618195,0.0586136181970843,3.998998998998999,0.0018460927374586,True,1.9996999699969995,36.012632685504244,True,0.9897266883448338,1.7853449332877669,2.063917679064225,1.994994994994995,0.0096722207788673,True,1.0,28.156832550963255,True,2.0,True,True,True,True,True,True,False,False,False,False
2.0,8.0,0.0005,0.75,445.01122690278135,47,747,1.994994994994995,268.4577282874752,True,True,True,1.9996999699969995,39.935039707564485,True,True,True,True,1,0.031448050919388,0.0573819881316566,1.0,0.0018344142843679,True,1.9996999699969995,40.015199671496,True,0.992794960122288,1.8535916969409785,2.5871712872650785,1.994994994994995,0.0100851872801822,True,2.0039003900390036,30.214662519608623,True,1.0,True,True,True,True,True,True,False,False,False,False
2.0,8.0,0.001,0.15,443.81122690278136,48,740,1.994994994994995,516.5980022131506,True,True,True,1.9996999699969995,71.37511939042645,True,True,True,True,1,0.012270569018335,0.0215948010822418,1.0,0.0031566591239077,True,1.9996999699969995,71.62627578789277,True,0.591570698244784,0.3092486248371063,1.0,1.0,0.0149455182586356,True,1.0,17.82176417258372,True,2.0,True,True,True,True,True,True,False,False,False,False
2.0,8.0,0.001,0.45,444.4112269027813,48,743,1.994994994994995,523.6326355371211,True,True,True,1.9996999699969995,68.1440250789243,True,True,True,True,1,0.0115722515948906,0.0204607718369139,1.0,0.0031842724572808,True,1.9996999699969995,68.0145104942808,True,0.5826001938409746,0.313985438770875,1.0,1.0,0.0148825764937035,True,1.0,20.04394969983502,True,2.0,True,True,True,True,True,True,False,False,False,False
