target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,zero_injection_control,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,event_consistency_score,consistency_weight,valid_event_count,expected_event_count_event_check,event_observability_fraction,positive_event_fraction,single_event_fraction,anti_dominance_score,combined_event_snr,leave_one_out_combined_snr_min,leave_one_out_ratio,leave_one_out_ratio_normalized,median_event_depth,event_depth_relative_mad,event_consistent_flag,raw_rank_of_selected_candidate,ranking_changed,raw_top1_period_days,raw_top1_epoch_days,raw_top1_duration_hours,raw_top1_mes,raw_top1_max_ses,raw_top1_period_exact_fractional_error,raw_top1_exact_period_recovered,raw_top1_harmonic_period_recovered,raw_fap_threshold,hardened_fap_threshold,raw_empirical_p_value,hardened_empirical_p_value,raw_passes_fap,hardened_passes_fap,raw_fap_harmonic_recovered,hardened_fap_harmonic_recovered
1431344,5,gap_heavy,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.0104384814403,4.0,0.0002,0.15,True,,12.260731088463215,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.4022353747859597,db6,44,686,7,0.0132676446161727,0.0001999980667507,85,72.76599349367415,0.7717295536707037,8,8,1.0,0.625,0.281549439606814,0.8210863547350696,2.519441845009577,1.628921069136201,0.6465404519507809,0.6911808165399435,0.0001093651553769,0.9143608455890396,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,94.28949966677489,85.67167824616584,0.2260731088463217,False,False,122.31882622854027,98.78636198738378,0.1485148514851485,0.13861386138613863,False,False,False,False
1431344,5,gap_heavy,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.0104384814403,8.0,0.0005,0.75,True,,12.260731088463215,449.64086386159033,9.808584870770574,96.01422400913984,85.67167824616584,3,8,0.375,600,20,0.2260731088463217,False,False,0.3998576668091118,db6,44,686,7,0.0209698320098783,0.0004999991196493,154,61.800893433024,0.6436639369927211,8,8,1.0,0.625,0.4467844546190461,0.632246337578233,3.375904312955701,1.371717011069422,0.4063257971516509,0.4343805486712243,0.0001093651553769,1.2580978400741576,False,1,False,12.260731088463215,449.64086386159033,9.808584870770574,96.01422400913984,85.67167824616584,0.2260731088463217,False,False,122.31882622854027,98.78636198738378,0.13861386138613863,0.25742574257425743,False,False,False,False
10677499,5,high_scatter,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.8105127709467,2.0,0.0002,0.15,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,3,7,0.4285714285714285,700,20,6.152003943338059,False,False,0.4010252077132463,db6,43,686,7,0.0132896965331359,0.0001999850650827,225,47.70752584902078,0.8624974766354143,5,7,0.7142857142857143,1.0,0.2958427240561751,0.880196594929781,10.792288169930702,8.4964637875593,0.787271767930735,0.8801965949297812,0.0024568412644264,0.2026200775495287,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.31323527475918,56.70784043172604,6.152003943338059,False,False,284.30079421952524,224.7929701590781,1.0,0.693069306930693,False,False,False,False
10677499,5,high_scatter,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.41051277094664,4.0,0.0005,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,3,7,0.4285714285714285,700,20,6.152003943338059,False,False,0.4007012080401182,db6,43,686,7,0.0209786417283954,0.0004999951337439,418,47.53458262601958,0.8580500607468282,5,7,0.7142857142857143,1.0,0.3030858898210137,0.8711426377237328,10.77376118412884,8.394630959870671,0.7791736624194958,0.871142637723733,0.0025152941767673,0.3108375409741739,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.39837918622895,56.70784043172604,6.152003943338059,False,False,284.30079421952524,224.7929701590781,1.0,0.693069306930693,False,False,False,False
10677499,5,high_scatter,2,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,447.26051277094666,2.0,0.0005,0.75,True,,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,3,7,0.4285714285714285,693,20,1.8321935615618712,False,False,0.4002215838991105,db6,43,686,7,0.0210136531127274,0.000499995382505,97,0.0,0.0,6,7,0.8571428571428571,0.6666666666666666,0.4349970093669035,0.6780035887597157,2.1441185290020695,-0.3639176890069813,0.0,0.0,0.0018588087783572,1.1132840031181104,False,1,False,14.160967807809357,447.0864306432559,9.808462550863624,55.58760277645332,56.70784043172604,1.8321935615618712,False,False,284.30079421952524,224.7929701590781,1.0,1.0,False,False,False,False
10677499,5,high_scatter,3,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,5.0,445.76051277094666,8.0,0.0002,0.45,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.291577303748106,56.70784043172604,3,7,0.4285714285714285,700,20,1.8608015773352236,False,False,0.399589458014816,db6,43,686,7,0.0132623429222056,0.0001999998158943,305,47.64300267021842,0.8616683587897718,5,7,0.7142857142857143,1.0,0.2971958845283612,0.8785051443395484,10.65322535223727,8.370866512039946,0.785758888530598,0.8785051443395485,0.0025152941767673,0.2323655263706327,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.291577303748106,56.70784043172604,1.8608015773352236,False,False,284.30079421952524,224.7929701590781,1.0,0.693069306930693,False,False,False,False
10677499,5,high_scatter,4,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,445.01051277094666,4.0,0.0002,0.15,True,,14.304007886676118,446.9433905643891,9.808462550863624,55.25485273702601,56.70784043172604,3,7,0.4285714285714285,700,20,0.4304007886676118,False,False,0.4005328328348696,db6,43,686,7,0.013267644438073,0.0001999991475386,85,47.64365642759952,0.8622528894312613,5,7,0.7142857142857143,1.0,0.2962420375472099,0.8796974530659876,10.687526854231686,8.409216757134876,0.7868253218755916,0.8796974530659876,0.0025152941767673,0.2323655263706327,True,1,False,14.304007886676118,446.9433905643891,9.808462550863624,55.25485273702601,56.70784043172604,0.4304007886676118,False,False,284.30079421952524,224.7929701590781,1.0,0.693069306930693,False,False,False,False
10677499,5,high_scatter,5,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,10.0,451.01051277094666,8.0,0.0005,0.75,True,,14.160967807809357,447.0864306432559,9.808462550863624,58.07327662089649,60.08417947708543,3,7,0.4285714285714285,693,20,0.4160967807809356,False,False,0.3990874169394374,db6,43,686,7,0.0209698319388811,0.000499999632435,154,0.0,0.0,6,7,0.8571428571428571,0.6666666666666666,0.4708417219450789,0.6349899336659053,2.563572103387248,-0.326856738743163,0.0,0.0,0.0019828516543083,0.9508911601222148,False,1,False,14.160967807809357,447.0864306432559,9.808462550863624,58.07327662089649,60.08417947708543,0.4160967807809356,False,False,284.30079421952524,224.7929701590781,1.0,1.0,False,False,False,False
2996004,5,high_scatter,0,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,443.81035493959354,2.0,0.0002,0.15,True,,9.195538860512896,444.9408148622315,9.80857478454709,26.214271037045727,25.751604685811024,5,11,0.4545454545454545,450,20,3.5977694302564487,False,False,0.3994654160924256,db6,43,686,7,0.0132896972204048,0.0001999998638709,229,0.0,0.0,11,11,1.0,0.3636363636363636,0.3589500541187209,0.705154940469407,-1.550654112917341,-3.889235468375621,0.0,0.0,-0.0013283608115784,4.081657718757469,False,1,False,9.195538860512896,444.9408148622315,9.80857478454709,26.214271037045727,25.751604685811024,3.5977694302564487,False,False,1037.7554349203942,786.227170394622,1.0,1.0,False,False,False,False
2996004,5,high_scatter,1,tps_like_event_consistency_hardened,integrated_wavelet_whitening,tps_like_event_consistency,False,2.0,444.4103549395935,4.0,0.0005,0.45,True,,11.995069580269046,448.4759886908287,5.885144870728254,35.27956550565598,28.381077193476283,6,8,0.75,587,12,4.997534790134523,False,False,0.4019897091202438,db6,43,686,7,0.0209786419970414,0.0004999998843283,418,19.87905885759061,0.563472326619318,8,8,1.0,0.625,0.4071490778906348,0.6775439109821316,3.3148734573747403,0.7381487415184266,0.2226778038468514,0.2380525856097629,0.0006703813445311,4.755091892391663,False,1,False,11.995069580269046,448.4759886908287,5.885144870728254,35.27956550565598,28.381077193476283,4.997534790134523,False,False,1037.7554349203942,786.227170394622,1.0,0.6435643564356436,False,False,False,False
