run_id,config_hash,star_id,injection_id,injection_kind,period_days,epoch_days,duration_days,depth,epoch_phase_fraction,batman_used,seed,template_hash,success,error,diagnostics
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3657874_q5,batman_00001,batman,5.0,445.73982581104065,0.16666666666666666,0.0005,0.45,1,124,bfaace7811ab7721,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_3657874_q5,batman_00002,batman,5.0,445.73982581104065,0.16666666666666666,0.001,0.45,1,125,2b0155d6b977abc4,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7031686_q5,batman_00000,batman,5.0,445.740206355149,0.16666666666666666,0.0002,0.45,1,123,e879ae59e156e12a,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7031686_q5,batman_00001,batman,5.0,445.740206355149,0.16666666666666666,0.0005,0.45,1,124,b9010b899d247f15,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7031686_q5,batman_00002,batman,5.0,445.740206355149,0.16666666666666666,0.001,0.45,1,125,5c3ce7a315c48390,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7771970_q5,batman_00000,batman,5.0,445.7397954558619,0.16666666666666666,0.0002,0.45,1,123,69b6f1182f55402b,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7771970_q5,batman_00001,batman,5.0,445.7397954558619,0.16666666666666666,0.0005,0.45,1,124,7c9bc97dfdd58961,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_7771970_q5,batman_00002,batman,5.0,445.7397954558619,0.16666666666666666,0.001,0.45,1,125,5f0ac2fffa7f8150,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9414701_q5,batman_00000,batman,5.0,445.7400174383438,0.16666666666666666,0.0002,0.45,1,123,6cde45aa592d83a0,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9414701_q5,batman_00001,batman,5.0,445.7400174383438,0.16666666666666666,0.0005,0.45,1,124,b87145aed52a22d6,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9414701_q5,batman_00002,batman,5.0,445.7400174383438,0.16666666666666666,0.001,0.45,1,125,4edf970c049c74a1,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9451256_q5,batman_00000,batman,5.0,445.7407327358742,0.16666666666666666,0.0002,0.45,1,123,e200d2acaa7e1d4b,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9451256_q5,batman_00001,batman,5.0,445.7407327358742,0.16666666666666666,0.0005,0.45,1,124,e7aa172205438186,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9451256_q5,batman_00002,batman,5.0,445.7407327358742,0.16666666666666666,0.001,0.45,1,125,e65f9c04031857a5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9542723_q5,batman_00000,batman,5.0,445.73992028754583,0.16666666666666666,0.0002,0.45,1,123,a7102f0389110a3e,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9542723_q5,batman_00001,batman,5.0,445.73992028754583,0.16666666666666666,0.0005,0.45,1,124,ec34f835fd3924ac,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9542723_q5,batman_00002,batman,5.0,445.73992028754583,0.16666666666666666,0.001,0.45,1,125,9ed159fc3ea3f4b5,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9603403_q5,batman_00000,batman,5.0,445.7399449550212,0.16666666666666666,0.0002,0.45,1,123,43af8998c1700f7d,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9603403_q5,batman_00001,batman,5.0,445.7399449550212,0.16666666666666666,0.0005,0.45,1,124,e59a31cb7a80e126,1,,
demo50_d4f2293ed6d030b2,d4f2293ed6d030b2,kic_9603403_q5,batman_00002,batman,5.0,445.7399449550212,0.16666666666666666,0.001,0.45,1,125,81f2f47e353908ad,1,,
