trial,max_power,best_period,best_duration,best_epoch,best_depth
218,46.51015846934565,12.785785785785786,0.41875,453.23310190278136,0.00016029785093571105
219,43.97864165031846,13.556556556556556,0.41875,444.38310190278133,0.00014080691567776825
220,46.88536338281868,14.08908908908909,0.41875,454.22060190278137,0.00016160501676035262
221,48.7587477411592,13.626626626626626,0.41875,450.02685190278135,0.0001641392929749687
222,39.21896022577751,5.666666666666667,0.41875,448.72685190278133,8.479821734801347e-05
223,37.00641263668191,13.556556556556556,0.41875,448.3018519027813,0.0001274984718437985
224,40.198646738043095,10.963963963963964,0.41875,444.22685190278133,0.00011387874073844912
225,44.26501729186578,9.492492492492492,0.41875,447.15810190278137,0.00013255319187414834
226,39.9468360305872,7.082082082082082,0.41875,445.87060190278135,9.206519832752387e-05
227,42.76101519330546,11.328328328328329,0.36875,447.85185190278133,0.0001440122375244609
228,46.026903573058824,14.13113113113113,0.36875,450.1143519027813,0.00015731956449569742
229,36.15992359498624,11.594594594594595,0.41875,450.77685190278135,0.00010831243599144495
230,41.782783488104336,8.637637637637638,0.41875,444.57685190278136,0.00010729935757625755
231,45.66638490583241,11.762762762762762,0.41875,448.09560190278137,0.00013887293417329653
232,45.02864117697973,2.4994994994994997,0.3125,444.6299769027813,7.59431990033802e-05
233,41.479750744595236,13.612612612612612,0.2625,449.91747690278135,0.00018133192993147545
234,49.742991281222665,6.7457457457457455,0.41875,446.63310190278133,0.00011411506618173048
235,49.384670537284606,11.328328328328329,0.41875,453.63310190278133,0.000152929209859274
236,47.969303224427044,9.912912912912914,0.41875,445.77685190278135,0.00013514899605742496
237,44.687974282697574,13.696696696696696,0.41875,449.37685190278137,0.000154613512890705
238,41.71548926981036,13.892892892892894,0.2625,451.0987269027813,0.0001667265010365836
239,53.49685678901274,8.553553553553552,0.41875,446.33935190278135,0.00013796957464296247
240,44.18588492150886,13.248248248248249,0.41875,443.8956019027813,0.0001318671146995407
241,41.89416528465475,6.003003003003003,0.41875,443.98310190278136,9.27102678957937e-05
242,50.04402058273935,4.5175175175175175,0.41875,443.73310190278136,9.74281075052049e-05
243,44.043530864784785,7.614614614614615,0.41875,447.8956019027813,0.00010907286414898359
244,45.57241902311599,11.202202202202201,0.41875,454.55810190278135,0.0001356673202185594
245,42.34126908444247,11.902902902902904,0.41875,445.19560190278133,0.00012995289054921886
246,47.255623050127866,11.846846846846846,0.41875,443.77685190278135,0.0001411308383741051
247,46.84097292571632,9.772772772772774,0.41875,446.37060190278135,0.0001323276719341944
248,51.77010338093195,14.383383383383384,0.41875,452.12685190278137,0.00017989518794175646
249,53.612024796403894,9.478478478478479,0.41875,445.24560190278135,0.0001449280735225037
250,38.90803483127101,11.622622622622622,0.41875,446.12060190278135,0.00012589336470035466
251,41.64636833304589,10.333333333333334,0.41875,447.78310190278137,0.00011833142246678077
252,50.627015089353556,13.976976976976976,0.41875,456.67060190278136,0.00017242857463848908
253,40.960476935946296,12.183183183183184,0.41875,452.58935190278135,0.00012296936206543192
254,52.784264775375014,8.973973973973974,0.41875,443.72685190278133,0.00013551117633586545
255,48.67719092036029,9.912912912912914,0.36875,446.19560190278133,0.0001470419218865739
256,53.49392620500922,13.612612612612612,0.2625,444.1299769027813,0.00021500959267116922
257,50.65402658864895,14.523523523523524,0.21250000000000002,457.5987269027813,0.00024318017216547622
258,42.58178419984522,11.076076076076076,0.41875,451.4581019027813,0.00012682889638122722
259,43.848702492083206,10.851851851851851,0.41875,453.2393519027813,0.00013457037237089956
260,43.176768165988605,15.0,0.36875,449.70185190278136,0.0001586686502466273
261,48.50610172833083,13.598598598598599,0.41875,450.23310190278136,0.00015970736260731503
262,41.94797642896629,3.830830830830831,0.41875,445.0831019027813,7.563042492766712e-05
263,44.72927003916628,13.374374374374375,0.41875,451.69560190278133,0.00014419047016037348
264,46.84587975630704,5.106106106106106,0.41875,444.63935190278136,9.5894580463056e-05
265,42.502635622131955,14.78978978978979,0.3125,443.74872690278136,0.00015678199244757338
266,50.40659644279859,13.962962962962964,0.41875,457.26435190278136,0.00017371652573895443
267,42.99930937078834,14.71971971971972,0.41875,455.23310190278136,0.00014818315060821535
268,41.819828759597335,7.418418418418418,0.41875,447.65810190278137,9.940515515381601e-05
269,43.84255643461677,2.70970970970971,0.41875,443.72060190278137,6.774677242258776e-05
270,50.03685449084592,6.031031031031031,0.41875,448.88310190278133,0.00011124493418884167
271,43.57880448393191,7.4324324324324325,0.41875,448.23310190278136,0.0001035703838588437
272,45.40645643777812,9.842842842842844,0.41875,445.31435190278137,0.00012931306315040378
273,39.04598774429102,14.285285285285285,0.41875,449.67060190278136,0.0001258164736196573
274,41.914802804339764,11.454454454454455,0.41875,454.81435190278137,0.00012475848233973503
275,52.73235241968982,9.674674674674675,0.41875,447.22060190278137,0.00014707851410904565
276,40.295094915626294,3.4664664664664664,0.41875,444.93310190278135,7.054584637806842e-05
277,51.09510758073872,4.741741741741741,0.41875,445.48310190278136,9.981265793998957e-05
278,47.83269026356312,12.925925925925926,0.41875,451.23310190278136,0.00015315688425356753
279,46.726963947243426,10.03903903903904,0.41875,444.15185190278135,0.0001323574471611884
280,45.422679462005554,11.062062062062061,0.41875,444.8956019027813,0.00012901256020107733
281,40.45784370368858,4.461461461461461,0.41875,446.2393519027813,7.860040910253624e-05
282,59.43978004663473,13.276276276276276,0.41875,449.34560190278137,0.0002056219248687594
283,43.74541553912872,13.766766766766766,0.41875,449.73310190278136,0.00014052452471649283
284,49.19070711365415,6.7457457457457455,0.41875,448.93310190278135,0.00011752394601601018
285,46.98081239316211,9.744744744744745,0.41875,448.87685190278137,0.00012664962256538312
286,41.4644907545158,4.923923923923924,0.41875,445.31435190278137,8.459172948200088e-05
287,43.91516636644624,5.806806806806807,0.41875,443.8643519027813,9.22332179080962e-05
288,50.343900225245584,12.575575575575575,0.3125,448.57372690278135,0.00017481921802726496
289,45.84646974254648,2.191191191191191,0.41875,445.54560190278136,6.547064155870825e-05
290,52.538206609176584,7.4324324324324325,0.41875,445.82060190278133,0.00013006471056343336
291,66.03871181967105,10.683683683683684,0.41875,449.25185190278137,0.00018660737993556623
292,49.3726531742235,11.118118118118119,0.36875,444.34560190278137,0.000148729559261501
293,48.35391015294824,13.794794794794795,0.41875,454.10810190278136,0.00015366734078933094
294,45.28223809565789,4.391391391391391,0.41875,445.80810190278135,8.514111356526656e-05
295,49.68744517799038,14.593593593593594,0.36875,446.00810190278133,0.0002006922781379317
296,43.25330252922218,9.548548548548549,0.3125,444.14247690278137,0.0001339998199109729
297,44.71510015920642,7.5025025025025025,0.41875,444.07060190278133,0.00011006687232829078
298,42.78065048079932,8.427427427427428,0.36875,444.3331019027813,0.00011195797878599495
299,48.643434407502674,11.58058058058058,0.41875,453.00185190278137,0.0001525630504680737
300,37.94785986242204,2.8078078078078077,0.41875,444.9268519027813,6.0221327154727115e-05
301,46.1680888147896,14.50950950950951,0.41875,452.55810190278135,0.00015787194776053267
302,39.95745137076494,4.923923923923924,0.41875,445.35185190278133,8.192163724463796e-05
303,50.87328726316807,4.601601601601601,0.41875,445.57685190278136,9.734376588440801e-05
304,49.51517635313978,14.775775775775776,0.3125,456.7237269027813,0.00019902052239461273
305,49.111743200886735,7.880880880880881,0.41875,445.32685190278136,0.00012114064061502105
306,50.8788895774451,7.67067067067067,0.41875,447.93935190278137,0.0001264868353278172
307,44.78682089690183,11.314314314314315,0.41875,454.2706019027813,0.00013411142284618425
308,45.25277444596625,8.735735735735735,0.41875,450.23310190278136,0.00011638875152625796
309,59.59030316647746,14.01901901901902,0.41875,445.04560190278136,0.00019143708860756568
310,42.96868304006164,4.2092092092092095,0.41875,445.37685190278137,8.038876408770803e-05
311,43.807854523311605,9.156156156156156,0.41875,446.59560190278137,0.00011545001964659041
312,46.56337214545795,11.202202202202201,0.41875,451.63310190278133,0.0001403212922592845
313,44.975293426604374,8.105105105105105,0.3125,443.69872690278135,0.00013350056856293425
314,43.54103289079494,14.27127127127127,0.41875,447.8331019027813,0.0001417769041608013
315,48.67544155173606,6.213213213213213,0.41875,447.18310190278135,0.00010821819419161003
316,41.95982679589927,4.027027027027027,0.36875,446.9581019027813,8.288791894834742e-05
317,47.34792465717162,8.987987987987989,0.3125,448.23622690278137,0.0001495046694685579
318,47.53405789094764,8.203203203203202,0.41875,444.22685190278133,0.00011813298702063655
319,46.98741918093194,12.995995995995996,0.41875,454.63310190278133,0.0001514326546167895
320,44.81338349317623,12.477477477477477,0.41875,448.12685190278137,0.0001341871412817367
321,43.318452895468404,10.375375375375375,0.41875,451.28935190278133,0.00012304487901621498
322,47.537877641880144,7.936936936936937,0.41875,450.55810190278135,0.00011699507151635909
323,44.70701472630878,11.594594594594595,0.41875,452.51435190278136,0.00014305265573188604
324,45.878442373463336,12.28128128128128,0.41875,444.8643519027813,0.00013992899860687495
