injected_period_days,injected_epoch_days,epoch_phase_fraction,injected_duration_hours,injected_depth,observable_transit_count,in_transit_observation_count,recovered_period_days,recovered_epoch_days,recovered_duration_hours,recovered_depth,recovered_power,period_error_fraction,period_matched,depth_retention_fraction,duration_recovery_fraction,fap_1_percent_threshold,fap_0_1_percent_threshold,passes_fap_1_percent,passes_fap_0_1_percent,recovered_at_fap_1_percent,recovered_at_fap_0_1_percent
5.0,444.26122690278135,0.15,8.0,0.0005,19,290,4.993993993993994,444.30497690278133,7.5,0.00048115811336193554,205.2295760603701,0.0012012012012011298,True,0.9623162267238711,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,8.0,0.0005,19,287,4.993993993993994,445.82060190278133,8.850000000000001,0.0004532646756087949,207.8819137693952,0.0012012012012011298,True,0.9065293512175898,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,8.0,0.0005,19,308,4.993993993993994,447.3174769027813,7.5,0.0004602693365084674,201.97598644519806,0.0012012012012011298,True,0.9205386730169347,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
5.0,444.26122690278135,0.15,8.0,0.001,19,290,4.993993993993994,444.30810190278135,8.850000000000001,0.000875771699938815,403.32134810772993,0.0012012012012011298,True,0.875771699938815,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,445.76122690278135,0.45,8.0,0.001,19,287,4.993993993993994,445.82060190278133,8.850000000000001,0.0008845467142760692,405.68187568369984,0.0012012012012011298,True,0.8845467142760692,1.1062500000000002,59.886436655977455,74.3910856153261,True,True,True,True
5.0,447.26122690278135,0.75,8.0,0.001,19,308,4.993993993993994,447.3174769027813,7.5,0.0009267346566177577,406.670902439924,0.0012012012012011298,True,0.9267346566177577,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,2.0,0.0002,10,39,11.72072072072072,454.15497690278136,7.5,0.00016569833213616006,47.9190762322691,0.17207207207207204,False,0.8284916606808003,3.75,59.886436655977455,74.3910856153261,False,False,False,False
10.0,448.01122690278135,0.45,2.0,0.0002,10,41,11.72072072072072,454.15497690278136,7.5,0.00016560673155086535,47.89258583026523,0.17207207207207204,False,0.8280336577543267,3.75,59.886436655977455,74.3910856153261,False,False,False,False
10.0,451.01122690278135,0.75,2.0,0.0002,9,37,11.72072072072072,454.15497690278136,7.5,0.0001725786068894183,49.90881509173701,0.17207207207207204,False,0.8628930344470915,3.75,59.886436655977455,74.3910856153261,False,False,False,False
10.0,445.01122690278135,0.15,2.0,0.0005,10,39,9.996996996996996,445.01747690278137,2.7,0.00042118732610285723,80.46853945130341,0.00030030030030037125,True,0.8423746522057145,1.35,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,2.0,0.0005,10,41,9.996996996996996,448.02997690278136,1.5,0.00048633306673313793,71.91434730594662,0.00030030030030037125,True,0.9726661334662758,0.75,59.886436655977455,74.3910856153261,True,False,True,False
10.0,451.01122690278135,0.75,2.0,0.0005,9,37,9.996996996996996,451.02372690278133,2.7,0.0004258122592093032,79.75052738898725,0.00030030030030037125,True,0.8516245184186063,1.35,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,2.0,0.001,10,39,9.996996996996996,445.01747690278137,2.7,0.0007962056800359689,152.116419950585,0.00030030030030037125,True,0.7962056800359688,1.35,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,2.0,0.001,10,41,9.996996996996996,448.02997690278136,1.5,0.0009852105167354047,145.68363970377212,0.00030030030030037125,True,0.9852105167354047,0.75,59.886436655977455,74.3910856153261,True,True,True,True
10.0,451.01122690278135,0.75,2.0,0.001,9,37,9.996996996996996,451.02372690278133,2.7,0.0007957464558997608,149.03563284853612,0.00030030030030037125,True,0.7957464558997608,1.35,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,4.0,0.0002,10,76,9.996996996996996,445.02372690278133,3.9000000000000004,0.00022634261358538176,51.79771591325102,0.00030030030030037125,True,1.1317130679269087,0.9750000000000001,59.886436655977455,74.3910856153261,False,False,False,False
10.0,448.01122690278135,0.45,4.0,0.0002,10,80,11.72072072072072,454.15497690278136,7.5,0.00016381833746534398,47.375391773978556,0.17207207207207204,False,0.8190916873267199,1.875,59.886436655977455,74.3910856153261,False,False,False,False
10.0,451.01122690278135,0.75,4.0,0.0002,9,74,9.996996996996996,451.02372690278133,3.9000000000000004,0.00025165607120640905,56.028961202499985,0.00030030030030037125,True,1.2582803560320452,0.9750000000000001,59.886436655977455,74.3910856153261,False,False,False,False
10.0,445.01122690278135,0.15,4.0,0.0005,10,76,9.996996996996996,445.02372690278133,3.9000000000000004,0.0005181300898353547,118.57225987750213,0.00030030030030037125,True,1.0362601796707094,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,4.0,0.0005,10,80,9.996996996996996,448.02997690278136,3.9000000000000004,0.0004620765807711434,109.15795466564282,0.00030030030030037125,True,0.9241531615422868,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,451.01122690278135,0.75,4.0,0.0005,9,74,9.996996996996996,451.02372690278133,3.9000000000000004,0.0005471753135991743,121.82366302408175,0.00030030030030037125,True,1.0943506271983485,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,4.0,0.001,10,76,9.996996996996996,445.02372690278133,3.9000000000000004,0.0010044425502519758,229.86316648458725,0.00030030030030037125,True,1.0044425502519758,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,4.0,0.001,10,80,9.996996996996996,448.02997690278136,3.9000000000000004,0.0009366664334710365,221.271962995892,0.00030030030030037125,True,0.9366664334710364,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,451.01122690278135,0.75,4.0,0.001,9,74,9.996996996996996,451.02372690278133,3.9000000000000004,0.001039707384253784,231.4814993933849,0.00030030030030037125,True,1.0397073842537838,0.9750000000000001,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,8.0,0.0002,10,153,9.996996996996996,445.01747690278137,7.5,0.00022047949656200849,69.36315906258235,0.00030030030030037125,True,1.1023974828100425,0.9375,59.886436655977455,74.3910856153261,True,False,True,False
10.0,448.01122690278135,0.45,8.0,0.0002,10,161,9.996996996996996,448.02372690278133,7.5,0.00019106192959617783,61.30860182679156,0.00030030030030037125,True,0.9553096479808891,0.9375,59.886436655977455,74.3910856153261,True,False,True,False
10.0,451.01122690278135,0.75,8.0,0.0002,9,145,9.996996996996996,451.02372690278133,7.5,0.00024037588751904627,73.52538683894618,0.00030030030030037125,True,1.2018794375952313,0.9375,59.886436655977455,74.3910856153261,True,False,True,False
10.0,445.01122690278135,0.15,8.0,0.0005,10,153,9.996996996996996,445.02372690278133,7.5,0.0005191472402638193,163.3240782986951,0.00030030030030037125,True,1.0382944805276386,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,8.0,0.0005,10,161,9.996996996996996,448.02372690278133,7.5,0.0004903003977175313,157.3292592758521,0.00030030030030037125,True,0.9806007954350625,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,451.01122690278135,0.75,8.0,0.0005,9,145,9.996996996996996,451.02372690278133,7.5,0.0005397553067296829,165.09858012496977,0.00030030030030037125,True,1.079510613459366,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,445.01122690278135,0.15,8.0,0.001,10,153,9.996996996996996,445.02372690278133,7.5,0.0010181104575482337,320.29824910718423,0.00030030030030037125,True,1.0181104575482336,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,448.01122690278135,0.45,8.0,0.001,10,161,9.996996996996996,448.02372690278133,7.5,0.0009890311779197872,317.36368835761976,0.00030030030030037125,True,0.9890311779197872,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
10.0,451.01122690278135,0.75,8.0,0.001,9,145,9.996996996996996,451.02372690278133,7.5,0.0010387210054140774,317.72056893500917,0.00030030030030037125,True,1.0387210054140774,0.9375,59.886436655977455,74.3910856153261,True,True,True,True
