configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
optimized_reference,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.00017072589418865285,2.797205058931419e-05,-3.372395189615591e-05
optimized_reference,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.00016963062864656323,2.79624095937261e-05,2.2397281466087805e-05
optimized_reference,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.0001685959818396635,2.7952633527934315e-05,-3.3367648677958862e-06
optimized_reference,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.00016762059479653955,2.794277798193401e-05,-9.143985024244374e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.1816327449269,-0.32959415785444435,-0.0004176804420014113,-0.0004176804420014113,False,-0.00021234877526944652,9.075849990392402e-05,-0.00020533166673196478
fixed_l_over_duration_0.5,1,489.51122690278135,489.2020668653058,-0.3091600374755217,-0.0004173405420079268,-0.0004173405420079268,False,-0.00022571604624391307,7.697506522962574e-05,-0.00019162449576401374
fixed_l_over_duration_0.5,1,489.51122690278135,489.2225011856208,-0.2887257171605597,-0.00016332194687240786,-0.00016332194687240786,False,-0.00023587814101424352,6.229949750807306e-05,7.255619414183565e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.24293540594226,-0.26829149683908327,-0.00027956774464632517,-0.00027956774464632517,False,-0.00024061149216459654,5.541867837464679e-05,-3.8956252481728624e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.2633697262572,-0.24785717652412131,-0.00024002604540351857,-0.00024002604540351857,False,-0.0002391833520449289,6.229957034871759e-05,-8.426933585896758e-07
fixed_l_over_duration_0.5,1,489.51122690278135,489.28380384651973,-0.22742305626161397,-0.0002550949451148865,-0.0002550949451148865,False,-0.0002326497606805673,7.69750360692138e-05,-2.2445184434319196e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.304238066783,-0.20698883599834517,-0.000243764945331848,-0.000243764945331848,False,-0.00022343553080545327,9.075861477041093e-05,-2.0329414526394738e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.32467238703975,-0.18655451574159088,-0.00024875014523639827,-0.00024875014523639827,False,-0.00021436541624626957,9.868694963372865e-05,-3.4384728990128694e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.34510650724405,-0.1661203955372912,-0.00020762224602399737,-0.00020762224602399737,False,-0.00020756248807398225,9.868707691559522e-05,-5.97579500151229e-08
fixed_l_over_duration_0.5,1,489.51122690278135,489.3655407273909,-0.1456861753904377,-0.0001408885473019872,-0.0001408885473019872,False,-0.0002036853485889593,9.075900855260997e-05,6.27968012869721e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.38597504758945,-0.12525185519189108,-0.00014394764724334763,-0.00014394764724334763,False,-0.00020181715630948502,7.69754152959351e-05,5.7869509066137386e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.40640916773555,-0.10481773504579905,-0.00016490814684200217,-0.00016490814684200217,False,-0.00020002003009310815,6.229968809624545e-05,3.5111883251105985e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.4268433878242,-0.08438351495715324,-0.00022609014567032126,-0.00022609014567032126,False,-0.00019627822634008703,5.541878587493828e-05,-2.981191933023423e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.4472777079063,-0.06394919487502193,-0.00012502654760571108,-0.001125026547605711,True,-0.00018939851841585426,6.230199838039203e-05,-0.0009356280291898569
fixed_l_over_duration_0.5,1,489.51122690278135,489.46771192799497,-0.043514974786376115,-0.0001965188462366152,-0.0011965188462366152,True,-0.0001794833138708076,7.69842582896442e-05,-0.0010170355323658076
fixed_l_over_duration_0.5,1,489.51122690278135,489.48814604802465,-0.02308085475669941,-0.00012751914755804172,-0.0011275191475580417,True,-0.00016780693415373792,9.078057870213438e-05,-0.0009597122134043038
fixed_l_over_duration_0.5,1,489.51122690278135,489.50858036804857,-0.0026465347327757627,-0.0002010508461498528,-0.0012010508461498528,True,-0.0001562010998383424,9.872930014156652e-05,-0.0010448497463115105
fixed_l_over_duration_0.5,1,489.51122690278135,489.52901448807825,0.017787585296900943,-0.000131144747488543,-0.001131144747488543,True,-0.0001462625530067891,9.875598101441911e-05,-0.000984882194481754
fixed_l_over_duration_0.5,1,489.51122690278135,489.5494487080505,0.03822180526913144,-0.00020286364611521446,-0.0012028636461152145,True,-0.00013874310982925798,9.085122818291466e-05,-0.0010641205362859566
fixed_l_over_duration_0.5,1,489.51122690278135,489.5698830280162,0.05865612523484742,-0.00012026794769681715,-0.0011202679476968172,True,-0.0001333730005338137,7.706394830026868e-05,-0.0009868949471630035
fixed_l_over_duration_0.5,1,489.51122690278135,489.59031714792945,0.0790902451481088,-0.00016218894689412622,-0.0011621889468941262,True,-0.0001291510723279035,6.233152930251518e-05,-0.0010330378745662227
fixed_l_over_duration_0.5,1,489.51122690278135,489.6107513678435,0.09952446506213164,-0.00014190824728244067,-0.00014190824728244067,False,-0.00012493079194232122,5.543919700184787e-05,-1.6977455340119448e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.631185687751,0.11995878496963996,-0.00018439574646877954,-0.00018439574646877954,False,-0.00012001810144338825,6.271822569064902e-05,-6.437764502539129e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.65161980760604,0.1403929048246937,-0.0001482530471609289,-0.0001482530471609289,False,-0.0001145169021725665,7.847253645704856e-05,-3.373614498836241e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.67205402740365,0.1608271246223012,-0.0001405486473085027,-0.0001405486473085027,False,-0.0001092893340780798,9.418635701863679e-05,-3.125931323042289e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.69248834725295,0.18126144447160186,-0.00013941564733022105,-0.00013941564733022105,False,-0.00010557365331541042,0.00010503024075019586,-3.3841994014810624e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.7129224670498,0.20169556426844792,-0.00021102124595895333,-0.00021102124595895333,False,-0.00010444340301576706,0.00010881561191953312,-0.00010657784294318627
fixed_l_over_duration_0.5,1,489.51122690278135,489.73335678678995,0.22212988400860922,-0.00021464684588956562,-0.00021464684588956562,False,-0.00010634818617748457,0.00010492237230541617,-0.00010829865971208105
fixed_l_over_duration_0.5,1,489.51122690278135,489.7537910065221,0.24256410374073312,-0.00020252374612161894,-0.00020252374612161894,False,-0.0001109296414277888,9.400103423792053e-05,-9.159410469383015e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.7742251262025,0.26299822342116386,,,False,-0.00011718145004231337,7.829160977317556e-05,
fixed_l_over_duration_0.5,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.0001238724219109868,6.266194515916114e-05,-8.057742417382196e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.00013003553708182207,5.53850997758082e-05,-1.7197810098653352e-05
fixed_l_over_duration_0.5,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.00013529742716370782,6.147672120499937e-05,-3.663531954375157e-05
