dataset_kind,target_id,quarter,trial,selection_group,candidate_period_days,source_detector,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value,raw_candidate_rank,candidate_id,predicted_score,reranked_rank,passes_reranker_global_fap
null,1026957,5,4,confirmed_planet_host,6.513171057019007,bls,False,1,True,False,True,False,False,6.513171057019007,,1.0,,2.7928308124807972,,1.0,,,,,0.5375819701238134,0.0,0.0751639402476267,0.5,0.0,1.0,0.0751639402476267,0.5,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.912718204488778,,0.8,1.0,40,0.6038255,1,False
null,1026957,5,5,confirmed_planet_host,13.06268756252084,bls,False,1,True,False,True,False,False,13.06268756252084,,1.0,,3.479093694798275,,1.0,,,,,1.1308131629045415,0.0,0.06540658145227075,2.0,0.0,1.0,0.06540658145227075,2.0,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.5860349127182045,,0.29523809523809524,1.0,42,0.29138413,1,False
null,1026957,5,6,confirmed_planet_host,4.1183727909303105,bls,False,1,True,False,True,False,False,4.1183727909303105,,1.0,,2.4252393609976832,,1.0,,,,,0.7083795716950393,0.0,0.4167591433900785,0.5,0.0,1.0,0.4167591433900785,0.5,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.9775561097256857,,0.9619047619047619,1.0,44,0.82979953,1,False
null,1026957,5,7,confirmed_planet_host,7.936978992997666,bls,False,1,True,False,True,False,False,7.936978992997666,,1.0,,3.2120333160692884,,1.0,,,,,0.2598799788563788,0.0,0.2598799788563788,1.0,0.0,1.0,0.2598799788563788,1.0,,,,,,,,highest_scatter,12515.572525533244,0.0321536469572723,0.9998605651518044,113.73504882416344,0,,0.7231920199501247,,0.44761904761904764,1.0,46,0.65852267,1,False
null,1161345,5,0,confirmed_planet_host,6.116372124041347,bls,False,1,True,False,True,False,False,6.116372124041347,,1.0,,2.5677114321000514,,1.0,,,,,0.5698876826037003,0.0,0.13977536520740041,0.5,0.0,1.0,0.13977536520740041,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.9551122194513716,,0.9047619047619048,1.0,48,0.67152876,1,False
null,1161345,5,1,confirmed_planet_host,8.002334111370457,bls,False,1,True,False,True,False,False,8.002334111370457,,1.0,,3.3090374552985873,,1.0,,,,,0.35293483243010054,0.0,0.2941303351397989,0.5,0.0,1.0,0.2941303351397989,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.6783042394014963,,0.4,1.0,50,0.7023257,1,False
null,1161345,5,2,confirmed_planet_host,5.966988996332111,bls,False,1,True,False,True,False,False,5.966988996332111,,1.0,,3.3666548524549564,,1.0,,,,,0.5209476643019677,0.0,0.04189532860393532,0.5,0.0,1.0,0.04189532860393532,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.6508728179551122,,0.3619047619047619,1.0,52,0.5505914,1,False
null,1161345,5,3,confirmed_planet_host,4.958652884294765,bls,False,1,True,False,True,False,False,4.958652884294765,,1.0,,3.7946720185097544,,1.0,,,,,0.4734251619985128,0.0,0.05314967600297433,0.5,0.0,1.0,0.05314967600297433,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.40648379052369077,,0.2,1.0,54,0.4337651,1,False
null,1161345,5,4,confirmed_planet_host,8.599866622207404,bls,False,1,True,False,True,False,False,8.599866622207404,,1.0,,2.9179675996872043,,1.0,,,,,0.3704445041130665,0.0,0.259110991773867,0.5,0.0,1.0,0.259110991773867,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.8603491271820449,,0.6761904761904762,1.0,56,0.72778016,1,False
null,1161345,5,5,confirmed_planet_host,2.6385461820606873,bls,False,1,True,False,True,False,False,2.6385461820606873,,1.0,,2.767731118639165,,1.0,,,,,0.7875305426523105,0.0,0.575061085304621,0.5,0.0,1.0,0.575061085304621,0.5,,,,,,,,highest_scatter,4174.237095946945,0.0321536469572723,0.9992048337683134,88.50649008806953,1,,0.9201995012468828,,0.819047619047619,1.0,58,0.83574,1,False
