model,injection_groups,candidate_rows,exact_recall_at_1,exact_recall_at_3,exact_recall_at_5,exact_recall_at_10,harmonic_recall_at_1,mean_reciprocal_rank,median_exact_rank,candidate_set_misses,cases_improved_over_bls,cases_worsened_relative_to_bls,stratification,bucket
rule_based,300,2768,0.5733333333333334,0.7266666666666667,0.7866666666666666,0.8766666666666667,0.58,0.6591679894179894,1.0,37,8,3,period,"(6.667, 10.0]"
rule_based,216,2050,0.5185185185185185,0.7731481481481481,0.8240740740740741,0.8703703703703703,0.7175925925925926,0.6507017930629041,1.0,28,3,40,noise_quartile,high_scatter
rule_based,234,2256,0.042735042735042736,0.2606837606837607,0.3547008547008547,0.5,0.08974358974358974,0.16070071903405242,3.0,117,2,6,noise_quartile,highest_scatter
rule_based,216,1841,0.5925925925925926,0.8101851851851852,0.9814814814814815,0.9907407407407407,0.9259259259259259,0.7290380658436214,1.0,2,3,73,noise_quartile,low_scatter
rule_based,234,1730,0.5427350427350427,0.6794871794871795,0.9786324786324786,0.9829059829059829,0.9188034188034188,0.6674976258309592,1.0,4,3,86,noise_quartile,lowest_scatter
logistic_regression,450,4112,0.6266666666666667,0.6755555555555556,0.7244444444444444,0.7733333333333333,0.6933333333333334,0.6655961199294533,1.0,102,39,2,depth,"(-0.0005, 0.00075]"
logistic_regression,450,3765,0.8288888888888889,0.86,0.8711111111111111,0.8911111111111111,0.8911111111111111,0.8466419753086419,1.0,49,52,5,depth,"(0.00075, 0.001]"
logistic_regression,300,2652,0.6366666666666667,0.69,0.7266666666666667,0.77,0.7,0.6724933862433863,1.0,69,33,1,duration,"(1.999, 3.333]"
logistic_regression,300,2611,0.78,0.8,0.82,0.8533333333333334,0.8466666666666667,0.7982169312169312,1.0,44,38,1,duration,"(3.333, 5.333]"
logistic_regression,300,2614,0.7666666666666667,0.8133333333333334,0.8466666666666667,0.8733333333333333,0.83,0.7976468253968253,1.0,38,20,5,duration,"(5.333, 8.0]"
logistic_regression,300,2498,0.7233333333333334,0.7266666666666667,0.7366666666666667,0.7466666666666667,0.8633333333333333,0.7282261904761904,1.0,76,1,0,period,"(1.999, 4.0]"
logistic_regression,300,2611,0.7733333333333333,0.8166666666666667,0.8466666666666667,0.8733333333333333,0.81,0.8016468253968253,1.0,38,44,0,period,"(4.0, 6.667]"
logistic_regression,300,2768,0.6866666666666666,0.76,0.81,0.8766666666666667,0.7033333333333334,0.738484126984127,1.0,37,46,7,period,"(6.667, 10.0]"
logistic_regression,216,2050,0.7083333333333334,0.7638888888888888,0.8055555555555556,0.8703703703703703,0.7453703703703703,0.7511610817166372,1.0,28,5,1,noise_quartile,high_scatter
