dataset_kind,target_id,quarter,trial,selection_group,candidate_period_days,source_detector,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value,raw_candidate_rank,candidate_id,predicted_score,reranked_rank
null,2304320,5,2,confirmed_planet_host,9.141380460153384,bls,False,1,True,False,True,False,False,9.141380460153384,,1.0,,3.4505735704470273,,1.0,,,,,0.43226581683297605,0.0,0.283867091583512,2.0,0.0,1.0,0.283867091583512,2.0,,,,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,,0.6084788029925187,,0.6285714285714286,1.0,291,0.9440521,1
null,2304320,5,2,confirmed_planet_host,6.382460820273425,tcf,False,1,False,True,False,True,True,,6.382460820273425,,1.0,,6.210041719371893,,1.0,,,,0.0,0.30180558088637593,0.0,1.0,0.30180558088637593,1.0,0.283867091583512,2.0,14.0,,0.7857142857142857,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,0.8603491271820449,,0.8666666666666667,,1.0,292,0.39701742,2
null,2304320,5,3,confirmed_planet_host,14.374458152717574,bls,False,1,True,False,True,False,False,14.374458152717574,,1.0,,3.5517678571431643,,1.0,,,,,0.0687210253613309,0.0,0.0687210253613309,1.0,0.0,1.0,0.0687210253613309,1.0,,,,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,,0.5411471321695761,,0.5619047619047619,1.0,293,0.9664226,1
null,2304320,5,3,confirmed_planet_host,13.450150050016672,tcf,False,1,False,True,False,True,True,,13.450150050016672,,1.0,,6.521120265593166,,1.0,,,,0.0,0.06430211788721624,0.0,1.0,0.06430211788721624,1.0,0.0687210253613309,1.0,7.0,,0.7142857142857143,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,0.6084788029925187,,0.6857142857142857,,1.0,294,0.12490374,2
null,2304320,5,4,confirmed_planet_host,13.879626542180729,bls,False,1,True,False,True,False,False,13.879626542180729,,1.0,,2.8644353988009272,,1.0,,,,,0.21345071859604117,0.0,0.21345071859604117,1.0,0.0,1.0,0.21345071859604117,1.0,,,,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,,0.885286783042394,,0.9142857142857143,1.0,295,0.9489425,1
null,2304320,5,4,confirmed_planet_host,11.438146048682896,tcf,False,1,False,True,False,True,True,,11.438146048682896,,1.0,,6.390789906434318,,1.0,,,,0.0,0.17590390390390392,0.0,1.0,0.17590390390390392,1.0,0.21345071859604117,1.0,9.0,,1.0,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,0.7182044887780549,,0.8,,1.0,296,0.58994484,2
null,2304320,5,5,confirmed_planet_host,9.412137379126376,bls,False,1,True,False,True,False,False,9.412137379126376,,1.0,,4.019583427630269,,1.0,,,,,0.3209603310159012,0.0,0.3209603310159012,1.0,0.0,1.0,0.3209603310159012,1.0,,,,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,,0.2942643391521197,,0.2761904761904762,1.0,297,0.98995787,1
null,2304320,5,5,confirmed_planet_host,13.860953651217072,tcf,False,1,False,True,False,True,True,,13.860953651217072,,1.0,,6.5806723018517745,,1.0,,,,0.0,0.47266801289545457,0.0,1.0,0.2636659935522727,2.0,0.3209603310159012,1.0,7.0,,0.7142857142857143,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,0.5660847880299252,,0.6285714285714286,,1.0,298,0.0043834187,2
null,2304320,5,6,confirmed_planet_host,14.822607535845282,bls,False,1,True,False,True,False,False,14.822607535845282,,1.0,,4.563281127992768,,1.0,,,,,0.00532545702714194,0.0,0.00532545702714194,1.0,0.0,1.0,0.00532545702714194,1.0,,,,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,,0.12967581047381546,,0.14285714285714285,1.0,299,0.986853,1
null,2304320,5,6,confirmed_planet_host,14.901967322440814,tcf,False,1,False,True,False,True,True,,14.901967322440814,,1.0,,6.048828834076995,,1.0,,,,0.0,0.005353969360898037,0.0,1.0,0.005353969360898037,1.0,0.00532545702714194,1.0,7.0,,0.8571428571428571,,,,,lowest_scatter,226.02026297123473,0.0321536469572723,0.5849591140687749,161.84559325439145,0,0.9501246882793017,,0.9428571428571428,,1.0,300,0.72472453,2
