target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_max_score,tcf_best_period_days,tcf_valid_transit_events,tcf_positive_event_fraction,bls_max_sde,bls_max_power,bls_best_period_days,tcf_error,bls_error
1871056,5,0,1053305586670339420,True,True,6.365796819811334,10.527842614204737,9,0.7777777777777778,2.896039500832289,0.0015373457908615,4.687895965321774,,
1871056,5,1,15668123500918034746,True,True,7.671109810358354,13.44548182727576,7,0.7142857142857143,5.0031348988209565,0.0022677636691457,7.054684894964989,,
1871056,5,2,8766880755358224421,True,True,6.243489543109749,12.68922974324775,7,0.7142857142857143,3.1190456348107203,0.0016419687174738,11.820940313437813,,
1871056,5,3,59191047500652016,True,True,6.456048486241386,13.655551850616874,7,0.7142857142857143,3.6799504306258783,0.0018222239341824,11.47082360786929,,
1871056,5,4,890987658153077218,True,True,5.9213295975812725,13.1513837945982,7,0.7142857142857143,3.2909921745816524,0.0016383813416755,4.865288429476493,,
1871056,5,5,4265029261992507444,True,True,6.543268368016613,7.8109369789929985,11,0.8181818181818182,3.719342131872449,0.001758276096525,5.756918972990998,,
1871056,5,6,7149435663894310991,True,True,7.668821242043949,12.941313771257086,7,0.7142857142857143,3.4650333368729243,0.0018467553280749,5.2247415805268425,,
1871056,5,7,1086167521426288312,True,True,6.681958324725045,12.745248416138711,8,0.875,2.2551784408458926,0.0015738678024097,5.509503167722575,,
1872821,5,0,4692596675388343200,True,True,7.116290633160446,13.492164054684896,7,0.7142857142857143,5.172815723650231,0.0066757452777951,9.356118706235412,,
1872821,5,1,10901813405934752599,True,True,6.939167685928212,11.237412470823609,8,0.875,5.0967142114039135,0.0063316891356113,7.1107035678559525,,
1872821,5,2,11312935319331035155,True,True,6.277971443231262,13.188729576525509,7,0.8571428571428571,3.80836524771795,0.0054436866876097,14.738579526508838,,
1872821,5,3,8571700237483621239,True,True,6.25531119501637,4.0250083361120375,23,0.7391304347826086,3.5141551934822495,0.0055892822583263,4.692564188062688,,
1872821,5,4,12795974498366532199,True,True,6.344841408878558,12.745248416138711,7,0.7142857142857143,2.418116274852692,0.0050712015739385,7.353451150383462,,
1872821,5,5,18040603615682405985,True,True,6.705259203476901,9.052684228076028,11,0.8181818181818182,4.66906670673826,0.0065160388829177,10.723907969323108,,
1872821,5,6,6319304834966742990,True,True,6.3931723119178,10.81727242414138,9,0.6666666666666666,4.510378673668189,0.0059346971555243,10.569856618872958,,
1872821,5,7,15811745316362885794,True,True,6.941255430610111,14.78059353117706,6,0.8333333333333334,3.651843860521527,0.0061433365789831,5.500166722240747,,
1995519,5,0,11815616458205149793,True,True,6.08788177380943,14.67789263087696,7,0.8571428571428571,4.785113845207957,0.0047549887204683,14.127042347449152,,
1995519,5,1,15491728336498431782,True,True,6.201652584120174,8.55785261753918,10,0.9,4.1565783918823085,0.0046124068218963,6.732577525841948,,
1995519,5,2,491435180022054824,True,True,5.982916237461461,5.640213404468156,17,0.6470588235294118,3.6294542055257617,0.0040146099249943,6.023007669223075,,
1995519,5,3,5158537680472374818,True,True,6.6581398618713425,4.081027009003002,23,0.7391304347826086,3.520549431913164,0.004281818362428,6.592530843614538,,
1995519,5,4,3376817514245011154,True,True,6.827853078474064,1.8822940980326777,48,0.7083333333333334,4.560882731979817,0.004434378850555,8.058352784261421,,
1995519,5,5,17080995041508073390,True,True,6.807225178388395,4.897965988662888,17,0.7058823529411765,5.211061867540018,0.0047884885894736,3.492830943647883,,
1995519,5,6,8115014189505009773,True,True,6.5904250491695455,6.377792597532511,15,0.7333333333333333,4.152967799799556,0.0047660713302558,8.791263754584861,,
1995519,5,7,11710021576267967150,True,True,6.263892606279191,14.211070356785596,7,0.7142857142857143,4.353998621316554,0.0044441075538607,3.9363121040346782,,
1996180,5,0,15906041907122772675,True,True,6.850125659822576,8.31510503501167,12,0.9166666666666666,3.3334466207999114,0.0032010044084502,5.010003334444815,,
1996180,5,1,5483966535782685145,True,True,6.469600229135481,9.757585861953986,7,0.8571428571428571,4.403203376661679,0.0034510275512337,5.1593864621540515,,
1996180,5,2,6111903730748725622,True,True,7.563242039197787,2.0923641213737914,42,0.6666666666666666,3.1406983339323657,0.0026627389500099,8.119039679893298,,
1996180,5,3,12750701112292560527,True,True,7.299051127143032,13.389463154384796,7,0.7142857142857143,3.4508489941594416,0.0029235793012321,6.443147715905302,,
1996180,5,4,14668930558035864721,True,True,7.2455353879152415,10.784594864954986,9,0.6666666666666666,4.088246215382133,0.0029860006284995,14.864621540513506,,
1996180,5,5,17226727589105116700,True,True,6.400406195803175,9.860286762254086,9,0.6666666666666666,2.7929905754279782,0.0025688267076452,5.896965655218406,,
1996180,5,6,7595878260559435953,True,True,6.7715972814336425,14.953317772590864,5,0.8,3.432981320584783,0.0028453239143048,7.6382127375791935,,
1996180,5,7,14920054867309005999,True,True,7.1839454122078354,14.719906635545184,6,0.8333333333333334,3.0810919050984804,0.0028059285442238,1.401467155718573,,
2142522,5,0,3298828640722218048,True,True,6.531369785285221,12.82927642547516,6,0.8333333333333334,3.9756483920004007,0.0061807022628125,4.491830610203401,,
2142522,5,1,16549141761682751992,True,True,6.846836926579596,13.020673557852618,5,0.6,3.484866205640568,0.0056229395519592,14.547182394131378,,
2142522,5,2,13634459869164896043,True,True,6.902065133573958,8.693231077025676,10,0.9,3.533979099911948,0.0056992830307308,6.116372124041347,,
2142522,5,3,11199053579581592371,True,True,6.804787373310777,14.211070356785596,5,0.8,3.0696288882968203,0.0054054118736245,14.4864954984995,,
2142522,5,4,14060791014613543982,True,True,6.613389512653333,7.950983661220407,11,0.7272727272727273,4.233928866918596,0.0064603797992364,11.442814271423808,,
2142522,5,5,2677401227949342130,True,True,6.329745647379591,13.842280760253418,7,0.7142857142857143,3.8859474587147367,0.0057172983448184,3.4368122707569193,,
2142522,5,6,5611081964530510092,True,True,9.297165074905273,14.547182394131378,3,1.0,3.212136730899757,0.0053681891491193,8.007002334111371,,
2142522,5,7,15161717889564018183,True,True,10.920277952287217,13.720906968989665,4,0.75,2.8396160228089364,0.0053963418457813,9.986328776258754,,
2161536,5,0,17180719816581405224,True,True,6.686967092470417,7.54484828276092,10,0.7,3.0302149211033065,0.0147352104006402,13.020673557852618,,
2161536,5,1,1396605211577306182,True,True,6.446615912099566,14.21573857952651,7,0.7142857142857143,2.8745055088621685,0.0139346835622099,11.86762254084695,,
2161536,5,2,16385094219880705341,True,True,6.2970270506172294,9.869623207735913,9,0.6666666666666666,3.880121084613759,0.0157950198371552,12.390463487829278,,
2161536,5,3,15513449215174701386,True,True,6.308131147342006,11.498832944314772,7,0.7142857142857143,3.556569037651057,0.0169629602908278,12.95998666222074,,
2161536,5,4,16559022676926166087,True,True,6.2622472444624115,2.0223407802600866,44,0.7272727272727273,3.413955789481556,0.0170336909828175,5.630876958986329,,
2161536,5,5,8135581920293289832,True,True,6.606129222772166,3.7729243081027017,25,0.64,3.0489061968901265,0.0148147719182102,6.975325108369457,,
2161536,5,6,3019168027828647244,True,True,6.390907484722202,13.417472490830278,7,0.8571428571428571,2.865992500675771,0.0152995269125338,12.166388796265425,,
2161536,5,7,15418452249968669868,True,True,6.918743770257754,13.669556518839617,5,1.0,3.9384713327879046,0.0160979025319883,8.483161053684562,,
2164169,5,0,7341474252497104436,True,True,6.929247610034271,13.408136045348453,8,0.875,5.160582841868222,0.0027988469477597,13.403467822607537,,
2164169,5,1,15263667782892503547,True,True,6.399419811507369,14.803934644881627,7,0.8571428571428571,4.502105393911104,0.0024154595255843,10.411137045681894,,
2164169,5,2,691846625915253422,True,True,6.2419571731514605,11.788262754251418,8,1.0,4.189822787234178,0.0023888700583054,9.89296432144048,,
2164169,5,3,16839827801828786853,True,True,6.623691070374434,6.8866288762920975,14,0.7857142857142857,4.797955920050914,0.0024204604322284,10.966655551850618,,
2164169,5,4,17088693061254074340,True,True,6.6971213720606535,13.641547182394133,7,1.0,5.983956562712842,0.0026503959178081,14.747915971990665,,
2164169,5,5,11596417982522628003,True,True,6.016233323284789,10.6865621873958,9,0.7777777777777778,4.1887395164209655,0.0027862608752512,2.974658219406469,,
2164169,5,6,313885764469625348,True,True,6.768219257684285,7.712904301433812,11,0.8181818181818182,3.5801069275474497,0.0021066415558759,14.761920640213406,,
2164169,5,7,8609839431931268369,True,True,6.799304422854011,7.040680226742248,13,0.6923076923076923,4.164219166812326,0.0022673759014306,9.146048682894298,,
2165002,5,0,7919387497765204945,True,True,7.099060891787848,8.59519839946649,11,0.9090909090909092,2.6809991487234024,0.0500556897211691,14.001000333444482,,
2165002,5,1,8441816581283598657,True,True,6.197176410318524,13.118706235411803,7,0.7142857142857143,4.181956542468626,0.0693778635944788,7.99299766588863,,
2165002,5,2,3480741129670629086,True,True,6.610866887644359,8.422474158052685,11,0.8181818181818182,2.845100062251165,0.0520639231869146,10.000333444481496,,
2165002,5,3,7298641194003677861,True,True,7.143630788686985,14.892630876958988,7,1.0,3.1273763427756123,0.0543776448869225,12.89463154384795,,
2165002,5,4,17276822767422431195,True,True,7.217446761592944,6.256418806268757,15,0.7333333333333333,4.594638821717816,0.0635880591199052,2.52650883627876,,
