target_id,quarter,selection_group,status,profile,runtime_seconds,light_curve_cache_hit,base_arima_from_cache,original_searches_from_cache,arima_injection_mode,injection_count_requested,injection_count_successful,injection_success_fraction,null_trials_requested,tcf_null_trials_successful,bls_null_trials_successful,base_arima_converged,base_arima_runtime_seconds,original_tcf_runtime_seconds,original_bls_runtime_seconds,original_tcf_period_days,original_tcf_score,original_tcf_raw_pooled_score,original_tcf_valid_transit_events,original_tcf_positive_event_fraction,original_bls_period_days,original_bls_sde,original_bls_power,tcf_harmonic_rank1_rate_before_fap,tcf_exact_rank1_rate_before_fap,tcf_exact_top10_rate,tcf_median_exact_rank_when_present,bls_harmonic_rank1_rate_before_fap,bls_exact_rank1_rate_before_fap,bls_exact_top10_rate,n_grid_observations,n_finite_observations,finite_fraction,gap_fraction,baseline_days,median_cadence_days,median_flux,robust_flux_scatter_ppm,flux_standard_deviation_ppm,lag_one_flux_acf,six_hour_scatter_proxy_ppm,tcf_global_fap_threshold,bls_global_fap_threshold,original_tcf_passes_global_fap,original_bls_passes_global_fap,original_tcf_global_empirical_p_value,original_bls_global_empirical_p_value,noise_quartile,tcf_score_threshold,bls_sde_threshold,original_tcf_passes_regime_fap,original_bls_passes_regime_fap,original_any_passes_global_fap,original_any_passes_regime_fap
1872821,5,confirmed_planet_host,success,optimized,179.66225100005977,False,False,False,filter,18,18,1.0,8,8,8,False,0.220939707942307,5.583790292032063,0.0617448331322521,10.023674558186062,6.30326823933946,3.930770142320322,9,0.7777777777777778,14.509836612204069,1.799645922696719,0.0044900351250563,0.7222222222222222,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,4634,4486,0.9680621493310316,0.0319378506689684,94.65282126780949,0.0204345507663674,-3.870473192113533e-06,486.8290311425361,516.7276723326968,0.4225260859477737,345.25820720607,16.085275694914447,5.684844459265036,False,False,0.7805486284289277,1.0,high_scatter,16.085275694914447,6.470843008693946,False,False,False,False
1995519,5,confirmed_planet_host,success,optimized,195.14621970802543,False,False,False,filter,18,18,1.0,8,8,8,True,0.0884373327717185,5.802028583129868,0.0769827081821858,7.614871623874626,6.076971073050992,3.6452880769780873,13,0.7692307692307693,10.117039013004336,4.847093538705542,0.0045333897607054,0.1666666666666666,0.0555555555555555,0.0555555555555555,1.0,1.0,0.9444444444444444,0.9444444444444444,4634,4485,0.9678463530427276,0.0321536469572723,94.65256394303287,0.0204345144593389,-3.4242852018362413e-06,816.8643991620489,904.9105146157956,0.0371546236181325,779.8351591906599,16.085275694914447,5.684844459265036,False,False,0.940149625935162,0.0723192019950124,high_scatter,16.085275694914447,6.470843008693946,False,False,False,False
1996180,5,confirmed_planet_host,success,optimized,198.61803612485528,False,False,False,filter,18,18,1.0,8,8,8,True,0.1032664999365806,6.076085249893367,0.06121979188174,13.31943981327109,6.6099359949662375,7.224948277413673,7,0.8571428571428571,14.257752584194732,2.569515699118428,0.0030970126860558,0.8888888888888888,0.5,0.5,1.0,0.9444444444444444,0.9444444444444444,1.0,4634,4485,0.9678463530427276,0.0321536469572723,94.65257255118922,0.0204345152596943,-1.6081418920066426e-05,273.220004242054,305.02749264858187,0.3705671406453277,209.36529953610523,16.085275694914447,5.684844459265036,False,False,0.5286783042394015,0.9526184538653366,lowest_scatter,14.755773328670138,5.577848433974941,False,False,False,False
2142522,5,confirmed_planet_host,success,optimized,189.4087127088569,False,False,False,filter,18,18,1.0,8,8,8,True,0.0756957500707358,5.745087082963437,0.064892292022705,9.920973657885964,7.062313428569179,10.643478663321408,9,0.7777777777777778,14.4864954984995,2.0177487842337016,0.0057283896904381,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,4634,4485,0.9678463530427276,0.0321536469572723,94.65257103581098,0.0204345131023728,-1.2844093152275526e-05,422.3672572265974,399.81923928022223,0.849836352904928,117.6490993750662,16.085275694914447,5.684844459265036,False,False,0.2817955112219451,1.0,low_scatter,16.276126694754126,5.983956562712842,False,False,False,False
2161536,5,confirmed_planet_host,success,optimized,303.7305369579699,False,False,False,filter,18,18,1.0,8,8,8,True,0.2661298750899732,7.814238083083183,0.089186750119552,4.785928642880961,6.28347837411879,2.927181026032899,19,0.7894736842105263,13.38479493164388,5.107907035789853,0.0180021034454061,0.1111111111111111,0.0555555555555555,0.2777777777777778,5.0,0.0555555555555555,0.0555555555555555,0.1111111111111111,4634,4485,0.9678463530427276,0.0321536469572723,94.65277336814324,0.0204345411329995,5.27179093872121e-05,1412.374593812632,1252.100318881744,0.7550331653312861,570.7798591060216,16.085275694914447,5.684844459265036,False,False,0.800498753117207,0.0423940149625935,highest_scatter,17.265028433988043,4.675181478846935,False,True,False,True
2164169,5,confirmed_planet_host,success,optimized,342.9061790830456,False,False,False,filter,18,18,1.0,8,8,8,True,0.1744177078362554,6.517524792114273,0.0839356670621782,13.59953317772591,7.053759151876263,5.31703324326929,7,0.8571428571428571,14.92064021340447,3.258936988253132,0.002143358280473,0.5,0.2777777777777778,0.2777777777777778,1.0,1.0,1.0,1.0,4634,4486,0.9680621493310316,0.0319378506689684,94.65278688128456,0.0204345428501255,-2.5481602283217164e-06,343.70698594756755,376.7961638997307,0.0789860043072013,320.66252820598083,16.085275694914447,5.684844459265036,False,False,0.28428927680798,0.6957605985037406,low_scatter,16.276126694754126,5.983956562712842,False,False,False,False
2165002,5,confirmed_planet_host,success,optimized,350.1257972079329,False,False,False,filter,18,18,1.0,8,8,8,True,0.1306678338441997,7.993357166880742,0.0922840831335634,10.91997332444148,7.284275350309811,4.538632365743415,9,0.6666666666666666,11.120706902300768,2.0578842353778164,0.0181369260123547,0.0555555555555555,0.0,0.0555555555555555,4.0,0.1666666666666666,0.1666666666666666,0.2222222222222222,4634,4486,0.9680621493310316,0.0319378506689684,94.6527944089321,0.0204345442980411,0.0002393855926389,3911.167466024422,3801.0650855230974,0.9490952603224084,508.54516876191406,16.085275694914447,5.684844459265036,False,False,0.1920199501246882,1.0,highest_scatter,17.265028433988043,4.675181478846935,False,False,False,False
2302548,5,confirmed_planet_host,success,optimized,347.38045550021343,False,False,False,filter,18,18,1.0,8,8,8,True,0.1697245410177856,7.356387166073546,0.0891909578349441,10.383127709236414,9.87760631488582,9.400914107555774,9,1.0,12.465155051683896,4.387244735496993,0.0635977468758819,0.6111111111111112,0.3888888888888889,0.6111111111111112,1.0,0.0,0.0,0.0,4634,4485,0.9678463530427276,0.0321536469572723,94.65275145144552,0.0204345369711518,-5.011252394049315e-06,3555.9199577177724,3537.2550793129717,0.9944962467635508,190.5590688225889,16.085275694914447,5.684844459265036,False,False,0.0473815461346633,0.1820448877805486,highest_scatter,17.265028433988043,4.675181478846935,False,False,False,False
2304320,5,confirmed_planet_host,success,optimized,397.7403993329499,False,False,False,filter,18,18,1.0,8,8,8,False,0.4184858340304345,10.260347541887311,0.1108386251144111,9.897632544181397,6.8755845928192265,4.252993993295074,9,0.7777777777777778,15.0,1.88658907153254,0.0030811843323851,0.8888888888888888,0.6111111111111112,0.6111111111111112,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,4634,4485,0.9678463530427276,0.0321536469572723,94.65275560025476,0.0204345368256326,-1.0546217770524002e-05,226.02026297123473,276.73921908242596,0.5849591140687749,161.84559325439145,16.085275694914447,5.684844459265036,False,False,0.3591022443890274,1.0,lowest_scatter,14.755773328670138,5.577848433974941,False,False,False,False
2307415,5,confirmed_planet_host,success,optimized,403.42508537485264,False,False,False,filter,18,18,1.0,8,8,8,False,0.3517542909830808,10.858282916946337,0.1063405841123312,11.806935645215072,7.24725999738587,4.082883845006464,7,0.7142857142857143,9.164721573857951,2.127295055761433,0.0019562193591689,0.8888888888888888,0.6111111111111112,0.7222222222222222,1.0,1.0,1.0,1.0,4634,4486,0.9680621493310316,0.0319378506689684,94.65277957273064,0.0204345408055814,1.6493998279409894e-06,172.96249416353436,190.52506837800055,0.5031070980975872,118.67901618382976,16.085275694914447,5.684844459265036,False,False,0.2044887780548628,0.9975062344139652,lowest_scatter,14.755773328670138,5.577848433974941,False,False,False,False
