candidate_id,target_id,quarter,injection_index,candidate_period_days,source_detector,exact_match,harmonic_match,selection_group,injected_period_days,injected_duration_hours,injected_depth,epoch_phase_fraction,candidate_period_error_fraction,candidate_harmonic_error_fraction,candidate_best_harmonic_factor,detector_agreement,detector_count,bls_present,tcf_present,has_bls_candidate,has_tcf_candidate,has_tcf_event_diagnostics,bls_candidate_period_days,tcf_candidate_period_days,bls_rank,tcf_rank,bls_sde,tcf_score,bls_score_relative_to_rank1,tcf_score_relative_to_rank1,detector_candidate_period_delta_fraction,detector_candidate_harmonic_error_fraction,detector_candidate_best_harmonic_factor,bls_period_delta_to_tcf_best_fraction,tcf_period_delta_to_bls_best_fraction,candidate_to_tcf_best_harmonic_error_fraction,candidate_to_tcf_best_harmonic_factor,candidate_to_bls_best_harmonic_error_fraction,candidate_to_bls_best_harmonic_factor,bls_tcf_rank1_harmonic_error_fraction,bls_tcf_rank1_harmonic_factor,tcf_valid_transit_events,tcf_positive_transit_events,tcf_positive_event_fraction,tcf_median_event_score,tcf_raw_pooled_score,candidate_duration_hours,candidate_depth,noise_quartile,robust_flux_scatter_ppm,gap_fraction,lag_one_flux_acf,six_hour_scatter_proxy_ppm,in_transit_observation_count,arima_converged,tcf_global_empirical_p_value,bls_global_empirical_p_value,tcf_regime_empirical_p_value,bls_regime_empirical_p_value
4935,2715695,5,3,13.025341780593532,tcf,False,False,confirmed_planet_host,2.0,4.0,0.001,0.45,5.512670890296766,1.1708902967655888,3.0,False,1,False,True,False,True,False,,13.025341780593532,,2.0,,7.06366476180042,,0.9877727098409211,,,,12.025341780593532,5.5159299416180145,3.3417805935311775,3.0,1.171976647206005,3.0,0.0005001667222406248,2.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,372,True,,,,
4936,2715695,5,3,13.907635878626209,tcf,False,False,confirmed_planet_host,2.0,4.0,0.001,0.45,5.9538179393131045,1.3179393131043682,3.0,False,1,False,True,False,True,False,,13.907635878626209,,3.0,,6.154768394511996,,0.8606739504920666,,,,12.907635878626209,5.957297748123435,3.6358786262087364,3.0,1.3190992493744784,3.0,0.0005001667222406248,2.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,372,True,,,,
4937,2715695,5,3,6.578526175391798,tcf,False,False,confirmed_planet_host,2.0,4.0,0.001,0.45,2.289263087695899,0.09642102923196634,3.0,False,1,False,True,False,True,False,,6.578526175391798,,4.0,,6.0037088514722825,,0.8395500014928735,,,,5.578526175391798,2.290909090909091,1.1928420584639328,3.0,0.09696969696969697,3.0,0.0005001667222406248,2.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,372,True,,,,
4938,2715695,5,3,9.141380460153385,tcf,False,False,confirmed_planet_host,2.0,4.0,0.001,0.45,3.5706902300766927,0.5235634100255643,3.0,False,1,False,True,False,True,False,,9.141380460153385,,5.0,,5.900647299844041,,0.8251380225038976,,,,8.141380460153385,3.572977481234362,2.0471268200511283,3.0,0.5243258270781206,3.0,0.0005001667222406248,2.0,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,372,True,,,,
4939,2715695,5,4,1.9989996665555188,bls,True,True,confirmed_planet_host,2.0,8.0,0.0005,0.45,0.0005001667222406248,0.0005001667222406248,1.0,False,1,True,False,True,False,False,1.9989996665555188,,1.0,,12.525075417642736,,1.0,,,,,0.8465299644164553,0.0,0.6930599288329109,0.5,0.0,1.0,0.6930599288329109,0.5,,,,,,8.700000000000001,0.000509715981488,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,0.0024937655860349,,0.0103092783505154
4940,2715695,5,4,4.00166722240747,bls,False,True,confirmed_planet_host,2.0,8.0,0.0005,0.45,1.0008336112037348,0.00041680560186740934,2.0,False,1,True,False,True,False,False,4.00166722240747,,2.0,,7.670201750724371,,0.6123876699313265,,,,,0.6927783324373448,1.001834862385321,0.3855566648746896,0.5,0.0009174311926605484,2.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4941,2715695,5,4,6.0043347782594205,bls,False,True,confirmed_planet_host,2.0,8.0,0.0005,0.45,2.0021673891297103,0.000722463043236754,3.0,False,1,True,False,True,False,False,6.0043347782594205,,3.0,,7.019366020884019,,0.5604250502952332,,,,,0.5390267004582341,2.003669724770642,0.07805340091646823,0.5,0.0012232415902140646,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4942,2715695,5,4,1.0,bls,False,True,confirmed_planet_host,2.0,8.0,0.0005,0.45,0.5,0.0,0.5,False,1,True,False,True,False,False,1.0,,4.0,,6.133708934436176,,0.4897143314439668,,,,,0.9232265826997414,0.4997497914929108,0.8464531653994829,0.5,0.0005004170141783597,0.5,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4943,2715695,5,4,10.005001667222409,bls,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,4.0025008336112045,0.6675002778704014,3.0,False,1,True,False,True,False,False,10.005001667222409,,5.0,,5.061780814373107,,0.404131763329993,,,,,0.23188183191255146,4.005004170141785,0.23188183191255146,1.0,0.668334723380595,3.0,0.6930599288329109,0.5,,,,,,,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,,,,
4944,2715695,5,4,13.025341780593532,tcf,False,False,confirmed_planet_host,2.0,8.0,0.0005,0.45,5.512670890296766,1.1708902967655888,3.0,False,1,False,True,False,True,True,,13.025341780593532,,1.0,,7.149487654092363,,1.0,,,,0.0,5.5159299416180145,0.0,1.0,1.171976647206005,3.0,0.6930599288329109,0.5,7.0,7.0,1.0,2.702252333464996,6.169227045620887,7.571428571428571,,high_scatter,751.0872160005945,0.0319378506689684,0.121172730279881,667.7552088921291,747,True,0.2493765586034912,,0.1443298969072164,
