sample,exact_recall_at_1,improvement_over_bls,improvement_over_raw_min_rank,improvement_over_oracle_rank1_union,mean_reciprocal_rank
1127,0.73,0.12111111111111111,0.12111111111111111,0.0077777777777777776,0.7537191358024691
1128,0.7166666666666667,0.12444444444444444,0.12444444444444444,0.0,0.753723544973545
1129,0.7877777777777778,0.14666666666666667,0.14666666666666667,0.012222222222222223,0.8111525573192239
1130,0.7566666666666667,0.10555555555555556,0.10555555555555556,0.0077777777777777776,0.7816419753086419
1131,0.8166666666666667,0.09111111111111111,0.09111111111111111,0.0044444444444444444,0.8364501763668432
1132,0.7322222222222222,0.08222222222222222,0.08222222222222222,0.0022222222222222222,0.7554995590828925
1133,0.7322222222222222,0.08444444444444445,0.08444444444444445,0.0033333333333333335,0.7601697530864198
1134,0.7788888888888889,0.13,0.13,0.006666666666666667,0.8078333333333333
1135,0.6666666666666666,0.05333333333333334,0.05333333333333334,-0.0044444444444444444,0.6947932098765431
1136,0.6333333333333333,0.07555555555555556,0.07555555555555556,0.0011111111111111111,0.6678298059964727
1137,0.6866666666666666,0.1622222222222222,0.1622222222222222,0.01,0.7178271604938272
1138,0.7755555555555556,0.11,0.11,0.0077777777777777776,0.8042729276895944
1139,0.7433333333333333,0.12111111111111111,0.12111111111111111,0.0077777777777777776,0.7752248677248678
1140,0.6422222222222222,0.08666666666666667,0.08666666666666667,0.014444444444444444,0.6765308641975308
1141,0.7533333333333333,0.14555555555555555,0.14555555555555555,0.012222222222222223,0.7775507054673721
1142,0.7433333333333333,0.11444444444444445,0.11444444444444445,0.0044444444444444444,0.7620956790123458
1143,0.7277777777777777,0.08777777777777777,0.08777777777777777,0.011111111111111112,0.7530925925925925
1144,0.82,0.11666666666666667,0.11666666666666667,0.006666666666666667,0.8350877425044092
1145,0.7788888888888889,0.11777777777777777,0.11777777777777777,0.0077777777777777776,0.7990908289241623
1146,0.79,0.09666666666666666,0.09666666666666666,0.005555555555555556,0.8119686948853616
1147,0.8,0.08777777777777777,0.08777777777777777,0.011111111111111112,0.8127592592592593
1148,0.7255555555555555,0.12222222222222222,0.12222222222222222,0.011111111111111112,0.7543531746031746
1149,0.7833333333333333,0.09,0.09,-0.0033333333333333335,0.8019581128747795
1150,0.7933333333333333,0.09555555555555556,0.09555555555555556,0.005555555555555556,0.8123346560846559
1151,0.7077777777777777,0.16666666666666666,0.16666666666666666,0.013333333333333334,0.7330833333333334
1152,0.6755555555555556,0.09222222222222222,0.09222222222222222,0.011111111111111112,0.7055485008818341
1153,0.7088888888888889,0.1322222222222222,0.1322222222222222,0.013333333333333334,0.7376913580246913
1154,0.7122222222222222,0.11444444444444445,0.11444444444444445,0.008888888888888889,0.7363611111111111
1155,0.7311111111111112,0.13111111111111112,0.13111111111111112,0.0077777777777777776,0.7577561728395062
1156,0.7233333333333334,0.12222222222222222,0.12222222222222222,0.015555555555555555,0.753479717813051
1157,0.7188888888888889,0.07888888888888888,0.07888888888888888,-0.0033333333333333335,0.7421741622574956
1158,0.7422222222222222,0.09888888888888889,0.09888888888888889,0.0,0.7726247795414461
1159,0.7044444444444444,0.14222222222222222,0.14222222222222222,0.006666666666666667,0.7377420634920635
1160,0.7188888888888889,0.1711111111111111,0.1711111111111111,0.014444444444444444,0.75004012345679
1161,0.75,0.11222222222222222,0.11222222222222222,0.0022222222222222222,0.7682314814814815
1162,0.7677777777777778,0.17,0.17,0.0077777777777777776,0.7872407407407407
1163,0.77,0.1111111111111111,0.1111111111111111,0.0033333333333333335,0.8007469135802469
1164,0.8011111111111111,0.12111111111111111,0.12111111111111111,0.01,0.8180396825396825
1165,0.7722222222222223,0.11,0.11,0.0044444444444444444,0.7988518518518519
1166,0.7333333333333333,0.13666666666666666,0.13666666666666666,0.01,0.7641093474426808
1167,0.7277777777777777,0.14333333333333334,0.14333333333333334,0.012222222222222223,0.7572006172839507
1168,0.6922222222222222,0.09444444444444444,0.09444444444444444,0.005555555555555556,0.718320987654321
1169,0.8188888888888889,0.04666666666666667,0.04666666666666667,-0.0011111111111111111,0.8391613756613757
1170,0.76,0.06444444444444444,0.06444444444444444,0.006666666666666667,0.7828068783068782
1171,0.7555555555555555,0.18222222222222223,0.18222222222222223,0.01,0.7844131393298059
1172,0.6822222222222222,0.15666666666666668,0.15666666666666668,0.02,0.7163963844797179
1173,0.7311111111111112,0.14777777777777779,0.14777777777777779,0.005555555555555556,0.7560401234567902
1174,0.6344444444444445,0.09444444444444444,0.09444444444444444,0.011111111111111112,0.6609351851851852
1175,0.7544444444444445,0.11666666666666667,0.11666666666666667,-0.0022222222222222222,0.7840061728395062
1176,0.7488888888888889,0.10666666666666667,0.10666666666666667,0.005555555555555556,0.7638209876543209
1177,0.7711111111111111,0.10333333333333333,0.10333333333333333,0.0022222222222222222,0.7995291005291005
1178,0.7111111111111111,0.14555555555555555,0.14555555555555555,0.008888888888888889,0.7408981481481483
1179,0.85,0.15888888888888889,0.15888888888888889,0.011111111111111112,0.8647328042328042
1180,0.73,0.14,0.14,0.008888888888888889,0.7540612874779542
1181,0.7911111111111111,0.12,0.12,0.01,0.8174118165784833
1182,0.65,0.10222222222222223,0.10222222222222223,0.008888888888888889,0.6865846560846561
1183,0.7911111111111111,0.1111111111111111,0.1111111111111111,0.0022222222222222222,0.8029475308641975
1184,0.7655555555555555,0.09,0.09,-0.0011111111111111111,0.7934783950617283
1185,0.8066666666666666,0.13333333333333333,0.13333333333333333,0.014444444444444444,0.8260238095238095
1186,0.7855555555555556,0.07333333333333333,0.07333333333333333,0.005555555555555556,0.8169907407407407
1187,0.7866666666666666,0.08444444444444445,0.08444444444444445,0.006666666666666667,0.8056309523809524
1188,0.7866666666666666,0.16777777777777778,0.16777777777777778,0.01,0.8071384479717812
1189,0.7211111111111111,0.0811111111111111,0.0811111111111111,-0.0011111111111111111,0.7484241622574955
1190,0.8355555555555556,0.10666666666666667,0.10666666666666667,0.012222222222222223,0.853047619047619
1191,0.6933333333333334,0.17333333333333334,0.17333333333333334,0.008888888888888889,0.7310802469135802
1192,0.7333333333333333,0.08666666666666667,0.08666666666666667,0.02,0.7620617283950618
1193,0.6966666666666667,0.11444444444444445,0.11444444444444445,0.005555555555555556,0.7245414462081127
1194,0.8033333333333333,0.08888888888888889,0.08888888888888889,0.0022222222222222222,0.8244907407407408
1195,0.7777777777777778,0.10444444444444445,0.10444444444444445,0.0033333333333333335,0.8034567901234567
1196,0.7011111111111111,0.10111111111111111,0.10111111111111111,0.0044444444444444444,0.7271494708994709
1197,0.73,0.14444444444444443,0.14444444444444443,0.015555555555555555,0.7607376543209875
1198,0.6722222222222223,0.16444444444444445,0.16444444444444445,0.0077777777777777776,0.6957050264550264
1199,0.7,0.14,0.14,0.015555555555555555,0.7287729276895942
1200,0.7944444444444444,0.1288888888888889,0.1288888888888889,0.011111111111111112,0.8212883597883598
1201,0.7733333333333333,0.12666666666666668,0.12666666666666668,0.0044444444444444444,0.8014290123456791
1202,0.7911111111111111,0.16111111111111112,0.16111111111111112,0.0077777777777777776,0.8088328924162258
1203,0.7177777777777777,0.12111111111111111,0.12111111111111111,0.0077777777777777776,0.7461340388007054
1204,0.7255555555555555,0.09111111111111111,0.09111111111111111,0.0077777777777777776,0.7517345679012346
1205,0.7588888888888888,0.1511111111111111,0.1511111111111111,0.008888888888888889,0.7799334215167548
1206,0.7311111111111112,0.12333333333333334,0.12333333333333334,-0.0033333333333333335,0.7552945326278659
1207,0.7988888888888889,0.06666666666666667,0.06666666666666667,0.0,0.815033950617284
1208,0.7722222222222223,0.13777777777777778,0.13777777777777778,0.006666666666666667,0.8009413580246914
1209,0.7488888888888889,0.10777777777777778,0.10777777777777778,0.005555555555555556,0.7781075837742505
1210,0.6944444444444444,0.11333333333333333,0.11333333333333333,-0.0033333333333333335,0.7238919753086419
1211,0.7777777777777778,0.12555555555555556,0.12555555555555556,0.011111111111111112,0.8073747795414461
1212,0.7455555555555555,0.07222222222222222,0.07222222222222222,-0.0033333333333333335,0.7803148148148148
1213,0.8144444444444444,0.07888888888888888,0.07888888888888888,0.0022222222222222222,0.8331679894179893
1214,0.7011111111111111,0.10888888888888888,0.10888888888888888,0.008888888888888889,0.7263902116402117
1215,0.78,0.10888888888888888,0.10888888888888888,0.015555555555555555,0.8084197530864198
1216,0.6955555555555556,0.13555555555555557,0.13555555555555557,0.0033333333333333335,0.7227791005291005
1217,0.72,0.16444444444444445,0.16444444444444445,0.011111111111111112,0.7451309523809523
1218,0.6833333333333333,0.16777777777777778,0.16777777777777778,0.013333333333333334,0.723854938271605
1219,0.8322222222222222,0.11555555555555555,0.11555555555555555,0.01,0.8549506172839506
1220,0.7566666666666667,0.1,0.1,0.0011111111111111111,0.7847222222222222
1221,0.7022222222222222,0.08333333333333333,0.08333333333333333,-0.0022222222222222222,0.7399197530864197
1222,0.7577777777777778,0.1622222222222222,0.1622222222222222,0.011111111111111112,0.7845507054673722
1223,0.7222222222222222,0.14222222222222222,0.14222222222222222,0.006666666666666667,0.7448796296296296
1224,0.72,0.10777777777777778,0.10777777777777778,0.014444444444444444,0.746212962962963
1225,0.8111111111111111,0.12666666666666668,0.12666666666666668,0.014444444444444444,0.8333377425044091
1226,0.7555555555555555,0.0811111111111111,0.0811111111111111,0.006666666666666667,0.789200176366843
1227,0.7622222222222222,0.1388888888888889,0.1388888888888889,0.008888888888888889,0.7920903880070546
1228,0.7666666666666667,0.1288888888888889,0.1288888888888889,0.0022222222222222222,0.7903606701940036
1229,0.74,0.13444444444444445,0.13444444444444445,0.013333333333333334,0.7643280423280423
1230,0.8044444444444444,0.14,0.14,0.016666666666666666,0.8221432980599648
1231,0.7055555555555556,0.11555555555555555,0.11555555555555555,0.014444444444444444,0.73470987654321
1232,0.69,0.08666666666666667,0.08666666666666667,0.005555555555555556,0.7224845679012345
