target_id,injection_count,star_count,tcf_harmonic_rank1_rate,bls_harmonic_rank1_rate,tcf_exact_rank1_rate,bls_exact_rank1_rate,tcf_exact_top10_rate,bls_exact_top10_rate,tcf_detection_rate_fap,bls_detection_rate_fap,tcf_harmonic_recovery_rate_fap,bls_harmonic_recovery_rate_fap,harmonic_union_recovery_rate_fap,tcf_exact_recovery_rate_fap,bls_exact_recovery_rate_fap,exact_union_recovery_rate_fap,exact_tcf_only_rate,exact_bls_only_rate,exact_neither_rate,median_tcf_score,median_bls_sde,median_tcf_exact_rank_top10,median_bls_exact_rank_top10,arima_convergence_rate,median_total_runtime_seconds,quarter,selection_group,noise_quartile
2693736,18,1,0.3333333333333333,0.8888888888888888,0.16666666666666666,0.8888888888888888,0.4444444444444444,1.0,0.0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,7.201834865358321,13.177480286457115,2.0,1.0,1.0,15.680918541969731,5,confirmed_planet_host,low_scatter
2713049,18,1,0.5,0.8333333333333334,0.05555555555555555,0.8333333333333334,0.2777777777777778,0.8888888888888888,0.0,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.3888888888888889,6.810828858006774,6.646293783086053,4.0,1.0,1.0,16.07674706238322,5,confirmed_planet_host,low_scatter
2715135,18,1,0.2777777777777778,0.0,0.2222222222222222,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.963727416975674,3.1180463264117044,1.5,,1.0,16.892930332920514,5,confirmed_planet_host,highest_scatter
2715695,18,1,0.05555555555555555,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.7222222222222222,0.0,0.7222222222222222,0.7222222222222222,0.0,0.7222222222222222,0.7222222222222222,0.0,0.7222222222222222,0.2777777777777778,7.150295515925098,7.647517187906936,,1.0,1.0,16.005766396061517,5,confirmed_planet_host,high_scatter
2716801,18,1,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.8333333333333334,0.1111111111111111,0.9444444444444444,0.0,0.8333333333333334,0.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.2222222222222222,6.25907342562755,11.674697444587004,1.5,1.0,1.0,15.780406687408686,5,confirmed_planet_host,high_scatter
2716853,18,1,0.2222222222222222,0.6111111111111112,0.1111111111111111,0.6111111111111112,0.3333333333333333,0.9444444444444444,0.0,1.0,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.3888888888888889,6.667113039346118,10.006624125669024,2.0,1.0,1.0,16.303335146047175,5,confirmed_planet_host,high_scatter
2717158,18,1,0.2777777777777778,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,6.526143137019929,13.660969822412792,1.0,1.0,1.0,15.869822895503603,5,confirmed_planet_host,low_scatter
2718778,18,1,0.05555555555555555,0.7222222222222222,0.0,0.7222222222222222,0.05555555555555555,0.8333333333333334,0.0,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.6111111111111112,0.0,0.6111111111111112,0.3888888888888889,6.906207793001548,8.813634004773744,4.0,1.0,1.0,15.218685979489237,5,confirmed_planet_host,high_scatter
2721030,18,1,0.5,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.8333333333333334,0.0,1.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.5555555555555556,6.587678448023651,15.371739904568877,3.0,1.0,1.0,14.80355745810084,5,confirmed_planet_host,high_scatter
2831055,18,1,0.6666666666666666,0.8888888888888888,0.5,0.8888888888888888,0.7222222222222222,0.9444444444444444,0.3888888888888889,0.6111111111111112,0.2777777777777778,0.6111111111111112,0.6111111111111112,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.0,0.3888888888888889,0.3888888888888889,13.04993244285082,7.448716411716431,1.0,1.0,1.0,14.77674956258852,5,confirmed_planet_host,lowest_scatter
2832589,18,1,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.452096487941029,3.6670687782550635,2.5,4.0,1.0,13.793114937958308,5,confirmed_planet_host,highest_scatter
2837111,18,1,0.5555555555555556,1.0,0.3333333333333333,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,7.779833968163312,22.944845188880073,1.0,1.0,1.0,9.311544229043648,5,confirmed_planet_host,low_scatter
757450,18,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.66083724715688,8.640503676298547,,,1.0,21.140586333582178,5,confirmed_planet_host,highest_scatter
