trial,trial_seed,success,bls_max_power,bls_best_period,bls_best_duration,bls_best_epoch,tcf_max_score,tcf_best_raw_pooled_score,tcf_best_period,tcf_best_duration,tcf_best_epoch,tcf_valid_transit_events,tcf_positive_event_fraction,error
72,7065437054142138404,True,0.0004984147431790587,12.043043043043044,0.0625,450.27997690278136,9.575507240973051,5.22656925413087,14.269126912691268,0.0625,449.56290365892403,7,0.8571428571428571,
73,1498969335134864903,True,0.0005570451977548517,14.887887887887889,0.0625,449.71747690278136,8.601968886693042,5.763714582386876,10.492949294929494,0.0625,447.41098641910264,9,0.7777777777777778,
74,11736552175184702013,True,0.0005163892351224326,12.58958958958959,0.0625,452.56122690278136,9.30362266138254,5.7574256827131665,9.1992199219922,0.0625,452.6497046255536,9,0.6666666666666666,
75,13649979793317817247,True,0.0005333162781246842,11.804804804804805,0.0625,449.81122690278136,8.954488492130524,6.555252697537207,12.077907790779078,0.0625,451.0119782522395,7,0.8571428571428571,
76,17165321101101609283,True,0.00045784799826970247,14.22922922922923,0.1125,449.6924769027813,9.124767006024811,8.819241836163263,14.712971297129712,0.1130952380952381,456.6766232539244,6,0.8333333333333334,
77,16398442384268369172,True,0.0005577365775988205,10.29129129129129,0.0625,447.38622690278135,8.431977725474807,10.200454750682468,13.513051305130512,0.0625,447.6822543449734,6,1.0,
78,4151295489693768665,True,0.0005232731895857765,12.561561561561561,0.0625,447.54872690278137,13.283512768567158,11.53941231014577,12.53015301530153,0.21428571428571427,450.80327805499513,5,1.0,
79,15262244025163740060,True,0.0005196821274079447,12.841841841841841,0.1125,444.27372690278133,8.227938922552266,5.904396706638465,11.183218321832182,0.36607142857142855,449.02009145223576,8,0.875,
80,4261389646617318149,True,0.0005522982088338273,12.0990990990991,0.0625,446.43622690278136,10.616317812111106,7.131773537741923,9.22022202220222,0.0625,449.7472161128443,10,0.8,
81,12228061547635429342,True,0.0005965122359240573,12.225225225225225,0.0625,452.08622690278133,7.903542296489426,6.547618501863506,12.224922492249224,0.2648809523809524,452.19906882212615,8,0.875,
82,9252913900610634426,True,0.000520789393080001,13.626626626626626,0.0625,454.1299769027813,7.582291708150547,5.036939560828557,9.382638263826383,0.1130952380952381,450.916485754608,10,0.8,
83,13962146843631058251,True,0.0005713783086299007,10.305305305305305,0.0625,453.59247690278136,11.173763102480542,7.684231538721326,12.523152315231522,0.0625,451.4588252260313,7,0.8571428571428571,
84,93169258984931596,True,0.0004842611407000988,14.635635635635635,0.0625,448.35497690278135,7.150192683071019,5.064904364346777,14.225722572257226,0.0625,447.17044494383833,5,1.0,
85,7047427125984138683,True,0.0006691068467518834,13.962962962962964,0.0625,445.5674769027813,10.603173007923848,9.611563054596433,13.452845284528452,0.2648809523809524,449.97141147556994,6,0.8333333333333334,
86,11143492818152836041,True,0.0006076695203918287,10.235235235235235,0.0625,449.77372690278133,9.426923085981125,10.545136942710906,13.935893589358935,0.0625,451.6853707376194,7,0.7142857142857143,
87,9232499813171923391,True,0.0007611009314702754,13.024024024024024,0.0625,444.27372690278133,9.365776728489973,10.130033009032376,12.961396139613962,0.21428571428571427,444.38501385335564,8,1.0,
88,14426905348303737792,True,0.0005075303692042049,14.537537537537537,0.0625,447.96747690278136,9.443179632439655,5.816723521291264,13.91069106910691,0.0625,443.85909321933224,7,0.8571428571428571,
89,4227182715559386248,True,0.0006311606644803313,13.57057057057057,0.0625,444.41747690278135,9.804856397619798,7.3386531868584814,12.25012501250125,0.0625,444.18668214133527,7,0.8571428571428571,
90,13438606429476603318,True,0.0005552714650945336,11.608608608608609,0.0625,449.72997690278135,8.546697310963095,6.3941318689020346,14.924392439243924,0.36607142857142855,448.2226912818513,7,1.0,
91,16009896996112532366,True,0.0005238250587972403,13.472472472472472,0.0625,453.07372690278135,9.403816054218893,6.763622246083052,14.487548754875487,0.0625,448.2115952250508,7,0.8571428571428571,
92,8855428189267149165,True,0.0006448771271883081,14.117117117117116,0.0625,450.01747690278137,12.157471479915129,11.029776487514354,12.576357635763577,0.2648809523809524,453.24464284237183,7,1.0,
93,7775714338975520178,True,0.0005669081138281286,10.823823823823824,0.0625,448.67372690278137,10.086954121553331,12.100161252356079,13.87988798879888,0.1636904761904762,455.1528315777923,6,0.8333333333333334,
94,13835856829938078651,True,0.0005289686460598919,14.327327327327327,0.0625,447.0987269027813,10.885047606084273,8.969056298538138,14.76057605760576,0.21428571428571427,456.6514268744999,5,1.0,
95,2394934314727631938,True,0.0006292848217339138,13.962962962962964,0.0625,448.04872690278137,9.514394779076616,7.636489895893768,14.287328732873288,0.2648809523809524,447.8235797192759,5,1.0,
