ok,target_id,quarter,selection_order,error_type,error
False,7517730,5,534,RuntimeError,"No Kepler light curve found for target='KIC 7517730', quarter=5, author='Kepler', cadence='long'."
False,4066976,5,549,RuntimeError,"No Kepler light curve found for target='KIC 4066976', quarter=5, author='Kepler', cadence='long'."
False,6502979,5,554,RuntimeError,"No Kepler light curve found for target='KIC 6502979', quarter=5, author='Kepler', cadence='long'."
False,11153122,5,556,RuntimeError,"No Kepler light curve found for target='KIC 11153122', quarter=5, author='Kepler', cadence='long'."
False,8690567,5,557,RuntimeError,"No Kepler light curve found for target='KIC 8690567', quarter=5, author='Kepler', cadence='long'."
False,9771888,5,558,RuntimeError,"No Kepler light curve found for target='KIC 9771888', quarter=5, author='Kepler', cadence='long'."
False,6212627,5,560,RuntimeError,"No Kepler light curve found for target='KIC 6212627', quarter=5, author='Kepler', cadence='long'."
False,7522662,5,563,RuntimeError,"No Kepler light curve found for target='KIC 7522662', quarter=5, author='Kepler', cadence='long'."
False,9655390,5,567,RuntimeError,"No Kepler light curve found for target='KIC 9655390', quarter=5, author='Kepler', cadence='long'."
False,3337065,5,580,RuntimeError,"No Kepler light curve found for target='KIC 3337065', quarter=5, author='Kepler', cadence='long'."
False,5186014,5,581,RuntimeError,"No Kepler light curve found for target='KIC 5186014', quarter=5, author='Kepler', cadence='long'."
False,8462688,5,584,RuntimeError,"No Kepler light curve found for target='KIC 8462688', quarter=5, author='Kepler', cadence='long'."
False,7352147,5,596,RuntimeError,"No Kepler light curve found for target='KIC 7352147', quarter=5, author='Kepler', cadence='long'."
False,7672690,5,618,RuntimeError,"No Kepler light curve found for target='KIC 7672690', quarter=5, author='Kepler', cadence='long'."
False,9412618,5,624,RuntimeError,"No Kepler light curve found for target='KIC 9412618', quarter=5, author='Kepler', cadence='long'."
False,5686723,5,631,RuntimeError,"No Kepler light curve found for target='KIC 5686723', quarter=5, author='Kepler', cadence='long'."
False,9593390,5,634,RuntimeError,"No Kepler light curve found for target='KIC 9593390', quarter=5, author='Kepler', cadence='long'."
False,2695226,5,637,RuntimeError,"No Kepler light curve found for target='KIC 2695226', quarter=5, author='Kepler', cadence='long'."
False,11507262,5,646,RuntimeError,"No Kepler light curve found for target='KIC 11507262', quarter=5, author='Kepler', cadence='long'."
False,9016278,5,657,RuntimeError,"No Kepler light curve found for target='KIC 9016278', quarter=5, author='Kepler', cadence='long'."
False,7010160,5,667,RuntimeError,"No Kepler light curve found for target='KIC 7010160', quarter=5, author='Kepler', cadence='long'."
False,9933524,5,669,RuntimeError,"No Kepler light curve found for target='KIC 9933524', quarter=5, author='Kepler', cadence='long'."
False,7756682,5,672,RuntimeError,"No Kepler light curve found for target='KIC 7756682', quarter=5, author='Kepler', cadence='long'."
False,10090485,5,679,RuntimeError,"No Kepler light curve found for target='KIC 10090485', quarter=5, author='Kepler', cadence='long'."
False,7960818,5,678,RuntimeError,"No Kepler light curve found for target='KIC 7960818', quarter=5, author='Kepler', cadence='long'."
False,6062468,5,684,RuntimeError,"No Kepler light curve found for target='KIC 6062468', quarter=5, author='Kepler', cadence='long'."
False,5351903,5,685,RuntimeError,"No Kepler light curve found for target='KIC 5351903', quarter=5, author='Kepler', cadence='long'."
False,7287048,5,692,RuntimeError,"No Kepler light curve found for target='KIC 7287048', quarter=5, author='Kepler', cadence='long'."
False,5112604,5,693,RuntimeError,"No Kepler light curve found for target='KIC 5112604', quarter=5, author='Kepler', cadence='long'."
False,9778034,5,713,RuntimeError,"No Kepler light curve found for target='KIC 9778034', quarter=5, author='Kepler', cadence='long'."
False,9777054,5,714,RuntimeError,"No Kepler light curve found for target='KIC 9777054', quarter=5, author='Kepler', cadence='long'."
False,8149134,5,730,RuntimeError,"No Kepler light curve found for target='KIC 8149134', quarter=5, author='Kepler', cadence='long'."
False,6206542,5,734,RuntimeError,"No Kepler light curve found for target='KIC 6206542', quarter=5, author='Kepler', cadence='long'."
False,6347175,5,742,RuntimeError,"No Kepler light curve found for target='KIC 6347175', quarter=5, author='Kepler', cadence='long'."
False,8056828,5,744,RuntimeError,"No Kepler light curve found for target='KIC 8056828', quarter=5, author='Kepler', cadence='long'."
False,6268979,5,748,RuntimeError,"No Kepler light curve found for target='KIC 6268979', quarter=5, author='Kepler', cadence='long'."
False,6582987,5,751,RuntimeError,"No Kepler light curve found for target='KIC 6582987', quarter=5, author='Kepler', cadence='long'."
False,11442567,5,773,RuntimeError,"No Kepler light curve found for target='KIC 11442567', quarter=5, author='Kepler', cadence='long'."
False,12009233,5,777,RuntimeError,"No Kepler light curve found for target='KIC 12009233', quarter=5, author='Kepler', cadence='long'."
False,4726231,5,781,RuntimeError,"No Kepler light curve found for target='KIC 4726231', quarter=5, author='Kepler', cadence='long'."
False,9593375,5,789,RuntimeError,"No Kepler light curve found for target='KIC 9593375', quarter=5, author='Kepler', cadence='long'."
False,2438522,5,795,RuntimeError,"No Kepler light curve found for target='KIC 2438522', quarter=5, author='Kepler', cadence='long'."
False,11958342,5,797,RuntimeError,"No Kepler light curve found for target='KIC 11958342', quarter=5, author='Kepler', cadence='long'."
False,5597723,5,815,RuntimeError,"No Kepler light curve found for target='KIC 5597723', quarter=5, author='Kepler', cadence='long'."
False,9508673,5,816,RuntimeError,"No Kepler light curve found for target='KIC 9508673', quarter=5, author='Kepler', cadence='long'."
False,4753723,5,819,RuntimeError,"No Kepler light curve found for target='KIC 4753723', quarter=5, author='Kepler', cadence='long'."
