target_id,quarter,selection_order,population_cohort,flux_robust_scale,flux_skewness,flux_outlier_fraction,v2_acf_lag_1,v2_acf_decay_e_days,original_series_stationarity_conclusion,v2_spectral_concentration,v2_spectral_harmonic_power_ratio,v2_ls_dominant_period_days,v2_ls_acf_period_relative_error,v2_segment_scale_relative_mad,v2_amplitude_population_label,v2_memory_population_label,v2_acf1_operational_label,v2_quiet_candidate,v2_low_scatter_structured_candidate,v2_correlated_stochastic_candidate,v2_evolving_variability_candidate,v2_quasi_periodic_candidate,v2_coherent_periodic_candidate,v2_rotation_spot_review_flag,v2_pulsation_review_flag,v2_dominant_statistical_behaviour
9368662,5,1042,population_expansion_900,0.009797642987007856,-0.02350008685111081,0.0,0.9928762355134498,2.6360351607436314,stationary_supported,0.16760809096099782,0.07892730192273437,14.78938039195926,,0.2740144370895857,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
5185968,5,1043,population_expansion_900,0.00038179534621478323,2.495555427275325,0.0008916629514043691,0.0942464929296385,0.02043446066090837,stationary_supported,0.005009107288198755,0.32463467217905984,11.543733193151068,,0.09368015646160281,typical,typical,weak,False,False,False,False,False,False,False,False,Mixed / complex
8905990,5,1044,population_expansion_900,0.010603212797564437,0.1622981133819764,0.0,0.999865578022333,,conflicting_rejections,0.12617614059883986,0.3347683633399351,36.40462964064763,,0.5638041188176384,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
8016522,5,1045,population_expansion_900,0.00013438432433515927,18.639752594981818,0.0011145786892554615,0.12163381832780647,0.020434334233868867,stationary_supported,0.004810367441248049,0.32895978038836327,12.791595975522398,0.26515864278649565,0.021511897852677576,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
9724399,5,1046,population_expansion_900,0.000567949375850439,13.145162082344667,0.0013374944271065537,0.010061851939735687,0.020434342208318412,stationary_supported,0.0024269366063667205,0.08550017549407884,15.775310965314594,,0.014210445109417822,typical,low,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
9897328,5,1048,population_expansion_900,0.00045590695174367195,-0.23942386575350355,0.00044583147570218456,0.7750034741283335,2.022997567837592,stationary_supported,0.05449278200528399,0.048867512608548956,12.134840941949621,,0.17241666437736503,typical,high,strong,False,False,True,True,False,False,False,False,Evolving variability
9143650,5,1049,population_expansion_900,0.0005836979703593864,0.9148097330405126,0.0011145786892554615,0.004175731460539587,0.02043429092009319,stationary_supported,0.001941719670109952,0.019484551917297418,15.267287073357961,,0.014104119218359456,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
12156630,5,1050,population_expansion_900,0.0027782161584441935,0.17799942971692256,0.0,0.999608193856165,1.614300604967866,conflicting_rejections,0.10194228839171517,0.09737479799155806,7.170540876053525,,0.13461820491591056,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
9729789,5,1051,population_expansion_900,0.0005590112838398343,16.542003214622465,0.0013374944271065537,0.1383396891384284,0.020434351230505854,stationary_supported,0.004065809260511429,0.07482749162182517,3.5852996992813626,,0.009178690127207472,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
10718399,5,1052,population_expansion_900,0.00039976010944158197,5.804840333416005,0.001560410164957646,0.020356012028280832,0.02043422233691672,stationary_supported,0.0007276168872229299,0.08513633177504457,0.06985337111655594,,0.03153926917179927,typical,low,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
11412987,5,1053,population_expansion_900,0.000415475810821285,16.168298727912873,0.0020062416406598305,0.08576141514936389,0.020434265679796226,stationary_supported,0.0034935822654618624,0.14481628209178607,17.528056137249315,0.8694300304485256,0.07057488259589634,typical,typical,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
2585851,5,1054,population_expansion_900,0.00041452505188420175,4.7794164959669265,0.0006687472135532769,0.22323120253498918,0.020434543897863477,stationary_supported,0.013297901192651668,0.17410100317133492,15.26658163144184,,0.05000249737454118,typical,typical,moderate,False,False,False,False,False,False,False,False,Mixed / complex
9958534,5,1055,population_expansion_900,0.003695696295842018,0.03770980119966164,0.0,0.998297588031169,1.2669277986278757,stationary_supported,0.09910182265760514,0.0198250021325754,7.633206638592317,,0.24853835647621195,high,high,strong,False,False,True,True,False,False,False,False,Evolving variability
11771660,5,1056,population_expansion_900,0.00016770939266907026,0.5923729616100746,0.0008916629514043691,0.120253731225482,0.020434242382179946,stationary_supported,0.003679631170517229,0.4542866088597441,15.266354264299077,,0.003149999999674486,low,typical,weak,False,True,False,False,False,False,False,False,Low-scatter structured
11876496,5,1057,population_expansion_900,0.0005705050505050384,5.004268816476432,0.0011145786892554615,0.02421878831408567,0.02043425088049844,stationary_supported,0.0014524219734102116,0.10852871228332907,17.528041789184538,,0.01510224523580292,typical,low,weak,False,False,False,False,False,False,False,False,Short-memory stochastic
11466154,5,1059,population_expansion_900,0.0006295908083574817,6.828483637719293,0.002229157378510923,0.03559766162531176,0.020434264610230457,stationary_supported,0.0008495243354233099,0.14996083713429118,0.08493495480082273,,0.03438936367242574,typical,low,weak,False,False,False,False,False,False,False,False,Tail-heavy / asymmetric
