period_cadences,period_days,duration_cadences,duration_hours,epoch_phase_cadence,mes,observed_event_count,expected_event_count,observability_fraction
438,8.95016063482035,8,3.9233580864965916,159,28.650860441869792,8,11,0.7272727272727273
442,9.031897261622362,6,2.9425185648724437,135,28.64928153675756,7,11,0.6363636363636364
252,5.149407488526776,16,7.846716172993183,111,28.62439766276447,10,18,0.5555555555555556
294,6.007642069947906,16,7.846716172993183,139,28.61516165161421,10,16,0.625
442,9.031897261622362,20,9.808395216241479,137,28.581412476912043,7,11,0.6363636363636364
393,8.03062358329771,8,3.9233580864965916,333,28.558016200198583,7,11,0.6363636363636364
195,3.984660556598101,16,7.846716172993183,149,28.524107134250503,13,23,0.5652173913043478
440,8.991028948221356,4,1.9616790432482958,145,28.52183410557545,8,11,0.7272727272727273
217,4.434212004009169,16,7.846716172993183,176,28.519899465718478,14,21,0.6666666666666666
438,8.95016063482035,6,2.9425185648724437,158,28.483430912153253,8,11,0.7272727272727273
488,9.971868469845504,6,2.9425185648724437,347,28.45480234694107,6,9,0.6666666666666666
590,12.056152453296818,12,5.885037129744887,528,28.430910033077353,5,7,0.7142857142857143
293,5.987207913247403,8,3.9233580864965916,147,28.414654912751317,11,16,0.6875
197,4.025528869999107,8,3.9233580864965916,24,28.387257521775037,13,24,0.5416666666666666
295,6.028076226648409,20,9.808395216241479,233,28.37890005340278,10,15,0.6666666666666666
587,11.994849983195309,20,9.808395216241479,537,28.324234786217446,5,7,0.7142857142857143
476,9.726658589439467,20,9.808395216241479,142,28.31981652652461,5,10,0.5
217,4.434212004009169,12,5.885037129744887,176,28.316066503324755,14,21,0.6666666666666666
592,12.097020766697824,16,7.846716172993183,522,28.311589638313762,5,7,0.7142857142857143
217,4.434212004009169,20,9.808395216241479,177,28.29949353459624,14,21,0.6666666666666666
441,9.011463104921859,4,1.9616790432482958,141,28.285564430250723,7,11,0.6363636363636364
295,6.028076226648409,16,7.846716172993183,28,28.271860130773405,8,16,0.5
684,13.976963183144107,8,3.9233580864965916,51,28.218686947565363,5,7,0.7142857142857143
530,10.830103051266633,16,7.846716172993183,87,28.215076293725637,5,9,0.5555555555555556
684,13.976963183144107,6,2.9425185648724437,51,28.185406030381685,5,7,0.7142857142857143
562,11.483996065682732,20,9.808395216241479,53,28.14500955567671,4,9,0.4444444444444444
589,12.035718296596315,4,1.9616790432482958,531,28.142942319978136,5,7,0.7142857142857143
394,8.051057739998214,16,7.846716172993183,328,28.141184923997287,6,11,0.5454545454545454
147,3.003821034973953,6,2.9425185648724437,141,28.109829951835767,19,31,0.6129032258064516
295,6.028076226648409,8,3.9233580864965916,28,28.082110742068156,8,16,0.5
73,1.491693439136725,20,9.808395216241479,1,28.070257914040155,39,64,0.609375
587,11.994849983195309,8,3.9233580864965916,537,28.051941960540436,5,7,0.7142857142857143
685,13.99739733984461,6,2.9425185648724437,46,27.993410568919607,4,7,0.5714285714285714
438,8.95016063482035,20,9.808395216241479,154,27.985524938840683,8,11,0.7272727272727273
265,5.4150515256333165,20,9.808395216241479,87,27.937734021138247,8,18,0.4444444444444444
438,8.95016063482035,12,5.885037129744887,159,27.93652303520993,8,11,0.7272727272727273
293,5.987207913247403,6,2.9425185648724437,148,27.923151874273852,11,16,0.6875
588,12.015284139895812,4,1.9616790432482958,534,27.909571927036374,5,7,0.7142857142857143
439,8.970594791520853,8,3.9233580864965916,152,27.888190627284303,8,11,0.7272727272727273
457,9.338409612129908,4,1.9616790432482958,207,27.87511091091936,5,10,0.5
475,9.706224432738964,20,9.808395216241479,143,27.870146633328734,6,10,0.6
555,11.34095696877921,8,3.9233580864965916,11,27.853679910680086,7,9,0.7777777777777778
487,9.951434313145,12,5.885037129744887,350,27.83936982134629,6,9,0.6666666666666666
587,11.994849983195309,6,2.9425185648724437,534,27.832736947278967,4,7,0.5714285714285714
686,14.017831496545114,12,5.885037129744887,42,27.830150812119655,4,7,0.5714285714285714
560,11.443127752281725,16,7.846716172993183,58,27.814627921020413,4,9,0.4444444444444444
252,5.149407488526776,20,9.808395216241479,108,27.8045824169384,9,18,0.5
491,10.033170939947013,4,1.9616790432482958,334,27.799357188806216,8,9,0.8888888888888888
393,8.03062358329771,6,2.9425185648724437,334,27.795825079712365,7,11,0.6363636363636364
529,10.80966889456613,20,9.808395216241479,89,27.774055354436783,4,9,0.4444444444444444
253,5.1698416452272795,6,2.9425185648724437,107,27.773768147642937,12,18,0.6666666666666666
252,5.149407488526776,4,1.9616790432482958,114,27.772542132169477,10,18,0.5555555555555556
686,14.017831496545114,8,3.9233580864965916,41,27.762960232516235,4,7,0.5714285714285714
391,7.989755269896705,20,9.808395216241479,343,27.751649389793034,6,11,0.5454545454545454
438,8.95016063482035,16,7.846716172993183,157,27.75127926411887,8,11,0.7272727272727273
147,3.003821034973953,16,7.846716172993183,141,27.734668629621574,19,31,0.6129032258064516
495,10.114907566749025,20,9.808395216241479,122,27.69751477488133,5,10,0.5
685,13.99739733984461,16,7.846716172993183,46,27.684007917124095,4,7,0.5714285714285714
502,10.257946663652547,20,9.808395216241479,111,27.66554419087108,5,10,0.5
684,13.976963183144107,12,5.885037129744887,51,27.66086909758877,5,7,0.7142857142857143
561,11.463561908982228,20,9.808395216241479,54,27.639222518052236,3,9,0.3333333333333333
438,8.95016063482035,4,1.9616790432482958,158,27.572526529846193,8,11,0.7272727272727273
441,9.011463104921859,3,1.4712592824362218,140,27.55038102626371,7,11,0.6363636363636364
487,9.951434313145,16,7.846716172993183,350,27.52992710238234,6,9,0.6666666666666666
555,11.34095696877921,6,2.9425185648724437,11,27.509777285500263,7,9,0.7777777777777778
492,10.053605096647516,20,9.808395216241479,330,27.476781224757282,8,9,0.8888888888888888
563,11.504430222383235,20,9.808395216241479,47,27.471435273085586,4,9,0.4444444444444444
293,5.987207913247403,16,7.846716172993183,146,27.466612780811623,11,16,0.6875
593,12.117454923398327,16,7.846716172993183,519,27.392868016704035,5,7,0.7142857142857143
645,13.180031071824487,20,9.808395216241479,618,27.372718127740693,4,7,0.5714285714285714
474,9.68579027603846,20,9.808395216241479,144,27.371154946649543,6,10,0.6
492,10.053605096647516,16,7.846716172993183,330,27.33792819985589,8,9,0.8888888888888888
440,8.991028948221356,3,1.4712592824362218,144,27.330328881861874,8,11,0.7272727272727273
458,9.358843768830411,8,3.9233580864965916,202,27.328770218196663,5,10,0.5
391,7.989755269896705,8,3.9233580864965916,146,27.327194472727818,8,12,0.6666666666666666
684,13.976963183144107,4,1.9616790432482958,51,27.321997260394536,5,7,0.7142857142857143
501,10.237512506952044,20,9.808395216241479,113,27.312210030273,5,10,0.5
496,10.135341723449528,20,9.808395216241479,122,27.2890265181339,5,10,0.5
590,12.056152453296818,8,3.9233580864965916,528,27.28780526863553,5,7,0.7142857142857143
501,10.237512506952044,16,7.846716172993183,115,27.28456465233983,5,10,0.5
488,9.971868469845504,4,1.9616790432482958,347,27.272724260719798,6,9,0.6666666666666666
474,9.68579027603846,16,7.846716172993183,143,27.27121109160376,6,10,0.6
72,1.4712592824362218,20,9.808395216241479,42,27.270537012412493,43,64,0.671875
500,10.21707835025154,20,9.808395216241479,115,27.249746980716395,5,10,0.5
216,4.4137778473086655,20,9.808395216241479,186,27.239244395785093,13,21,0.6190476190476191
195,3.984660556598101,12,5.885037129744887,153,27.231410037996316,15,23,0.6521739130434783
220,4.495514474110678,20,9.808395216241479,147,27.22713200068533,10,21,0.47619047619047616
254,5.190275801927783,12,5.885037129744887,98,27.226992939584534,11,18,0.6111111111111112
442,9.031897261622362,4,1.9616790432482958,136,27.220196785344015,7,11,0.6363636363636364
651,13.302636012027506,20,9.808395216241479,612,27.215795559808807,4,7,0.5714285714285714
686,14.017831496545114,6,2.9425185648724437,42,27.21292344891782,4,7,0.5714285714285714
502,10.257946663652547,16,7.846716172993183,111,27.21273274389272,5,10,0.5
221,4.515948630811181,16,7.846716172993183,137,27.200701795785918,10,21,0.47619047619047616
217,4.434212004009169,8,3.9233580864965916,176,27.19402040141226,14,21,0.6666666666666666
393,8.03062358329771,4,1.9616790432482958,334,27.174313095448753,7,11,0.6363636363636364
594,12.13788908009883,20,9.808395216241479,517,27.144150470677445,5,7,0.7142857142857143
504,10.298814977053553,20,9.808395216241479,108,27.139582702538014,4,9,0.4444444444444444
645,13.180031071824487,16,7.846716172993183,617,27.137588638739935,4,7,0.5714285714285714
293,5.987207913247403,4,1.9616790432482958,148,27.132644728439708,11,16,0.6875
295,6.028076226648409,6,2.9425185648724437,28,27.131778736868622,8,16,0.5
629,12.853084564616438,20,9.808395216241479,616,27.106937844463573,4,7,0.5714285714285714
221,4.515948630811181,12,5.885037129744887,137,27.104652873210497,10,21,0.47619047619047616
221,4.515948630811181,20,9.808395216241479,137,27.07619989685169,9,21,0.42857142857142855
561,11.463561908982228,16,7.846716172993183,54,27.07345918110574,4,9,0.4444444444444444
147,3.003821034973953,20,9.808395216241479,143,27.071992741700345,16,31,0.5161290322580645
475,9.706224432738964,16,7.846716172993183,141,27.067089090851937,6,10,0.6
