quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
strict,full_gap,"(1, 1, 1)",ma.L1,-0.4971897033763233,7.161701680683775e-21,-0.4971897033763233,-0.4971897033763233,0.5028102966236767,False
strict,full_gap,"(1, 1, 1)",sigma2,4.396451284389619e-09,8.385441883076399e-11,4.232099643536784e-09,4.560802925242453e-09,,False
strict,longest_segment,"(3, 0, 0)",const,-3.762094269297816e-05,8.996873252715015e-05,-0.00021395641818090972,0.0001387145327949534,,False
strict,longest_segment,"(3, 0, 0)",ar.L1,0.927532324862496,4.170139422580597e-08,0.9275322431292653,0.9275324065957268,0.07246767513750396,False
strict,longest_segment,"(3, 0, 0)",ar.L2,0.04638553340555978,2.660448635523979e-08,0.0463854812617247,0.04638558554939486,0.9536144665944403,False
strict,longest_segment,"(3, 0, 0)",ar.L3,-0.07862223233473398,4.114139060117664e-08,-0.07862231297037783,-0.07862215169909012,0.921377767665266,False
strict,longest_segment,"(3, 0, 0)",sigma2,6.753323668897592e-09,6.283362741485858e-10,5.521807201386278e-09,7.984840136408906e-09,,False
strict,longest_segment,"(2, 0, 0)",const,-3.7593346927913336e-05,9.844917095810022e-05,-0.00023055017631361642,0.00015536348245778975,,False
strict,longest_segment,"(2, 0, 0)",ar.L1,0.9267290144012155,5.635938343252514e-08,0.9267289039388538,0.9267291248635772,0.07327098559878453,False
strict,longest_segment,"(2, 0, 0)",ar.L2,-0.01983962656013356,3.6480450514802264e-08,-0.01983969806050271,-0.01983955505976441,0.9801603734398664,False
strict,longest_segment,"(2, 0, 0)",sigma2,6.715549176799309e-09,6.122423676776538e-10,5.515576186341578e-09,7.915522167257041e-09,,False
strict,longest_segment,"(2, 1, 0)",ar.L1,-0.020826033301048315,3.5763099991014224e-19,-0.020826033301048315,-0.020826033301048315,0.9791739666989517,False
strict,longest_segment,"(2, 1, 0)",ar.L2,0.02842661207060544,3.031191138466384e-19,0.02842661207060544,0.02842661207060544,0.9715733879293945,False
strict,longest_segment,"(2, 1, 0)",sigma2,6.917980138086571e-09,5.769353115831907e-10,5.7872077059741226e-09,8.048752570199019e-09,,False
strict,longest_segment,"(1, 0, 0)",const,-3.7606954397880495e-05,0.00010048345898804255,-0.0002345509150564515,0.0001593370062606905,,False
strict,longest_segment,"(1, 0, 0)",ar.L1,0.908302694522678,6.044638467063625e-08,0.908302576049941,0.9083028129954149,0.09169730547732202,False
strict,longest_segment,"(1, 0, 0)",sigma2,6.749018310361323e-09,6.162558582456393e-10,5.541179022938049e-09,7.956857597784598e-09,,False
strict,full_gap,"(2, 1, 0)",ar.L1,-0.31403701012279694,2.9772591909236564e-20,-0.31403701012279694,-0.31403701012279694,0.685962989877203,False
strict,full_gap,"(2, 1, 0)",ar.L2,-0.11375537349478605,8.898921825253702e-20,-0.11375537349478605,-0.11375537349478605,0.886244626505214,False
strict,full_gap,"(2, 1, 0)",sigma2,4.483813165124043e-09,8.566055572784206e-11,4.315921561001786e-09,4.6517047692462994e-09,,False
strict,longest_segment,"(1, 1, 1)",ar.L1,-0.7842843861691391,1.5306629033436154e-18,-0.7842843861691391,-0.7842843861691391,0.2157156138308609,False
strict,longest_segment,"(1, 1, 1)",ma.L1,0.7800327053861046,1.4974163539632052e-18,0.7800327053861046,0.7800327053861046,0.21996729461389541,False
strict,longest_segment,"(1, 1, 1)",sigma2,6.926515159889246e-09,5.793777731562843e-10,5.790955591059912e-09,8.062074728718581e-09,,False
strict,longest_segment,"(1, 1, 0)",ar.L1,-0.025900728639681653,3.531082233917206e-19,-0.025900728639681653,-0.025900728639681653,0.9740992713603184,False
strict,longest_segment,"(1, 1, 0)",sigma2,7.1547442576035945e-09,6.138782536553019e-10,5.951564989546859e-09,8.35792352566033e-09,,False
strict,full_gap,"(1, 0, 0)",const,-2.3496365927340055e-05,6.5925276266304975e-06,-3.641748264262115e-05,-1.057524921205896e-05,,False
strict,full_gap,"(1, 0, 0)",ar.L1,0.8443190171500411,6.285617755929825e-10,0.8443190159180827,0.8443190183819995,0.1556809828499589,False
strict,full_gap,"(1, 0, 0)",sigma2,4.721378045058326e-09,9.797415631528598e-11,4.529352227264668e-09,4.913403862851983e-09,,False
strict,longest_segment,"(2, 0, 1)",const,-4.275690428544511e-05,4.454128947913402e-05,-0.0001300562274895206,4.454241891863039e-05,,False
strict,longest_segment,"(2, 0, 1)",ar.L1,1.216759803145125e-07,0.03219626008110392,-0.063103388519868,0.06310363187182864,0.9999998783240197,False
strict,longest_segment,"(2, 0, 1)",ar.L2,1.0980310744581267e-07,0.03737371790443821,-0.07325103125795124,0.07325125086416612,0.9999998901968925,False
strict,longest_segment,"(2, 0, 1)",ma.L1,1.2167352289691347e-07,0.03219624723422226,-0.06310336334290005,0.06310360668994584,0.9999998783264771,False
