target_id,quarter,selection_order,population_cohort,selection_group
7846870,5,286,population_expansion_900,random_clean_q5_population_expansion
8506556,5,287,population_expansion_900,random_clean_q5_population_expansion
6037407,5,288,population_expansion_900,random_clean_q5_population_expansion
4278217,5,290,population_expansion_900,random_clean_q5_population_expansion
8678053,5,291,population_expansion_900,random_clean_q5_population_expansion
7592593,5,293,population_expansion_900,random_clean_q5_population_expansion
9344234,5,297,population_expansion_900,random_clean_q5_population_expansion
3561681,5,298,population_expansion_900,random_clean_q5_population_expansion
5984274,5,299,population_expansion_900,random_clean_q5_population_expansion
7106167,5,301,population_expansion_900,random_clean_q5_population_expansion
5120255,5,302,population_expansion_900,random_clean_q5_population_expansion
4470856,5,304,population_expansion_900,random_clean_q5_population_expansion
6764407,5,305,population_expansion_900,random_clean_q5_population_expansion
7259202,5,306,population_expansion_900,random_clean_q5_population_expansion
7617346,5,307,population_expansion_900,random_clean_q5_population_expansion
9699881,5,308,population_expansion_900,random_clean_q5_population_expansion
5388887,5,309,population_expansion_900,random_clean_q5_population_expansion
6865701,5,310,population_expansion_900,random_clean_q5_population_expansion
8029626,5,311,population_expansion_900,random_clean_q5_population_expansion
7868211,5,312,population_expansion_900,random_clean_q5_population_expansion
8179008,5,314,population_expansion_900,random_clean_q5_population_expansion
4831454,5,317,population_expansion_900,random_clean_q5_population_expansion
5546141,5,318,population_expansion_900,random_clean_q5_population_expansion
5536827,5,320,population_expansion_900,random_clean_q5_population_expansion
9286459,5,321,population_expansion_900,random_clean_q5_population_expansion
2997218,5,322,population_expansion_900,random_clean_q5_population_expansion
7812468,5,323,population_expansion_900,random_clean_q5_population_expansion
10096490,5,324,population_expansion_900,random_clean_q5_population_expansion
10065293,5,325,population_expansion_900,random_clean_q5_population_expansion
1572999,5,326,population_expansion_900,random_clean_q5_population_expansion
5438877,5,328,population_expansion_900,random_clean_q5_population_expansion
9077552,5,329,population_expansion_900,random_clean_q5_population_expansion
8128477,5,330,population_expansion_900,random_clean_q5_population_expansion
10716413,5,331,population_expansion_900,random_clean_q5_population_expansion
8654099,5,332,population_expansion_900,random_clean_q5_population_expansion
7104258,5,333,population_expansion_900,random_clean_q5_population_expansion
3955834,5,334,population_expansion_900,random_clean_q5_population_expansion
5216220,5,335,population_expansion_900,random_clean_q5_population_expansion
11028575,5,336,population_expansion_900,random_clean_q5_population_expansion
9845531,5,337,population_expansion_900,random_clean_q5_population_expansion
10005956,5,338,population_expansion_900,random_clean_q5_population_expansion
