branch,feature,outcome,n_stars,spearman_rho,interpretation_scope
kalman,spectral_concentration,tls_exact_gain_vs_raw,8,0.7041868508280461,descriptive_poc_only_no_significance_claim
kalman,harmonic_power_ratio,median_template_correlation,8,-0.04761904761904763,descriptive_poc_only_no_significance_claim
kalman,harmonic_power_ratio,oracle_snr_gain_vs_raw,8,0.28571428571428575,descriptive_poc_only_no_significance_claim
kalman,harmonic_power_ratio,whitening_gain_vs_raw,8,-0.07142857142857144,descriptive_poc_only_no_significance_claim
kalman,harmonic_power_ratio,tls_exact_gain_vs_raw,8,0.22237479499833038,descriptive_poc_only_no_significance_claim
kalman,dominant_period_days,median_template_correlation,8,0.7380952380952381,descriptive_poc_only_no_significance_claim
kalman,dominant_period_days,oracle_snr_gain_vs_raw,8,-0.7142857142857144,descriptive_poc_only_no_significance_claim
kalman,dominant_period_days,whitening_gain_vs_raw,8,-0.4047619047619048,descriptive_poc_only_no_significance_claim
kalman,dominant_period_days,tls_exact_gain_vs_raw,8,0.0,descriptive_poc_only_no_significance_claim
kalman,period_agreement_error,median_template_correlation,8,0.38095238095238104,descriptive_poc_only_no_significance_claim
kalman,period_agreement_error,oracle_snr_gain_vs_raw,8,-0.6904761904761906,descriptive_poc_only_no_significance_claim
kalman,period_agreement_error,whitening_gain_vs_raw,8,-0.3571428571428572,descriptive_poc_only_no_significance_claim
kalman,period_agreement_error,tls_exact_gain_vs_raw,8,-0.3953329688859207,descriptive_poc_only_no_significance_claim
kalman,segment_scale_variability,median_template_correlation,8,-0.14285714285714288,descriptive_poc_only_no_significance_claim
kalman,segment_scale_variability,oracle_snr_gain_vs_raw,8,0.7142857142857144,descriptive_poc_only_no_significance_claim
kalman,segment_scale_variability,whitening_gain_vs_raw,8,0.1666666666666667,descriptive_poc_only_no_significance_claim
kalman,segment_scale_variability,tls_exact_gain_vs_raw,8,0.7412493166611013,descriptive_poc_only_no_significance_claim
raw,robust_scatter,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,robust_scatter,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,robust_scatter,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,robust_scatter,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,skewness,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,skewness,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,skewness,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,skewness,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,outlier_fraction,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,outlier_fraction,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,outlier_fraction,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,outlier_fraction,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_lag1,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,acf_lag1,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_lag1,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_lag1,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_timescale_days,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,acf_timescale_days,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_timescale_days,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,acf_timescale_days,tls_exact_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,spectral_concentration,median_template_correlation,8,,descriptive_poc_only_no_significance_claim
raw,spectral_concentration,oracle_snr_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
raw,spectral_concentration,whitening_gain_vs_raw,8,,descriptive_poc_only_no_significance_claim
