trial,trial_seed,success,arima_refitted,arima_converged,max_score,best_raw_pooled_score,best_period,best_duration,best_epoch,best_valid_transit_events,best_positive_transit_events,best_positive_event_fraction,best_median_event_score,requested_period_count,evaluated_period_count,coarse_period_count,refined_period_count,error
532,15258500607552581554,True,False,False,7.933698144147624,7.156586027874876,13.599859985998599,0.0625,455.53936417312804,7,7,1.0,2.9986560380670406,10000,2960,2000,960,
533,15830120459379403502,True,False,False,9.508190170392607,7.905144611929501,11.82028202820282,0.21428571428571427,445.3259547358468,7,6,0.8571428571428571,3.593758087023956,10000,2961,2000,961,
534,14211356498720727871,True,False,False,10.595252179446518,7.457307366615189,13.837883788378837,0.21428571428571427,455.29982694673527,5,3,0.6,4.738340822399043,10000,2960,2000,960,
535,15637882302076325209,True,False,False,7.781565695433194,7.043046864946053,13.4010401040104,0.1130952380952381,452.7912093803282,7,5,0.7142857142857143,2.941155377261088,10000,2960,2000,960,
536,13757123939764615056,True,False,False,8.478221405592937,5.872256476061489,7.453245324532453,0.0625,445.7784646443253,12,8,0.6666666666666666,2.447451705384165,10000,2961,2000,961,
537,1264382083857567232,True,False,False,8.529820585821588,5.622028121590201,11.65086508650865,0.0625,454.5290321584187,7,6,0.8571428571428571,3.223969142583314,10000,2961,2000,961,
538,18223293294350605033,True,False,False,9.740673375903217,8.251454950584568,14.137513751375137,0.0625,452.1332678606118,7,7,1.0,3.68162847927827,10000,2960,2000,960,
539,5093791192059475460,True,False,False,8.499226527838278,5.943677310419072,11.555655565556556,0.2648809523809524,450.3504568463634,8,6,0.75,3.0049303563375203,10000,2961,2000,961,
540,8015436567608464700,True,False,False,9.564026792455174,11.015558698348642,12.416741674167417,0.0625,455.60184053026467,7,7,1.0,3.6148623464564493,10000,2961,2000,961,
541,10857841822668288461,True,False,False,8.401640347779615,7.034110700418708,14.428742874287428,0.21428571428571427,446.38762233305437,3,2,0.6666666666666666,4.850689316424982,10000,2961,2000,961,
542,3586542184692951502,True,False,False,9.243784823495865,8.389865384296666,12.796179617961796,0.0625,449.3579858519496,7,7,1.0,3.493822259423307,10000,2960,2000,960,
543,7606279030443966645,True,False,False,18.31978654928129,12.820506786882685,14.463746374637463,0.36607142857142855,443.581907979485,5,5,1.0,8.192857611495853,10000,2937,2000,937,
544,5186427729627521259,True,False,False,7.778370355104984,4.750539284828915,12.82138213821382,0.0625,450.85289930589903,7,5,0.7142857142857143,2.939947652137851,10000,2960,2000,960,
545,11243470875376962064,True,False,False,8.012365045802158,6.73597693485858,14.15011501150115,0.0625,444.0638904026348,7,6,0.8571428571428571,3.0283893320941653,10000,2960,2000,960,
546,8128636723603169793,True,False,False,12.16079779477611,11.841015083043143,10.826182618261827,0.1636904761904762,453.8166725839854,6,5,0.8333333333333334,4.964624910394063,10000,2961,2000,961,
547,11895107654055777770,True,False,False,8.815633890263614,5.903269041266921,11.48004800480048,0.0625,453.0921678264214,7,6,0.8571428571428571,3.33199641757577,10000,2961,2000,961,
548,3843950848228317810,True,False,False,8.705467841729343,7.092923503842452,12.439143914391439,0.0625,450.3748230407651,6,4,0.6666666666666666,3.5539923640741398,10000,2941,2000,941,
549,1472492071007202320,True,False,False,7.817956274124538,6.627794364997616,14.757775777577757,0.1636904761904762,451.49317727412404,6,5,0.8333333333333334,3.191667283832575,10000,2960,2000,960,
