target_id,quarter,sample_stratum,branch,n_attempted_cases,n_successful_cases,median_template_amplitude_ratio,median_amplitude_abs_error,median_peak_depth_ratio,median_peak_depth_abs_error,fraction_peak_depth_within_20pct,median_template_energy_ratio,median_template_correlation,fraction_template_corr_ge_0p8,median_template_rmse_ppm,median_oracle_signal_snr,median_background_scale_ppm,median_abs_background_acf1,success_rate,fit_status,fit_clean,raw_median_oracle_signal_snr,oracle_snr_gain_vs_raw
10718455,5,long_memory,kalman,6,6,0.5754258968066787,0.42457410319332134,0.9004104017110015,0.09958959828899844,0.6666666666666666,0.7896424016818688,0.704987021311761,0.3333333333333333,34.856109530715315,19.90407835377342,139.03754180299856,0.0952827560162299,1.0,clean,True,10.141271281479057,1.9626807923109326
10718455,5,long_memory,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,10.141271281479057,342.8076199762261,0.8482418386863915,1.0,clean,True,10.141271281479057,1.0
11245408,5,long_memory,arima,6,6,0.1354505381141734,0.8645494618858266,0.839713394052272,0.16028660594772803,0.6666666666666666,0.483924615981339,0.2782737289098455,0.0,50.48155076826686,3.7835000781255084,453.4832793998815,0.1654839108271479,1.0,clean,True,1.169844600455181,3.234190316092724
11245408,5,long_memory,gp,6,6,0.9173551542230745,0.08264484577692549,0.9926586655121112,0.007341334487888818,1.0,0.9593124990439182,0.9940547027648567,1.0,17.271776678292724,7.852579802246165,422.0352608017842,0.3155631268506716,1.0,interior_optimum,True,1.169844600455181,6.712498223431354
11245408,5,long_memory,kalman,6,6,0.38172628580925816,0.6182737141907418,0.8780814955480857,0.12191850445191432,0.6666666666666666,0.6663560659095347,0.5370708369058352,0.0,41.40061704711839,5.7082807243351485,399.8651643212679,0.0376366982273219,1.0,clean,True,1.169844600455181,4.879520512480105
11245408,5,long_memory,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.169844600455181,2971.681693034755,0.9842667492809168,1.0,clean,True,1.169844600455181,1.0
11450313,5,smooth_background_dominant,arima,6,6,0.09435916462753655,0.9056408353724634,0.8183751440622975,0.18162485593770245,0.5,0.41224276932426973,0.2485959819962674,0.0,51.16797916309052,2.210919445489334,659.9966884373204,0.0123324131079524,1.0,clean,True,1.8457505342910627,1.1978430478084783
11450313,5,smooth_background_dominant,gp,6,6,0.863628288773449,0.136371711226551,0.9921905683123892,0.012103484238036366,1.0,0.9213258279214087,0.9813614537745466,1.0,22.034751031468666,2.6417102217985855,1210.949515321022,0.8244168500222209,1.0,boundary_limited,True,1.8457505342910627,1.4312390394692445
11450313,5,smooth_background_dominant,kalman,6,6,0.09395046188254219,0.9060495381174578,0.817036393857264,0.18296360614273594,0.5,0.4082439100209712,0.24998148079324445,0.0,51.07703293185946,2.1900163748162207,659.2585282941411,0.0138323828074803,1.0,clean,True,1.8457505342910627,1.1865180771340735
11450313,5,smooth_background_dominant,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.8457505342910627,1883.4859803513257,0.9314397639364465,1.0,clean,True,1.8457505342910627,1.0
11666946,5,smooth_background_dominant,arima,6,6,0.137242637623166,0.8627573623768341,0.8400158397536004,0.15998416024639966,0.6666666666666666,0.4873950305825942,0.2888884990566417,0.0,50.47574671991728,3.5073382148030476,492.7325357398487,0.1570162127650282,1.0,clean,True,2.6395822533158704,1.328747460094147
11666946,5,smooth_background_dominant,gp,6,6,0.9090592943519674,0.09094070564803258,0.9947215765336502,0.00830607939487743,1.0,0.9549369858784308,0.9918197478029994,1.0,18.69359688882839,7.736123669091366,428.2392507597841,0.1609002484401448,1.0,interior_optimum,True,2.6395822533158704,2.930813638928345
11666946,5,smooth_background_dominant,kalman,6,6,0.48242585447242575,0.5175741455275743,0.8899308404946978,0.11006915950530216,0.6666666666666666,0.7334687088750358,0.6311787566163639,0.3333333333333333,38.135928532276665,5.878025768896386,430.83967307607935,0.0075641170410197,1.0,clean,True,2.6395822533158704,2.226877287689122
11666946,5,smooth_background_dominant,raw,6,6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.6395822533158704,1317.016536814244,0.9214330471513248,1.0,clean,True,2.6395822533158704,1.0
12645975,5,gap_heavy,arima,6,6,0.14190392242094252,0.8580960775790575,0.8412269793812306,0.15877302061876947,0.6666666666666666,0.49654765692453795,0.302311095516275,0.0,50.47831179287381,2.099968788747567,838.7472254660289,0.185934897143914,1.0,clean,True,5.140806932605065,0.4084901098753039
