target_id,quarter,sample_stratum,case_index,detector,exact_recovered_branches_all,exact_recovered_branches_clean,harmonic_recovered_branches_clean,lowest_period_error_branch_clean,lowest_period_error_clean,injected_period_days,requested_duration_hours,requested_depth,phase_fraction
11245408,5,long_memory,0,bls,,,,gp,1.2339449541284404,2.0,2.0,0.0002,0.15
11245408,5,long_memory,0,tls,,,,gp,1.2334486897338053,2.0,2.0,0.0002,0.15
11245408,5,long_memory,0,trapezoid,,,,gp,1.2339449541284404,2.0,2.0,0.0002,0.15
11245408,5,long_memory,1,bls,gp,gp,arima|kalman|gp,gp,0.0020850708924102,2.0,4.0,0.0005,0.45
11245408,5,long_memory,1,tls,arima|kalman|gp,arima|kalman|gp,arima|kalman|gp,arima,0.0001391231772477,2.0,4.0,0.0005,0.45
11245408,5,long_memory,1,trapezoid,gp,gp,kalman|gp,gp,0.0020850708924102,2.0,4.0,0.0005,0.45
11245408,5,long_memory,2,bls,,,kalman,gp,0.1064220183486238,5.0,2.0,0.0005,0.75
11245408,5,long_memory,2,tls,kalman|gp,kalman|gp,kalman|gp,kalman|gp,0.0001390089463775,5.0,2.0,0.0005,0.75
11245408,5,long_memory,2,trapezoid,,,,gp,0.1064220183486238,5.0,2.0,0.0005,0.75
11245408,5,long_memory,3,bls,,,,gp,0.1064220183486238,5.0,8.0,0.0002,0.45
11245408,5,long_memory,3,tls,gp,gp,gp,gp,0.0005442120833112,5.0,8.0,0.0002,0.45
11245408,5,long_memory,3,trapezoid,,,,gp,0.1064220183486238,5.0,8.0,0.0002,0.45
11245408,5,long_memory,4,bls,,,,arima,0.2489574645537947,10.0,4.0,0.0002,0.15
11245408,5,long_memory,4,tls,,,,raw,0.2451571076938048,10.0,4.0,0.0002,0.15
11245408,5,long_memory,4,trapezoid,,,,arima,0.2489574645537947,10.0,4.0,0.0002,0.15
11245408,5,long_memory,5,bls,,,gp,arima,0.2489574645537947,10.0,8.0,0.0005,0.75
11245408,5,long_memory,5,tls,,,gp,raw,0.2451571076938048,10.0,8.0,0.0005,0.75
11245408,5,long_memory,5,trapezoid,,,gp,arima,0.2489574645537947,10.0,8.0,0.0005,0.75
11450313,5,smooth_background_dominant,0,bls,,,,gp,0.4708090075062552,2.0,2.0,0.0002,0.15
11450313,5,smooth_background_dominant,0,tls,,,,arima,1.576934699554032,2.0,2.0,0.0002,0.15
11450313,5,smooth_background_dominant,0,trapezoid,,,,gp,0.4708090075062552,2.0,2.0,0.0002,0.15
11450313,5,smooth_background_dominant,1,bls,,,,gp,0.4708090075062552,2.0,4.0,0.0005,0.45
11450313,5,smooth_background_dominant,1,tls,,,,arima,1.576934699554032,2.0,4.0,0.0005,0.45
11450313,5,smooth_background_dominant,1,trapezoid,,,,gp,0.4708090075062552,2.0,4.0,0.0005,0.45
11450313,5,smooth_background_dominant,2,bls,,,,gp,0.788323603002502,5.0,2.0,0.0005,0.75
11450313,5,smooth_background_dominant,2,tls,,,,arima,0.0307738798216128,5.0,2.0,0.0005,0.75
11450313,5,smooth_background_dominant,2,trapezoid,,,,gp,0.788323603002502,5.0,2.0,0.0005,0.75
11450313,5,smooth_background_dominant,3,bls,,,,gp,0.788323603002502,5.0,8.0,0.0002,0.45
11450313,5,smooth_background_dominant,3,tls,,,,arima,0.0307738798216128,5.0,8.0,0.0002,0.45
11450313,5,smooth_background_dominant,3,trapezoid,,,,gp,0.788323603002502,5.0,8.0,0.0002,0.45
11450313,5,smooth_background_dominant,4,bls,,,,arima|kalman,0.0733110925771477,10.0,4.0,0.0002,0.15
11450313,5,smooth_background_dominant,4,tls,,,,gp,0.0919129277960463,10.0,4.0,0.0002,0.15
11450313,5,smooth_background_dominant,4,trapezoid,,,,arima|kalman,0.3330275229357797,10.0,4.0,0.0002,0.15
11450313,5,smooth_background_dominant,5,bls,,,,arima|kalman,0.0733110925771477,10.0,8.0,0.0005,0.75
