target_id,quarter,sample_stratum,branch,detector,n_attempted_runs,n_successful_runs,exact_period_recovery,harmonic_period_recovery,median_period_error,median_runtime_seconds,run_success_rate,fit_status,fit_clean
11666946,5,smooth_background_dominant,gp,tls,6,6,0.6666666666666666,0.8333333333333334,0.00108615104233805,9.97365168761462,1.0,interior_optimum,True
11666946,5,smooth_background_dominant,gp,trapezoid,6,6,0.3333333333333333,0.3333333333333333,0.1878231859883236,0.159396375529468,1.0,interior_optimum,True
11666946,5,smooth_background_dominant,kalman,bls,6,6,0.0,0.16666666666666666,1.1962885738115094,0.0383933545090258,1.0,clean,True
11666946,5,smooth_background_dominant,kalman,tls,6,6,0.3333333333333333,0.3333333333333333,0.1396931715944216,9.021971124922857,1.0,clean,True
11666946,5,smooth_background_dominant,kalman,trapezoid,6,6,0.0,0.16666666666666666,1.1951209341117597,0.15662064519710833,1.0,clean,True
11666946,5,smooth_background_dominant,raw,bls,6,6,0.0,0.0,1.88790658882402,0.0351244371850043,1.0,clean,True
11666946,5,smooth_background_dominant,raw,tls,6,6,0.0,0.0,1.8431336098636677,15.61352212447673,1.0,clean,True
11666946,5,smooth_background_dominant,raw,trapezoid,6,6,0.0,0.0,1.88790658882402,0.14079231256619096,1.0,clean,True
12645975,5,gap_heavy,arima,bls,6,6,0.0,0.0,1.9649708090075064,0.09251908352598545,1.0,clean,True
12645975,5,gap_heavy,arima,tls,6,6,0.0,0.0,0.9567150693166973,16.373296374687925,1.0,clean,True
12645975,5,gap_heavy,arima,trapezoid,6,6,0.0,0.0,1.9112593828190156,0.21756422868929798,1.0,clean,True
12645975,5,gap_heavy,gp,bls,6,6,0.0,0.0,1.5259382819015843,0.0725586879998445,1.0,boundary_limited,True
12645975,5,gap_heavy,gp,tls,6,6,0.16666666666666666,0.16666666666666666,1.1805048811657115,17.533669895958155,1.0,boundary_limited,True
12645975,5,gap_heavy,gp,trapezoid,6,6,0.0,0.16666666666666666,1.2631776480400332,0.2601222288794815,1.0,boundary_limited,True
12645975,5,gap_heavy,kalman,bls,6,6,0.3333333333333333,0.5,1.2001251042535446,0.07488920865580434,1.0,clean,True
12645975,5,gap_heavy,kalman,tls,6,6,0.5,0.5,0.0269783567880655,15.943389750085771,1.0,clean,True
12645975,5,gap_heavy,kalman,trapezoid,6,6,0.5,0.5,0.4484153461217681,0.2639927912969142,1.0,clean,True
12645975,5,gap_heavy,raw,bls,6,6,0.5,0.6666666666666666,0.49512093411175984,0.07446220773272215,1.0,clean,True
12645975,5,gap_heavy,raw,tls,6,6,0.5,0.5,0.0269783567880655,16.30835483339615,1.0,clean,True
12645975,5,gap_heavy,raw,trapezoid,6,6,0.5,0.5,0.4484153461217681,0.27375675016082823,1.0,clean,True
1431344,5,gap_heavy,arima,bls,6,6,0.16666666666666666,0.5,0.8988740617180985,0.0901003335602581,1.0,optimizer_flagged,False
1431344,5,gap_heavy,arima,tls,6,6,0.3333333333333333,0.3333333333333333,0.0265186887855851,13.737608146155253,1.0,optimizer_flagged,False
1431344,5,gap_heavy,arima,trapezoid,6,6,0.0,0.16666666666666666,0.7029190992493745,0.2313107084482908,1.0,optimizer_flagged,False
1431344,5,gap_heavy,gp,bls,6,6,0.3333333333333333,0.6666666666666666,0.5753961634695579,0.07195691671222446,1.0,boundary_limited,True
1431344,5,gap_heavy,gp,tls,6,6,0.8333333333333334,0.8333333333333334,0.00031274607007825,17.307998708682135,1.0,boundary_limited,True
1431344,5,gap_heavy,gp,trapezoid,6,6,0.3333333333333333,0.6666666666666666,0.5753961634695579,0.2558709585573524,1.0,boundary_limited,True
1431344,5,gap_heavy,kalman,bls,6,6,0.3333333333333333,0.8333333333333334,0.6258548790658881,0.0741684790700674,1.0,clean,True
1431344,5,gap_heavy,kalman,tls,6,6,0.8333333333333334,0.8333333333333334,0.00031274607007825,15.345995665993541,1.0,clean,True
1431344,5,gap_heavy,kalman,trapezoid,6,6,0.6666666666666666,0.8333333333333334,0.00154295246038355,0.24292341689579183,1.0,clean,True
1431344,5,gap_heavy,raw,bls,6,6,0.3333333333333333,0.3333333333333333,0.9014595496246871,0.0710070629138499,1.0,clean,True
1431344,5,gap_heavy,raw,tls,6,6,0.6666666666666666,0.6666666666666666,0.00031274607007825,17.429622396128252,1.0,clean,True
1431344,5,gap_heavy,raw,trapezoid,6,6,0.3333333333333333,0.3333333333333333,0.9820266889074226,0.24568602116778485,1.0,clean,True
2715763,5,quiet_low_scatter,arima,bls,6,6,0.16666666666666666,0.6666666666666666,0.750208507089241,0.0458972286432981,1.0,clean,True
2715763,5,quiet_low_scatter,arima,tls,6,6,0.6666666666666666,0.6666666666666666,0.00018241721358395,6.482957978965715,1.0,clean,True
2715763,5,quiet_low_scatter,arima,trapezoid,6,6,0.16666666666666666,0.5,0.750208507089241,0.12174993753433219,1.0,clean,True
2715763,5,quiet_low_scatter,gp,bls,6,6,0.5,0.6666666666666666,0.010717264386989049,0.0364347505383193,1.0,boundary_limited,True
2715763,5,quiet_low_scatter,gp,tls,6,6,0.8333333333333334,0.8333333333333334,0.0001128399838543,9.173376270569861,1.0,boundary_limited,True
2715763,5,quiet_low_scatter,gp,trapezoid,6,6,0.5,0.8333333333333334,0.010717264386989049,0.13802935392595822,1.0,boundary_limited,True
2715763,5,quiet_low_scatter,kalman,bls,6,6,0.8333333333333334,1.0,0.0010008340283569,0.037412020610645344,1.0,clean,True
2715763,5,quiet_low_scatter,kalman,tls,6,6,1.0,1.0,0.0001128399838543,7.9340979375410825,1.0,clean,True
2715763,5,quiet_low_scatter,kalman,trapezoid,6,6,0.8333333333333334,1.0,0.0010008340283569,0.14049035473726684,1.0,clean,True
2715763,5,quiet_low_scatter,raw,bls,6,6,0.8333333333333334,1.0,0.0011676396997497,0.03718885453417895,1.0,clean,True
2715763,5,quiet_low_scatter,raw,tls,6,6,1.0,1.0,0.0001128399838543,8.528335436945781,1.0,clean,True
2715763,5,quiet_low_scatter,raw,trapezoid,6,6,0.8333333333333334,1.0,0.0010008340283569,0.14074547914788121,1.0,clean,True
2996004,5,high_scatter,arima,bls,6,6,0.0,0.0,0.4260216847372809,0.03792712488211685,1.0,optimizer_flagged,False
2996004,5,high_scatter,arima,tls,6,6,0.0,0.0,1.8394346612425043,9.024018583120778,1.0,optimizer_flagged,False
2996004,5,high_scatter,arima,trapezoid,6,6,0.0,0.0,0.42952460383653046,0.1419299165718257,1.0,optimizer_flagged,False
2996004,5,high_scatter,gp,bls,6,6,0.0,0.0,0.4166805671392827,0.03490672982297835,1.0,interior_optimum,True
2996004,5,high_scatter,gp,tls,6,6,0.16666666666666666,0.16666666666666666,1.1139389102046289,8.422141832998022,1.0,interior_optimum,True
2996004,5,high_scatter,gp,trapezoid,6,6,0.0,0.0,0.41784820683903245,0.13737012562341985,1.0,interior_optimum,True
2996004,5,high_scatter,kalman,bls,6,6,0.0,0.0,0.4260216847372809,0.03915956267155705,1.0,clean,True
2996004,5,high_scatter,kalman,tls,6,6,0.16666666666666666,0.16666666666666666,0.4643883739975448,9.581414646003395,1.0,clean,True
2996004,5,high_scatter,kalman,trapezoid,6,6,0.0,0.0,0.4330275229357797,0.14099420863203704,1.0,clean,True
2996004,5,high_scatter,raw,bls,6,6,0.0,0.0,0.4190158465387822,0.0347995623014867,1.0,clean,True
2996004,5,high_scatter,raw,tls,6,6,0.0,0.0,1.843202539315056,12.546083291526884,1.0,clean,True
2996004,5,high_scatter,raw,trapezoid,6,6,0.0,0.0,0.4190158465387822,0.116659750463441,1.0,clean,True
