target_id,quarter,sample_stratum,case_index,pipeline,branch,detector,injected_period_days,injected_epoch_days,requested_duration_hours,requested_depth,phase_fraction,success,error,recovered_period_days,recovered_epoch_days,recovered_duration_hours,mes,max_ses,observed_event_count,expected_event_count,observability_fraction,period_cadences,duration_cadences,period_exact_fractional_error,exact_period_recovered,harmonic_period_recovered,runtime_seconds,wavelet,segment_count,n_period_trials,n_duration_trials,radius_ratio,realized_max_depth_on_observed_cadences,in_transit_cadence_count,sample_stratum_null,baseline_kind,null_recovered_period_days,null_recovered_epoch_days,null_recovered_duration_hours,null_mes,null_max_ses,null_observed_event_count,null_expected_event_count,null_observability_fraction,null_runtime_seconds,zero_injection_requested_depth,zero_injection_realized_depth,wavelet_null,segment_count_null,n_period_trials_null,n_duration_trials_null,null_max_ses_to_mes_ratio,winner_vs_null_fractional_error,winner_matches_null_period,injected_minus_null_mes,injected_minus_null_max_ses
2996004,5,high_scatter,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2603549395935,2.0,0.0005,0.75,True,,9.175104329711758,445.0429875162372,9.80857478454709,23.64157503990945,25.751604685811024,5,11,0.4545454545454545,449,20,0.8350208659423515,False,False,0.4415864581242203,db6,43,686,7,0.0210136542139983,0.0004999927773806,96,high_scatter,true_zero_injection_original_flux,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,0.4012701660394668,0.0,0.0,db6,43,686,7,0.9737135929499888,0.0022222222222220297,True,-2.8052208888536185,0.0
2996004,5,high_scatter,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7603549395935,8.0,0.0002,0.45,True,,9.195538860512896,444.9408148622315,9.80857478454709,26.527169280197793,25.44899347803685,5,11,0.4545454545454545,450,20,0.8391077721025795,False,False,0.4019531249068677,db6,43,686,7,0.0132623429631687,0.0001999999660503,305,high_scatter,true_zero_injection_original_flux,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,0.4012701660394668,0.0,0.0,db6,43,686,7,0.9737135929499888,0.0,True,0.0803733514347229,-0.3026112077741736
2996004,5,high_scatter,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0103549395935,4.0,0.0002,0.15,True,,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,450,20,0.0804461139487102,False,False,0.4022537502460181,db6,43,686,7,0.0132676446014897,0.0001999985615801,85,high_scatter,true_zero_injection_original_flux,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,0.4012701660394668,0.0,0.0,db6,43,686,7,0.9737135929499888,0.0,True,0.0,0.0
2996004,5,high_scatter,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0103549395935,8.0,0.0005,0.75,True,,10.62595601659268,449.7837986621016,7.846859827637672,27.342506192998936,23.602627340062963,6,9,0.6666666666666666,520,16,0.0625956016592681,False,False,0.4041515002027154,db6,43,686,7,0.0209698320040246,0.0004999990604636,154,high_scatter,true_zero_injection_original_flux,9.195538860512896,444.9408148622315,9.80857478454709,26.44679592876307,25.751604685811024,5,11,0.4545454545454545,0.4012701660394668,0.0,0.0,db6,43,686,7,0.9737135929499888,0.15555555555555559,False,0.8957102642358663,-2.1489773457480617
10718455,5,long_memory,0,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,443.8111347903221,2.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026311,123.74745704874444,95.35217254215496,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4004854578524828,db6,43,686,7,0.0132896963156979,0.0001999777204589,225,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.0,True,2.9694449927962836,0.5114872800302379
10718455,5,long_memory,1,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,2.0,444.4111347903221,4.0,0.0005,0.45,True,,8.296294540559757,443.9198779977196,9.808427043026311,121.07058770820224,92.41432722203818,7,12,0.5833333333333334,406,20,3.1481472702798783,False,False,0.4001789167523384,db6,43,686,7,0.020978641643405,0.0004999924604053,418,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.0,True,0.29257565225408655,-2.4263580400865408
10718455,5,long_memory,2,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,447.2611347903221,2.0,0.0005,0.75,True,,8.316728763566061,443.8994437747133,9.808427043026311,139.08976807451398,115.93768579769583,6,12,0.5,407,20,0.6633457527132123,False,False,0.3994694580323994,db6,43,686,7,0.0210136527643199,0.0004999966060073,97,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.0024630541871921183,True,18.31175601856583,21.097000535571112
10718455,5,long_memory,3,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,5.0,445.7611347903221,8.0,0.0002,0.45,True,,8.357597209578671,443.9198779977196,9.808427043026311,125.56238018217778,94.84068526212472,9,12,0.75,409,20,0.6715194419157342,False,False,0.3996154167689383,db6,43,686,7,0.0132623429092422,0.00019999980675,305,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.007389162561576354,True,4.784368126229623,0.0
10718455,5,long_memory,4,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,445.0111347903221,4.0,0.0002,0.15,True,,8.296294540559757,443.9198779977196,9.808427043026311,123.21022647357763,94.84068526212472,7,12,0.5833333333333334,406,20,0.1703705459440243,False,False,0.3998270421288907,db6,43,686,7,0.0132676443863691,0.000199998658407,85,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.0,True,2.4322144176294813,0.0
10718455,5,long_memory,5,tps_like_wavelet_matched_filter,integrated_wavelet_whitening,tps_like,10.0,451.0111347903221,8.0,0.0005,0.75,True,,8.357597209578671,444.0016148897448,9.808427043026311,138.39522118060933,94.84068526212472,8,12,0.6666666666666666,409,20,0.1642402790421329,False,False,0.398973916657269,db6,43,686,7,0.0209698319182679,0.0004999989464818,154,long_memory,true_zero_injection_original_flux,8.296294540559757,443.9198779977196,9.808427043026311,120.77801205594815,94.84068526212472,7,12,0.5833333333333334,0.4007793748751282,0.0,0.0,db6,43,686,7,0.7852479408105472,0.007389162561576354,True,17.617209124661173,0.0
