target_id,quarter,sample_role,sample_stratum,robust_scatter,skewness,outlier_fraction,acf_lag1,acf_timescale_days,stationarity_state,spectral_concentration,harmonic_power_ratio,dominant_period_days,period_agreement_error,segment_scale_variability
3832957,5,development,uncharacterized,0.0018409710941502,0.2669427758848484,0.0,0.8342509430426387,2.16605354539206,stationary_supported,0.0996545984202234,0.0604652088957861,17.5282259035901,0.0177464705493466,0.0999835570786894
4375186,5,development,uncharacterized,9.498277892729408e-05,0.099288458200303,0.0004458314757021,0.2112570458453065,0.0204345007005031,stationary_supported,0.0146578764977202,0.1363892265367005,18.93150449010098,0.0718355324696841,0.0447143472639382
4471641,5,development,uncharacterized,0.0007404762535827,-0.045533621887507,0.0,0.993346667279184,0.6539038512855768,stationary_supported,0.0425964830703079,0.2808818540470919,2.6892130526825087,0.023568381761587,0.1966226747830208
5268387,5,development,uncharacterized,0.0012479694856089,-0.2546761329277819,0.0,0.8428601546315153,1.0217223138170084,stationary_supported,0.0535648775917173,0.8114270895826524,4.151746449880666,0.0089877927805877,0.1745711867015353
5880602,5,development,uncharacterized,0.0001233820945953,0.5197008930451921,0.000222915737851,0.2088492899901095,0.0204344511148519,stationary_supported,0.0073740673556804,0.0346973533336236,2.674014053697723,3.47431123677195,0.0217108420161712
5961063,5,development,uncharacterized,9.825238717843996e-05,0.9963999337762712,0.0004458314757021,0.3537547833823672,0.020434440288227,stationary_supported,0.0145429741053719,0.0273109957365154,7.281481044827177,0.0177748102550723,0.04294966139848
6129877,5,development,uncharacterized,4.967720277777644e-05,-0.6982301840352786,0.0020062416406598,0.5265518658327717,0.490426751319319,stationary_supported,0.0374368982523709,0.0261529198716957,15.776303912538856,0.0672959409236076,0.1413923705744301
6151368,5,development,uncharacterized,0.0032517829540663,-0.2463562266389767,0.0,0.9670778184836564,0.4699931039358489,stationary_supported,0.1240853385695473,0.0094109388576996,2.6889921422846363,0.0044904921581586,0.1716641859909123
7024325,5,development,uncharacterized,0.0001061100897307,0.7630765358656307,0.0004458314757021,0.2759773194401647,0.0204343830046127,stationary_supported,0.0044514117945478,0.5570587844490192,8.303404448209072,0.1345046027666755,0.015861985957729
7031686,5,development,uncharacterized,0.0098052661704163,0.1991208811916721,0.0,0.995317470877919,3.943839460029267,nonstationary_supported,0.1556588596845481,0.0644254018483454,20.57756045454377,0.0089431354286625,0.1701700130600119
7771970,5,development,uncharacterized,0.0099269060705903,-0.1689414648860961,0.0,0.9953872866362834,3.351245477097109,conflicting_rejections,0.058991747276025,0.4781117942468095,24.908483862707325,0.0533680050320675,0.3239819443108125
7949968,5,development,uncharacterized,0.0001157519885015,0.5600682602035424,0.0006687472135532,0.1948594571964982,0.020434346566617,stationary_supported,0.0146432768071981,0.2996782696562132,10.288945531847787,0.4895365008517467,0.0466151878500038
