gap_mode,center_cadenceno,duration_cadences,depth,injected_transit_depth,recovered_transformed_template_depth,transformed_template_amplitude,depth_retention_fraction,input_matched_filter_snr,recovered_transformed_template_snr,snr_retention_fraction,input_local_depth,recovered_innovation_local_depth,input_local_snr,recovered_innovation_local_snr,local_snr_retention_fraction,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,template_abs_area,template_edge_abs_fraction,template_interior_abs_fraction,ingress_egress_asymmetry_fraction,ingress_egress_distortion_fraction,best_injected_neighborhood_statistic,best_injected_neighborhood_rank,best_spurious_statistic,spurious_to_injected_statistic_ratio,spurious_peak_exceeds_injected,n_spurious_peaks_positive,n_trial_centers,threshold_far_0.1,detected_at_far_0.1,top_recovered_at_far_0.1,n_spurious_peaks_above_far_0.1,threshold_far_0.05,detected_at_far_0.05,top_recovered_at_far_0.05,n_spurious_peaks_above_far_0.05,threshold_far_0.01,detected_at_far_0.01,top_recovered_at_far_0.01,n_spurious_peaks_above_far_0.01,injection_id,quality_policy,selected_order,selected_candidate_status,selected_differencing_alignment,gap_mode_scientifically_acceptable_before_injection
full_grid_missing,17765,6,0.001,0.001,0.0010599132850821669,1.0599132850821669,1.0599132850821669,41.89057969455281,31.137451656585476,0.7433043868961879,0.001016428498754717,0.0001143455100566022,41.760236793556835,3.92025279990287,0.0938752531333281,41.89057969455281,1763.9030371229514,42.10739144658622,48,11.55719335587535,467.4369854932502,40.44554513363908,48,31.137451656585476,914.7360537055977,29.37735765258535,48,0.002676505236944282,1.0,0.0,0.0,1.0,31.137451656585476,1,3.6361861122995927,0.11677853898909388,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,2,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17765,6,0.002,0.002,0.002059913285082167,1.0299566425410835,1.0299566425410835,83.99797114113903,60.51480930917083,0.720431797185789,0.002016428498754717,0.0001143455100566022,82.84550432070668,3.92025279990287,0.04732004267518266,83.99797114113903,7073.870903117988,84.21478289317244,48,22.9952989154846,1860.1148002955083,80.89109026727816,48,60.51480930917083,3555.5303927070254,58.7547153051707,48,0.005353010473888565,1.0,0.0,8.101625638687848e-17,1.0,60.51480930917083,1,3.6361861122995927,0.06008754144332303,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,3,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17831,6,0.0005,0.0005,0.0006146299002217257,1.2292598004434514,1.2292598004434514,27.992056054401655,12.806594106713739,0.45750816166645775,0.0006512554885348405,-6.115433591170164e-05,24.983486846901595,-2.0916167935147585,-0.08371997096851022,27.992056054401655,617.6735837945081,22.066031255227536,49,3.904119339623432,59.24986824436256,15.176244138601932,49,12.806594106713739,133.42082166434582,10.418134638498552,49,0.0013382526184721412,0.9999999999999999,8.101625638687846e-17,0.0,0.9999999999999999,12.806594106713739,1,3.6361861122995927,0.2839307689460819,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.835444955607672,True,True,1,4,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17831,6,0.001,0.001,0.0011146299002217257,1.1146299002217257,1.1146299002217257,50.0580873096292,23.224728745212293,0.46395557627997447,0.0011512554885348405,-6.115433591170154e-05,44.16450511602059,-2.0916167935147545,-0.047359679181733304,50.0580873096292,2209.1666383023735,44.13206251045507,49,8.250756611824611,250.43099333846877,30.352488277203864,49,23.224728745212293,483.9167020204584,20.836269276997104,49,0.002676505236944282,1.0,4.050812819343924e-17,0.0,1.0,23.224728745212293,1,3.6361861122995927,0.15656527799271633,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,5,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17831,6,0.002,0.002,0.0021146299002217255,1.0573149501108627,1.0573149501108627,94.19014982008429,44.0609980222094,0.46778774751257707,0.0021512554885348405,-6.115433591170175e-05,82.5265416542586,-2.091616793514762,-0.025344776984324642,94.19014982008429,8313.611159458176,88.26412502091014,49,16.94403115622697,1028.5870140759123,60.70497655440773,49,44.0609980222094,1836.1336388079837,41.67253855399421,49,0.005353010473888566,0.9999999999999999,2.0254064096719613e-17,8.101625638687848e-17,0.9999999999999999,44.0609980222094,1,3.6361861122995927,0.08252618586775397,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,6,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17898,6,0.0005,0.0005,0.00044967299264667636,0.8993459852933527,0.8993459852933527,13.788986559089157,8.969297209727436,0.6504681958526698,0.00043819485468488085,9.10687479435543e-05,14.089580478589783,1.8798063859174832,0.13341819430138432,13.788986559089157,226.6006509498384,16.43345215972179,41,3.838212521360762,53.33962692332432,13.896996746916404,41,8.969297209727436,89.45199484065458,9.97313309493653,41,0.001338252618472141,1.0000000000000002,3.038109614507943e-17,0.0,1.0000000000000002,8.969297209727436,1,3.6361861122995927,0.40540368183541226,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.835444955607672,True,True,1,7,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17898,6,0.001,0.001,0.0009496729926466764,0.9496729926466764,0.9496729926466764,30.22243871881095,18.942430304663965,0.626767101123242,0.0009381948546848809,9.106874794355436e-05,30.166424293565687,1.8798063859174843,0.06231452450658646,30.22243871881095,993.3180016714064,32.86690431944358,41,8.187427295513896,227.56130098274238,27.793993493832808,41,18.942430304663965,377.8307571399457,19.94626618987306,41,0.0026765052369442824,0.9999999999999999,2.531758012089952e-17,8.101625638687848e-17,0.9999999999999999,18.942430304663965,1,3.6361861122995927,0.1919598517094345,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,8,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
full_grid_missing,17898,6,0.002,0.002,0.0019496729926466768,0.9748364963233384,0.9748364963233384,63.08934303825453,38.88869649453703,0.6164067435439402,0.0019381948546848809,9.106874794355436e-05,62.320111923517494,1.8798063859174843,0.03016371967085812,63.08934303825453,4147.102802429731,65.73380863888715,41,16.885856843820168,938.6507905098599,55.587986987665616,41,38.88869649453703,1551.368584114438,39.89253237974612,41,0.005353010473888565,0.9999999999999999,2.7849338132989473e-17,8.101625638687848e-17,0.9999999999999999,38.88869649453703,1,3.6361861122995927,0.09350239118481107,False,42,81,1.6874823781825854,True,True,8,1.879039705336677,True,True,4,2.8354449556076715,True,True,1,9,default,"ARIMA(1, 1, 0)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17765,6,0.0005,0.0005,0.0005346472367855499,1.0692944735710999,1.0692944735710999,21.002496409033157,17.476439825466063,0.8321125015381248,0.0005165417987461614,0.00020338631832820706,21.828608218748986,6.533635790560833,0.2993152712754712,21.002496409033157,444.6183309964524,21.1697848835352,49,8.632266920847021,193.628379684985,22.430768355571846,49,17.476439825466063,285.6331501958593,16.343898016325074,49,0.0017070704133886811,0.8416941124456979,0.05476751246572906,0.004418179713446564,0.8416941124456979,17.476439825466063,1,4.541403189039308,0.2598586001722005,False,37,81,1.5680944994688812,True,True,8,2.6604266965070638,True,True,4,4.412776069088301,True,True,1,1,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17765,6,0.001,0.001,0.0010346472367855498,1.0346472367855497,1.0346472367855497,42.17228129256836,33.82033784179113,0.801956564957063,0.0010165417987461614,0.0002968783184733489,42.95817437557803,9.537368642570916,0.2220152225089194,42.17228129256836,1785.5562460232159,42.3395697670704,49,17.015188842582884,763.3275189085746,44.86153671114369,49,33.82033784179113,1105.512305127788,32.687796032650155,49,0.0034141408267773627,0.8416941124456978,0.05476751246572905,0.004418179713446642,0.8416941124456978,33.82033784179113,1,4.541403189039307,0.13428024315675474,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883,True,True,1,2,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17765,6,0.002,0.002,0.00203464723678555,1.017323618392775,1.017323618392775,84.51185105963874,66.50813387444128,0.7869681357175279,0.0020165417987461614,0.0004838623187636326,85.21730668923612,15.820375516172726,0.18564744804556246,84.51185105963874,7156.390828167674,84.6791395341408,49,33.781032686054616,3030.938075971568,89.72307342228738,49,66.50813387444128,4348.008629199854,65.37559206530031,49,0.006828281653554726,0.8416941124456978,0.05476751246572904,0.00441817971344672,0.8416941124456978,66.50813387444128,1,4.541403189039308,0.06828342526664313,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883004,True,True,1,3,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17831,6,0.0005,0.0005,0.0006037284109372589,1.2074568218745179,1.2074568218745179,28.951029802255732,14.994546679314302,0.517927921104416,0.0006512554885348405,2.700587311525856e-05,24.983486846901595,0.9123122491766775,0.0365166101420235,28.951029802255732,659.8227593927337,22.79099444474073,49,6.643217415491174,117.15510505955926,17.635295931511713,49,14.994546679314302,186.2066005549482,12.418288097487412,49,0.0017070704133886818,0.8416941124456978,0.054767512465729036,0.0044181797134466416,0.8416941124456978,14.994546679314302,1,4.541403189039308,0.30287032253561835,False,37,81,1.5680944994688812,True,True,8,2.6604266965070638,True,True,4,4.412776069088301,True,True,1,4,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17831,6,0.001,0.001,0.0011037284109372593,1.1037284109372592,1.1037284109372592,51.742024246996465,27.412834776801716,0.5297982669936417,0.0011512554885348405,0.0001226932311167265,44.16450511602059,3.724057707305634,0.08432241451641985,51.742024246996465,2358.504374345873,45.58198888948146,49,13.311235891522827,469.4951683223304,35.27059186302343,49,27.412834776801716,680.8409596542915,24.836576194974825,49,0.003414140826777363,0.8416941124456978,0.054767512465729015,0.00441817971344672,0.8416941124456978,27.412834776801716,1,4.541403189039307,0.16566703976498257,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883,True,True,1,5,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17831,6,0.002,0.002,0.002103728410937258,1.0518642054686291,1.0518642054686291,97.32401313647793,52.24941097177652,0.5368604241432885,0.0021512554885348405,0.00032253901552853543,82.5265416542586,8.157749683761638,0.0988500126170097,97.32401313647793,8872.44417093337,91.16397777896292,49,26.64727284358613,1879.730169457508,70.54118372604685,49,52.24941097177652,2595.3929534861622,49.67315238994965,49,0.006828281653554726,0.8416941124456977,0.05476751246572903,0.004418179713446564,0.8416941124456977,52.24941097177652,1,4.541403189039308,0.08691778729318939,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883004,True,True,1,6,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17898,6,0.0005,0.0005,0.0004380070607918068,0.8760141215836136,0.8760141215836136,13.738925817998387,8.949962475675418,0.6514310211902237,0.00043417270498974326,9.503891561893752e-05,12.758377401639468,2.2163796716491557,0.1737195571095387,13.738925817998387,226.03111178081446,16.451876571362458,42,4.8100640576292815,69.16655212520627,14.379549065568188,42,8.949962475675418,91.43896923852557,10.216687442773333,42,0.0017070558769027165,0.8417012799173769,0.05476797884013836,0.004418179713446642,0.8417012799173769,8.949962475675418,1,4.541403189039308,0.5074214781773804,False,37,81,1.5680944994688812,True,True,8,2.6604266965070638,True,True,4,4.412776069088301,True,True,1,7,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17898,6,0.001,0.001,0.0009380070607918066,0.9380070607918066,0.9380070607918066,30.190802389360847,19.166649918448748,0.6348506300449643,0.0009341727049897433,0.00012653036138133482,27.451122080212553,2.9822578694664044,0.10863883307765002,30.190802389360847,993.3907090003189,32.903753142724916,42,10.434286116363333,300.08065834884695,28.759098131136376,42,19.166649918448748,391.6393430836958,20.43337488554667,42,0.0034141117538054335,0.8417012799173769,0.05476797884013838,0.00441817971344672,0.8417012799173769,19.166649918448748,1,4.541403189039307,0.23694298212584378,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883,True,True,1,8,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
interpolated_full_grid,17898,6,0.002,0.002,0.0019380070607918068,0.9690035303959034,0.9690035303959034,63.09455553208576,39.60002480399542,0.6276298243175267,0.0019341727049897433,0.00031482183210808834,56.83661143735873,7.0690861635301925,0.12437557385561658,63.09455553208576,4152.095359755397,65.80750628544983,42,21.68273023383143,1247.1515330914312,57.51819626227275,42,39.60002480399542,1618.32430459397,40.86674977109333,42,0.006828223507610867,0.8417012799173768,0.05476797884013838,0.00441817971344672,0.8417012799173768,39.60002480399542,1,4.541403189039308,0.114681826880601,False,37,81,1.5680944994688815,True,True,8,2.6604266965070638,True,True,4,4.4127760690883004,True,True,1,9,default,"ARIMA(1, 1, 1)",valid_but_residual_autocorrelation_remains,unresolved,False
