dataset_kind,target_id,quarter,trial,trial_seed,tcf_success,bls_success,tcf_error,bls_error
null_trial,2715135,5,4,1.1773548635057287e+19,True,True,,
null_trial,2715135,5,5,9.082603857154486e+18,True,True,,
null_trial,2715135,5,6,1.238664428180852e+19,True,True,,
null_trial,2715135,5,7,1.3152736085541081e+19,True,True,,
original,2715695,5,-1,,True,True,,
null_trial,2715695,5,0,3.206797115846576e+18,True,True,,
null_trial,2715695,5,1,8.143127806973751e+18,True,True,,
null_trial,2715695,5,2,8.686136291203992e+18,True,True,,
null_trial,2715695,5,3,1.1461957574884612e+19,True,True,,
null_trial,2715695,5,4,1.3864732735443925e+19,True,True,,
null_trial,2715695,5,5,4.294805092134385e+18,True,True,,
null_trial,2715695,5,6,1.0987721802737998e+19,True,True,,
null_trial,2715695,5,7,1.4094859824157227e+19,True,True,,
original,2716801,5,-1,,True,True,,
null_trial,2716801,5,0,1.2438740666072306e+19,True,True,,
null_trial,2716801,5,1,3.8488183013247544e+18,True,True,,
null_trial,2716801,5,2,1.137442403725716e+19,True,True,,
null_trial,2716801,5,3,1.2750990527047471e+19,True,True,,
null_trial,2716801,5,4,1.1750500825207632e+19,True,True,,
null_trial,2716801,5,5,8.545512127431027e+18,True,True,,
null_trial,2716801,5,6,1.6881769251548332e+19,True,True,,
null_trial,2716801,5,7,1.498331293426849e+19,True,True,,
original,2716853,5,-1,,True,True,,
null_trial,2716853,5,0,4.2365496932744274e+18,True,True,,
null_trial,2716853,5,1,1.6311953469551135e+19,True,True,,
null_trial,2716853,5,2,1.006199637693699e+19,True,True,,
null_trial,2716853,5,3,1.6150108646294176e+19,True,True,,
null_trial,2716853,5,4,1.134475848804668e+19,True,True,,
null_trial,2716853,5,5,1.5020592088827576e+19,True,True,,
null_trial,2716853,5,6,8.614626039323591e+18,True,True,,
null_trial,2716853,5,7,3.392879340660725e+18,True,True,,
original,2717158,5,-1,,True,True,,
null_trial,2717158,5,0,1.410488547837098e+19,True,True,,
null_trial,2717158,5,1,1.5605063435213596e+18,True,True,,
null_trial,2717158,5,2,1.5433946885544712e+19,True,True,,
null_trial,2717158,5,3,6.774788795987973e+18,True,True,,
null_trial,2717158,5,4,9.279689392978194e+18,True,True,,
null_trial,2717158,5,5,6.387598036744451e+18,True,True,,
null_trial,2717158,5,6,6.440470997855226e+18,True,True,,
null_trial,2717158,5,7,1.707667243017006e+19,True,True,,
original,2718778,5,-1,,True,True,,
null_trial,2718778,5,0,1.0820078389155695e+18,True,True,,
null_trial,2718778,5,1,1.2516426192502608e+19,True,True,,
null_trial,2718778,5,2,1.376524405664088e+19,True,True,,
null_trial,2718778,5,3,1.092166943703493e+19,True,True,,
null_trial,2718778,5,4,9.197334002388377e+18,True,True,,
null_trial,2718778,5,5,6.087936821242055e+18,True,True,,
null_trial,2718778,5,6,2.400136736401377e+18,True,True,,
null_trial,2718778,5,7,7.051051009834746e+18,True,True,,
original,2831055,5,-1,,True,True,,
null_trial,2831055,5,0,4.8020070596236365e+17,True,True,,
null_trial,2831055,5,1,3.1576250261245276e+18,True,True,,
null_trial,2831055,5,2,1.707917697690362e+19,True,True,,
null_trial,2831055,5,3,8.84935019904966e+18,True,True,,
null_trial,2831055,5,4,9.524952329504324e+18,True,True,,
null_trial,2831055,5,5,1.4691368448461631e+19,True,True,,
null_trial,2831055,5,6,1.274760162219106e+19,True,True,,
null_trial,2831055,5,7,1.209812200883984e+19,True,True,,
original,2721030,5,-1,,True,True,,
null_trial,2721030,5,0,8.973825087238349e+18,True,True,,
null_trial,2721030,5,1,4.837239563396858e+18,True,True,,
null_trial,2721030,5,2,6.93792084494025e+18,True,True,,
null_trial,2721030,5,3,1.0244076694176737e+19,True,True,,
null_trial,2721030,5,4,6.664201647192767e+18,True,True,,
null_trial,2721030,5,5,2.2886127732467866e+18,True,True,,
null_trial,2721030,5,6,2.459384359021632e+18,True,True,,
null_trial,2721030,5,7,2.1970862635483405e+18,True,True,,
original,2832589,5,-1,,True,True,,
null_trial,2832589,5,0,3.9908790601179144e+16,True,True,,
null_trial,2832589,5,1,7.841118946041466e+18,True,True,,
null_trial,2832589,5,2,1.3066546317500592e+19,True,True,,
null_trial,2832589,5,3,1.5239958907087458e+19,True,True,,
null_trial,2832589,5,4,1.2225158736167553e+19,True,True,,
null_trial,2832589,5,5,2.4688726062890373e+18,True,True,,
null_trial,2832589,5,6,2.0634690022313336e+18,True,True,,
null_trial,2832589,5,7,1.1563462461239595e+19,True,True,,
original,2837111,5,-1,,True,True,,
null_trial,2837111,5,0,4.5336510859616553e+18,True,True,,
null_trial,2837111,5,1,7.421774811236214e+17,True,True,,
null_trial,2837111,5,2,3.89980838097166e+18,True,True,,
null_trial,2837111,5,3,3.165126782303311e+18,True,True,,
null_trial,2837111,5,4,1.3375936406422188e+19,True,True,,
null_trial,2837111,5,5,3.6202887345354803e+18,True,True,,
null_trial,2837111,5,6,1.407139964802872e+19,True,True,,
null_trial,2837111,5,7,3.8809433069890534e+18,True,True,,
