quality_policy,mode,order,name,estimate,std_error,ci_low,ci_high,boundary_distance,near_boundary
permissive,longest_segment,"(1, 0, 3)",const,-0.00010304556616174708,9.886013753214498e-06,-0.00012242179706871515,-8.366933525477902e-05,,False
permissive,longest_segment,"(1, 0, 3)",ar.L1,0.02896399054580617,1.2699069162047152e-10,0.02896399029690899,0.02896399079470335,0.9710360094541939,False
permissive,longest_segment,"(1, 0, 3)",ma.L1,0.3402213610438253,1.417927953243122e-10,0.3402213607659165,0.34022136132173403,0.6597786389561747,False
permissive,longest_segment,"(1, 0, 3)",ma.L2,-0.019015396789563793,1.2508416844473063e-10,-0.019015397034724258,-0.01901539654440333,0.9809846032104362,False
permissive,longest_segment,"(1, 0, 3)",ma.L3,0.22289096479541007,3.249618052463011e-10,0.22289096415849663,0.2228909654323235,0.77710903520459,False
permissive,longest_segment,"(1, 0, 3)",sigma2,4.749464337569682e-09,3.550939505096064e-10,4.053492983442805e-09,5.445435691696559e-09,,False
default,longest_segment,"(3, 0, 1)",const,-0.00010345468252732455,1.1456885784110525e-05,-0.00012590976603917012,-8.099959901547899e-05,,False
default,longest_segment,"(3, 0, 1)",ar.L1,0.15386351721904207,2.57487845640272e-10,0.15386351671437518,0.15386351772370896,0.8461364827809579,False
default,longest_segment,"(3, 0, 1)",ar.L2,-0.05939310929777346,3.4676480945278604e-11,-0.05939310936573811,-0.0593931092298088,0.9406068907022266,False
default,longest_segment,"(3, 0, 1)",ar.L3,0.1787081617178656,4.1186594708290135e-10,0.1787081609106232,0.17870816252510802,0.8212918382821344,False
default,longest_segment,"(3, 0, 1)",ma.L1,0.1836944136742015,2.2316868272351373e-10,0.18369441323679891,0.1836944141116041,0.8163055863257985,False
default,longest_segment,"(3, 0, 1)",sigma2,5.391323664543585e-09,4.3476739094571543e-10,4.539195236637538e-09,6.243452092449633e-09,,False
permissive,longest_segment,"(3, 0, 1)",const,-0.00010345468252732455,1.1456885784110525e-05,-0.00012590976603917012,-8.099959901547899e-05,,False
permissive,longest_segment,"(3, 0, 1)",ar.L1,0.15386351721904207,2.57487845640272e-10,0.15386351671437518,0.15386351772370896,0.8461364827809579,False
permissive,longest_segment,"(3, 0, 1)",ar.L2,-0.05939310929777346,3.4676480945278604e-11,-0.05939310936573811,-0.0593931092298088,0.9406068907022266,False
permissive,longest_segment,"(3, 0, 1)",ar.L3,0.1787081617178656,4.1186594708290135e-10,0.1787081609106232,0.17870816252510802,0.8212918382821344,False
permissive,longest_segment,"(3, 0, 1)",ma.L1,0.1836944136742015,2.2316868272351373e-10,0.18369441323679891,0.1836944141116041,0.8163055863257985,False
permissive,longest_segment,"(3, 0, 1)",sigma2,5.391323664543585e-09,4.3476739094571543e-10,4.539195236637538e-09,6.243452092449633e-09,,False
permissive,longest_segment,"(1, 0, 1)",const,-0.0001035684370208737,1.0138062794703624e-05,-0.00012343867497149828,-8.36981990702491e-05,,False
permissive,longest_segment,"(1, 0, 1)",ar.L1,0.04306841342118532,2.1293436376236734e-10,0.043068413003841635,0.04306841383852901,0.9569315865788147,False
permissive,longest_segment,"(1, 0, 1)",ma.L1,0.2945623737573035,2.0442964921420078e-10,0.2945623733566287,0.29456237415797826,0.7054376262426965,False
