trial_center_cadenceno,duration_cadences,raw_flux_box_statistic,raw_flux_box_numerator,raw_flux_box_denominator,raw_flux_box_n_points,innovation_unchanged_box_statistic,innovation_unchanged_box_numerator,innovation_unchanged_box_denominator,innovation_unchanged_box_n_points,innovation_transformed_template_statistic,innovation_transformed_template_numerator,innovation_transformed_template_denominator,innovation_transformed_template_n_points,injected_center_cadenceno,center_offset_cadences,is_injected_center_neighborhood,raw_flux_box_rank,innovation_unchanged_box_rank,innovation_transformed_template_rank,rank
16537,6,-3.90195471399002,-133.2793283752626,34.15706694324374,49,0.33028258944380773,9.753472551795598,29.53068936579533,49,0.003704776572448597,0.07885026454699527,21.28340616634832,49,16518,19,False,248,87,111,111
16547,6,-0.4971604543869259,-18.042142697712197,36.29038178420866,49,-0.2562064088273621,-7.824100965128165,30.538271860327384,49,-0.7082791568034641,-16.03623145241479,22.641117274702722,49,16518,29,False,141,151,171,171
16567,6,-0.3832568661633906,-14.696887744618634,38.34735667423904,48,-0.31461106574136055,-9.64920191551798,30.67025596439293,48,-0.6756827142229177,-15.132759548436708,22.39625082882346,48,16518,49,False,131,165,168,168
16587,6,-1.3642245788996024,-54.08782317257837,39.64730148477911,48,1.9355579720037484,61.60225321820937,31.82661233051927,48,1.1927015434914834,27.839717728339227,23.341730276328782,48,16518,69,False,205,15,37,37
16608,6,0.8616002620213202,34.01436811454915,39.47813111703472,48,-0.13032196211135638,-4.7928375443609745,36.776898281086595,48,0.0035825145727451813,0.0959292723529721,26.777078056507158,48,16518,90,False,55,136,112,112
16628,6,-1.9915488317328114,-83.98061230954896,42.16849266833137,49,-0.2955467008175467,-11.693777186040037,39.56659693270978,49,-0.0601749493157781,-1.7396459717436314,28.90980368948129,49,16518,110,False,226,158,115,115
16638,6,2.3923174318825597,101.25532549223055,42.325204900819045,49,1.6796592828595496,64.79145114871201,38.57416311146584,49,-0.34519355867649554,-9.718377972202312,28.15341633101001,49,16518,120,False,25,20,138,138
16658,6,-3.5063765279803567,-111.3969512664247,31.769820034298597,49,-1.1092905801330435,-37.82331746627271,34.09685265851293,49,-0.6933587971929902,-17.211414886231285,24.82324440954723,49,16518,140,False,245,214,170,170
16678,6,0.9243843173057834,26.392717846287397,28.551672017988995,48,0.5100144191093806,17.020599181171264,33.37278034392382,48,-1.3998187779372364,-34.37912174181278,24.55969464309775,48,16518,160,False,52,73,220,220
16699,6,-1.0339917448156226,-28.773798220569343,27.827880024032662,48,-0.5021331027120426,-16.348444701076023,32.55799032722074,48,0.557024914357027,13.210536177576493,23.716239322661888,48,16518,181,False,181,183,64,64
16719,6,-0.3866483097906492,-13.295336192209977,34.38612262241296,48,0.3749142676006303,11.106813815088575,29.62494302009301,48,-1.5174579141156352,-32.51783023322727,21.429148005187646,48,16518,201,False,132,81,227,227
16729,6,-0.2101143605847581,-6.638247391090992,31.593496858646116,48,-1.321766695082549,-39.35445824253415,29.774133656829903,48,-1.3073671731305327,-28.171724831166667,21.548441333209066,48,16518,211,False,111,222,215,215
16750,6,-2.3215778515449386,-83.35411115390494,35.90407752143024,48,-0.27116239950442594,-8.208426081828689,30.27125477879801,48,-1.0237806442982225,-23.77858828080096,23.22625301936688,48,16518,232,False,234,153,197,197
16770,6,0.3572566208552342,12.258265997602098,34.31221503539142,49,-2.409363269467996,-91.16759573346926,37.83887506245569,49,-1.9826347589292612,-54.67635008546885,27.577621061681214,49,16518,252,False,76,243,239,239
16790,6,0.3149694672580804,10.856138819731346,34.46727365111875,49,0.9001408416615917,38.018205216335694,42.23584072261067,49,1.060698459091906,32.89605256124884,31.013576270688734,49,16518,272,False,80,47,39,39
16810,6,-1.9558618494140805,-68.32662207856393,34.934278256428286,49,-2.3507176334607327,-99.16413869752768,42.18462365960048,49,-4.137864730098582,-128.32821920205794,31.0131499148839,49,16518,292,False,224,242,251,251
16820,6,0.5524800526982181,18.316718583718487,33.153628794854704,49,-0.5991800808763137,-21.900527969695,36.550827820686244,49,-1.3742454462676292,-37.12710600784431,27.01635730988185,49,16518,302,False,69,192,219,219
16840,6,-1.3405780083255714,-51.51568836121091,38.42796766862959,49,1.4690330685572006,57.10580369168095,38.87305528647287,49,-0.43549981526765275,-12.752827728903702,29.283198940201554,49,16518,322,False,201,25,146,146
16860,6,-1.7845693129539302,-64.49113846662297,36.13820880953804,48,-0.13731836812921577,-4.942752339841478,35.994837450954684,48,-0.2988915903272097,-7.691683337688701,25.73402392910513,48,16518,342,False,220,141,136,136
16880,6,-0.31800648193542647,-9.596587646226364,30.177333455030084,48,0.5894239388153794,18.12648256083354,30.75287813600519,48,1.275595320957201,29.483956542760275,23.113879502658918,48,16518,362,False,123,67,35,35
16901,6,4.025804141178483,119.13287695578914,29.59231815011127,48,2.3951349101531556,68.18162750534873,28.466716933698272,48,1.6218555950824465,33.88577434940788,20.89321296677175,48,16518,383,False,12,9,26,26
16911,6,-1.0525105162291333,-33.53829415281921,31.865044230605932,49,-0.8272717449863051,-24.27552500735172,29.344076060223216,49,-0.07053955026224372,-1.5054008741136022,21.341231529220106,49,16518,393,False,182,206,117,117
16931,6,-0.9587678961292625,-30.74323491351347,32.06535704588154,49,-1.9556534187686885,-49.003641441665735,25.05742631663193,49,-1.7251301693881094,-31.20993174805785,18.091348874344813,49,16518,413,False,173,239,232,232
16951,6,-4.318701305906353,-146.22869315729488,33.85941346703215,49,-1.176997087528768,-30.754955445924626,26.130018308284825,49,-0.7824306399434352,-15.049836143578872,19.23472238340114,49,16518,433,False,249,218,177,177
16971,6,15.881509172163781,455.33185332973994,28.670565775185906,49,0.5859083604820959,15.090647825583005,25.75598650472601,49,2.653281583037631,48.5741325940183,18.307190953478752,49,16518,453,False,3,68,14,14
16991,6,-5.62403366185611,-122.22142037979032,21.731985924752333,49,0.14087549414895867,3.470323123966726,24.633973033644033,49,-0.19141840450274153,-3.4681077894744354,18.117943248371212,49,16518,473,False,251,104,124,124
17001,6,-0.21599335562071376,-4.873637500219596,22.563830661428987,49,0.9643691546420624,25.170227328462882,26.10019950068304,49,0.8562857458097994,16.581954204757782,19.364977504181194,49,16518,483,False,112,45,42,42
17021,6,-1.0542234219398479,-26.5791570394594,25.212072210036666,48,0.07118653796915135,1.8397191648958815,25.843638662314536,48,-0.9220737804082543,-17.965602231622007,19.483909653810585,48,16518,503,False,183,113,188,188
17042,6,-0.7512366029456788,-19.173103652790395,25.522057335346297,48,0.31007049043001933,7.77523630057193,25.07570549454381,48,0.04999170752589002,0.9175987946057251,18.35502006268766,48,16518,524,False,165,89,102,102
17062,6,-0.2347786821701113,-6.3081547751926745,26.8685159865666,49,-0.6977104174796043,-19.16608529749527,27.469971520176617,49,-0.3523182224198835,-7.055343548342133,20.025485766483467,49,16518,544,False,114,197,141,141
17082,6,-0.5013047945131671,-15.046871221561334,30.015414546700725,49,0.17928248176374484,6.414808302750736,35.78045238800327,49,0.02607846064599224,0.6880391975393801,26.38342833495115,49,16518,564,False,142,99,106,106
17092,6,5.22194325449264,170.89310039701107,32.725958913855514,49,2.0738327577916937,77.05106767499127,37.1539447361409,49,3.398277789501161,93.33263764023351,27.464687533367886,49,16518,574,False,5,14,7,7
17112,6,-1.477986663824862,-57.64344226375898,39.001327734977174,49,0.460566029829833,18.50799856096105,40.18533144487288,49,-0.2502002248700795,-7.711085629422096,30.819659068756643,49,16518,594,False,210,76,132,132
17132,6,3.4619492480066905,148.00989096770758,42.75333933705938,49,1.928375907981691,87.51074148524508,45.38054075610032,49,2.0802374864415616,69.76887832145394,33.538900618890416,49,16518,614,False,13,16,20,20
17152,6,-1.0900405925280228,-47.483831044191625,43.56152547866782,48,-0.23869500249812994,-9.645995021704792,40.411382394905246,48,-0.2240787843562419,-6.897750205027794,30.78270093638899,48,16518,634,False,185,150,130,130
