configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,predicted_background,filtered_background,kalman_residual,kalman_gain
fixed_q_over_r_0.001,1,489.51122690278135,489.7537910065221,0.24256410374073312,-0.00020252374612161894,-0.00020252374612161894,False,-0.0003759289560906455,-0.0003705087517909472,0.00017340520996902655,0.03125744780486406
fixed_q_over_r_0.001,1,489.51122690278135,489.7742251262025,0.26299822342116386,,,False,-0.0003705087517909472,-0.0003705087517909472,,0.0312494212305862
fixed_q_over_r_0.001,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.0003705087517909472,-0.0003651638153467071,0.0001660589057061384,0.032186990643540886
fixed_q_over_r_0.001,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.0003651638153467071,-0.0003581636726102308,0.00021793046816623166,0.03212099159598376
fixed_q_over_r_0.001,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.0003581636726102308,-0.00035219326548278554,0.0001862309259027714,0.03205916041335856
fixed_q_over_r_0.001,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.00035219326548278554,-0.0003492129009801677,9.313282044380225e-05,0.03200122672561224
fixed_q_over_r_0.01,1,489.51122690278135,489.1816327449269,-0.32959415785444435,-0.0004176804420014113,-0.0004176804420014113,False,-0.00022988074117544344,-0.0002485667071353655,-0.00018779970082596787,0.0994994447687549
fixed_q_over_r_0.01,1,489.51122690278135,489.2020668653058,-0.3091600374755217,-0.0004173405420079268,-0.0004173405420079268,False,-0.0002485667071353655,-0.0002652234448175468,-0.00016877383487256132,0.0986926539576386
fixed_q_over_r_0.01,1,489.51122690278135,489.2225011856208,-0.2887257171605597,-0.00016332194687240786,-0.00016332194687240786,False,-0.0002652234448175468,-0.0002552333504353221,0.00010190149794513895,0.09803677653102907
fixed_q_over_r_0.01,1,489.51122690278135,489.24293540594226,-0.26829149683908327,-0.00027956774464632517,-0.00027956774464632517,False,-0.0002552333504353221,-0.00025760602394677616,-2.4334394211003075e-05,0.09750287970518792
